event,t,origin_utc,n,status,g0,forcing_mean,u,r,b_net,mse_dual_fit_to_mean,mse_net_fit_to_mean,sigma2,mean_path_peak,S_plug,nu2_plug,S_hat,nu2_hat
2018-01-16,24,2018-01-15 00:00:00,41,OK,0.0008656175476193158,0.0020325203252032522,0.014616337046048528,0.07789230100985411,-19.999999999683407,3.8569377330895123e-07,3.80629232582751e-07,1.9001703134418162e-05,0.0020129895722985364,3.020564821989377e-06,3.0089954989168016e-05,4.1498412567996894e-07,8.347164365340823e-05
2018-01-16,30,2018-01-15 06:00:00,41,OK,1.1615069524497304e-05,0.03556910569105691,0.0011593726815727133,0.9995519088230879,-19.985688418906957,4.2055248072873335e-07,4.2053328760416296e-07,1.4116229906557102e-05,0.0020129895722985364,1.8097611315763477e-07,1.4585355454899886e-05,-9.330437978572624e-08,1.0743711508684371e-05
2018-01-16,36,2018-01-15 12:00:00,41,OK,2.8924688987748766e-06,0.12195121951219512,0.0006753033436988436,0.9926253354369576,-19.842110841583846,4.262074873991503e-07,4.262050801336318e-07,1.44401662648749e-05,0.0020129895722985364,6.791433279115121e-08,5.140434418795657e-06,4.4556048705490885e-07,9.195270148720445e-06
2018-01-16,42,2018-01-15 18:00:00,41,OK,0.0014659051919617555,0.14329268292682926,0.00031230091140618837,0.3979112573823606,-19.999999999999996,1.77959703426599e-07,1.76172378361257e-07,8.314334511648655e-06,0.0020129895722985364,1.0115259888125104e-06,2.0037217062191705e-05,1.073419258828646e-06,4.179896632822862e-05
2018-01-16,48,2018-01-16 00:00:00,41,OK,1.5962721129916883e-05,0.15345528455284552,0.00018357305636761744,0.20392725690661415,3.9532283992438155,9.471131752157829e-09,9.471932157817984e-09,7.426065144056924e-07,0.0004198412386378392,5.0684585574537614e-11,1.1324932969186566e-06,-1.257985750798195e-08,1.2476310326932114e-06
2018-01-16,54,2018-01-16 06:00:00,41,OK,0.00011904460314270877,0.12601626016260162,0.00017780830237796135,4.609920381034238e-17,19.99999999999802,4.00271511660652e-07,3.718871819455029e-07,1.485671835673344e-05,0.002154631664323656,2.019453424160605e-06,2.807709946897791e-05,1.0423830468257916e-06,2.378526704867462e-05
2018-01-16,60,2018-01-16 12:00:00,41,OK,0.0004198412386378392,0.044715447154471545,0.001522010424615277,3.272689248970999e-16,19.99999999999998,2.0998154918025143e-06,1.6018139887969962e-06,6.088180737465423e-05,0.006787994589966867,1.8520891342050563e-06,5.9736056429746386e-05,6.95221981682836e-07,6.1198853476155e-05
2018-01-16,66,2018-01-16 18:00:00,42,OK,6.285155265901984e-05,0.03571428571428572,0.01329743047553865,2.666115387224456e-16,12.934282883571587,1.75567802381582e-05,1.1231257223853203e-05,0.00038477313315563917,0.016718197767624305,3.1530471099808135e-08,0.0007896054068953445,-6.059107748198029e-06,0.0007772159324062855
2018-01-16,72,2018-01-17 00:00:00,42,OK,3.7117776607896024e-05,0.037698412698412696,0.1296015136883462,0.9999999999999999,-19.999998042320886,2.8845244059792926e-05,2.82394130536478e-05,0.00043818171171208943,0.016718197767624305,2.563344485062642e-07,0.0006308130070431876,-1.672453813684143e-05,0.0006281705525033674
2018-01-16,78,2018-01-17 06:00:00,42,OK,0.002103330910411188,0.03273809523809523,0.13336785316749789,0.9999999999999999,-19.99999345386034,2.8403595421649898e-05,2.7580983978665936e-05,0.0004250446008522908,0.016718197767624305,7.515886448086578e-06,0.0003962723693979845,-2.5662276633357344e-06,0.00037835815178338184
