event,population,model,seed,untrained_path_mse
2024-05-08,affected,ASYM,9201,0.00037488326366390295
2024-05-08,unaffected,ASYM,9201,1.0137552258479706e-06
2024-09-27,all,ASYM,9201,0.009643064129104581
2024-09-27,affected,ASYM,9201,0.010714347206712693
2024-09-27,unaffected,ASYM,9201,1.5164306315649797e-06
2018-01-16,all,ASYM,9202,4.911264701478537e-05
2018-01-16,affected,ASYM,9202,0.00024449094117704693
2018-01-16,unaffected,ASYM,9202,2.68073474219975e-07
2018-10-11,all,ASYM,9202,0.005563153669184539
2018-10-11,affected,ASYM,9202,0.006438623338401344
2018-10-11,unaffected,ASYM,9202,1.346358866003539e-06
2021-12-11,all,ASYM,9202,0.0007889091247320192
2021-12-11,affected,ASYM,9202,0.0010942285977290696
2021-12-11,unaffected,ASYM,9202,1.2733827975991828e-06
2021-12-15,all,ASYM,9202,0.0012369021127066945
2021-12-15,affected,ASYM,9202,0.0017412684731693002
2021-12-15,unaffected,ASYM,9202,1.2045295733102801e-06
2024-05-08,all,ASYM,9202,0.0002667769372811155
2024-05-08,affected,ASYM,9202,0.0003748839811010561
2024-05-08,unaffected,ASYM,9202,1.0137878904283095e-06
2024-09-27,all,ASYM,9202,0.00964294140887852
2024-09-27,affected,ASYM,9202,0.010714210839590491
2024-09-27,unaffected,ASYM,9202,1.5165324707895616e-06
2018-01-16,all,ASYM,9203,4.9112963089778595e-05
2018-01-16,affected,ASYM,9203,0.0002444933664061069
2018-01-16,unaffected,ASYM,9203,2.678622606965326e-07
2018-10-11,all,ASYM,9203,0.005563208179220764
2018-10-11,affected,ASYM,9203,0.00643868643498592
2018-10-11,unaffected,ASYM,9203,1.3463190656559764e-06
2021-12-11,all,ASYM,9203,0.0007889085725369151
2021-12-11,affected,ASYM,9203,0.0010942278868221324
2021-12-11,unaffected,ASYM,9203,1.2732400330217285e-06
2021-12-15,all,ASYM,9203,0.0012368991523645512
2021-12-15,affected,ASYM,9203,0.0017412643982714607
2021-12-15,unaffected,ASYM,9203,1.2042998926226172e-06
2024-05-08,all,ASYM,9203,0.0002667784448443579
2024-05-08,affected,ASYM,9203,0.00037488609316758324
2024-05-08,unaffected,ASYM,9203,1.0138093830957215e-06
2024-09-27,all,ASYM,9203,0.009643060807644559
2024-09-27,affected,ASYM,9203,0.010714343509184081
2024-09-27,unaffected,ASYM,9203,1.516493788854497e-06
2018-01-16,all,ASYM,9204,4.911334366049565e-05
2018-01-16,affected,ASYM,9204,0.0002444940422298178
2018-01-16,unaffected,ASYM,9204,2.681690181651284e-07
2018-10-11,all,ASYM,9204,0.0055632799671572995
2018-10-11,affected,ASYM,9204,0.006438769493825786
2018-10-11,unaffected,ASYM,9204,1.3465036163200714e-06
2021-12-11,all,ASYM,9204,0.0007889184063003502
2021-12-11,affected,ASYM,9204,0.0010942414026209326
2021-12-11,unaffected,ASYM,9204,1.2735752124701745e-06
2021-12-15,all,ASYM,9204,0.001236942597518187
2021-12-15,affected,ASYM,9204,0.001741325514364021
2021-12-15,unaffected,ASYM,9204,1.2044512458949235e-06
2024-05-08,all,ASYM,9204,0.0002667801663803463
2024-05-08,affected,ASYM,9204,0.00037488844535944776
2024-05-08,unaffected,ASYM,9204,1.0139805567213755e-06
2024-09-27,all,ASYM,9204,0.00964314519891275
2024-09-27,affected,ASYM,9204,0.010714437245449371
2024-09-27,unaffected,ASYM,9204,1.5167800831362869e-06
2018-01-16,all,ASYM,9205,4.911308423836628e-05
2018-01-16,affected,ASYM,9205,0.0002444939121700853
2018-01-16,unaffected,ASYM,9205,2.678772554365169e-07
2018-10-11,all,ASYM,9205,0.005563232172992164
2018-10-11,affected,ASYM,9205,0.006438714218021214
2018-10-11,unaffected,ASYM,9205,1.3462398664406936e-06
2021-12-11,all,ASYM,9205,0.0007889113424034721
2021-12-11,affected,ASYM,9205,0.0010942317037774532
2021-12-11,unaffected,ASYM,9205,1.2733087140715305e-06
2021-12-15,all,ASYM,9205,0.001236892745114131
2021-12-15,affected,ASYM,9205,0.0017412553247206056
2021-12-15,unaffected,ASYM,9205,1.2044250782685035e-06
2024-05-08,all,ASYM,9205,0.0002667803007306923
2024-05-08,affected,ASYM,9205,0.0003748887041487967
2024-05-08,unaffected,ASYM,9205,1.0138089945191697e-06
2024-09-27,all,ASYM,9205,0.009643021406402606
2024-09-27,affected,ASYM,9205,0.010714299740427006
2024-09-27,unaffected,ASYM,9205,1.5164001829896212e-06
2019-02-20,all,NET,9201,0.0001355369035828189
2019-02-20,affected,NET,9201,0.0002470859975770179
2019-02-20,unaffected,NET,9201,3.0723544647074546e-06
2019-02-24,all,NET,9201,0.0013298138076616214
2019-02-24,affected,NET,9201,0.0020317492551567393
2019-02-24,unaffected,NET,9201,3.935740170842425e-06
2020-02-06,all,NET,9201,0.0009610187297294148
2020-02-06,affected,NET,9201,0.001726246635554936
2020-02-06,unaffected,NET,9201,1.789382990381446e-06
2021-02-15,all,NET,9201,0.0032064426392962625
2021-02-15,affected,NET,9201,0.006953149815669776
2021-02-15,unaffected,NET,9201,4.965238589044011e-06
2022-04-13,all,NET,9201,0.0004839153987698113
2022-04-13,affected,NET,9201,0.0007343570021839496
2022-04-13,unaffected,NET,9201,1.1801342179217108e-06
2024-05-26,all,NET,9201,0.003829742460283306
2024-05-26,affected,NET,9201,0.004735897829307774
2024-05-26,unaffected,NET,9201,1.6983503227979596e-06
2019-02-20,all,NET,9202,0.00013268221936360095
2019-02-20,affected,NET,9202,0.00024354127599238263
2019-02-20,unaffected,NET,9202,1.0370896169226948e-06
2019-02-24,all,NET,9202,0.0013309500689507234
2019-02-24,affected,NET,9202,0.002034426319987954
2019-02-24,unaffected,NET,9202,2.1615947692870232e-06
2020-02-06,all,NET,9202,0.0009588145721883143
2020-02-06,affected,NET,9202,0.0017227337594863952
2020-02-06,unaffected,NET,9202,1.2257317724102196e-06
2021-02-15,all,NET,9202,0.0031836794124305893
2021-02-15,affected,NET,9202,0.006907513629313097
2021-02-15,unaffected,NET,9202,1.7464435272524592e-06
2022-04-13,all,NET,9202,0.0004832636254678169
2022-04-13,affected,NET,9202,0.0007333611874354197
2022-04-13,unaffected,NET,9202,1.1915132693940578e-06
2024-05-26,all,NET,9202,0.003823625925884327
2024-05-26,affected,NET,9202,0.004728325840780068
2024-05-26,unaffected,NET,9202,1.7303670390491569e-06
2019-02-20,all,NET,9203,0.00013258694822387328
2019-02-20,affected,NET,9203,0.00024353254702468404
2019-02-20,unaffected,NET,9203,8.39049647910522e-07
2019-02-24,all,NET,9203,0.0013208780475367494
2019-02-24,affected,NET,9203,0.002019315934262783
2019-02-24,unaffected,NET,9203,1.6064837209081341e-06
2020-02-06,all,NET,9203,0.0009604731304867026
2020-02-06,affected,NET,9203,0.0017256999114290603
2020-02-06,unaffected,NET,9203,1.245193812479896e-06
2021-02-15,all,NET,9203,0.003188240512896302
2021-02-15,affected,NET,9203,0.006918650128033702
2021-02-15,unaffected,NET,9203,6.890133945671314e-07
2022-04-13,all,NET,9203,0.00047992580866407507
2022-04-13,affected,NET,9203,0.0007281970040892048
2022-04-13,unaffected,NET,9203,1.3740841489699857e-06
2024-05-26,all,NET,9203,0.003827200917610746
2024-05-26,affected,NET,9203,0.004732785017886694
2024-05-26,unaffected,NET,9203,1.5701266490884336e-06
2019-02-20,all,NET,9204,0.00013424269420260013
2019-02-20,affected,NET,9204,0.0002459431831810591
2019-02-20,unaffected,NET,9204,1.598363540680093e-06
2019-02-24,all,NET,9204,0.0013188749102871105
2019-02-24,affected,NET,9204,0.002016193823216324
2019-02-24,unaffected,NET,9204,1.7169636430409438e-06
2020-02-06,all,NET,9204,0.0009559609154206724
2020-02-06,affected,NET,9204,0.0017174775675724778
2020-02-06,unaffected,NET,9204,1.3837035684097448e-06
2021-02-15,all,NET,9204,0.0031922717425213686
2021-02-15,affected,NET,9204,0.006926310803333529
2021-02-15,unaffected,NET,9204,1.618962946799047e-06
2022-04-13,all,NET,9204,0.00048371978234789515
2022-04-13,affected,NET,9204,0.0007337598960709756
2022-04-13,unaffected,NET,9204,1.7584037222473016e-06
2024-05-26,all,NET,9204,0.003827504373150793
2024-05-26,affected,NET,9204,0.004733010120634718
2024-05-26,unaffected,NET,9204,2.204582759525562e-06
2019-02-20,all,NET,9205,0.00013228586136895153
2019-02-20,affected,NET,9205,0.00024295051377073233
2019-02-20,unaffected,NET,9205,8.715866418368589e-07
2019-02-24,all,NET,9205,0.0013167406155647895
2019-02-24,affected,NET,9205,0.00201318588184589
2019-02-24,unaffected,NET,9205,1.2328903671539624e-06
2020-02-06,all,NET,9205,0.0009588317631106248
2020-02-06,affected,NET,9205,0.0017228392695336464
2020-02-06,unaffected,NET,9205,1.1322128057105744e-06
2021-02-15,all,NET,9205,0.0031913774421352447
2021-02-15,affected,NET,9205,0.006925151153281112
2021-02-15,unaffected,NET,9205,9.513979098587333e-07
2022-04-13,all,NET,9205,0.0004816988356528962
2022-04-13,affected,NET,9205,0.0007310446703859387
2022-04-13,unaffected,NET,9205,1.0757049355820975e-06
