event,fold,type,type_group,population,n_windows,n_counties,NET_path_mse,ASYM_path_mse,PERSISTENCE_path_mse,NET_path_rmse,ASYM_path_rmse,PERSISTENCE_path_rmse,delta_rmse_seed_mean,seeds_delta_rmse_positive,delta_rmse_1h,delta_rmse_6h,delta_rmse_24h,delta_seed_mean,delta_seed_sd,seeds_delta_positive,delta_mse_1h,delta_mse_6h,delta_mse_24h,NET_mean_signed_error,ASYM_mean_signed_error,PERSISTENCE_mean_signed_error,NET_oob_fraction,delta_untrained_seed_mean
2018-01-16,0,winter,winter,affected,505,44,0.0002607006569854271,0.00023463622031575287,0.00025014942117362307,0.01610774372505456,0.015313161363178007,0.015816112707414013,0.0007945823618765533,3,-8.630038513723174e-05,-0.0004496091955380737,0.003739641639702579,2.606443666967424e-05,4.388318874856866e-05,3,-1.5948498079237742e-06,-1.3783796914789592e-05,0.00012780897809333653,0.0010769597043593596,-0.0006124392611888807,-0.0005527755926002885,0.38234177438722894,5.5014111721967436e-06
2018-01-16,0,winter,winter,all,2523,220,0.00010892247305857981,4.704049569401162e-05,5.0144499401784154e-05,0.01030456388490271,0.006856520862979593,0.007081278090979351,0.0034480430219231166,5,4.614484985020189e-05,0.000976303263903105,0.007332643662255063,6.188197736456822e-05,3.9737122160742685e-05,5,3.87197314494837e-07,1.499216988573313e-05,0.00015619614959628818,0.0019328949510981144,-0.00012591770717251832,-0.00012353222756227123,0.38620852947557494,1.20304470198796e-06
2018-01-16,0,winter,winter,unaffected,2018,176,7.097792707686803e-05,1.4156453857629576e-07,1.432689588244278e-07,0.008170628096413387,0.0003762448453307471,0.0003785088622799046,0.007794383251082641,5,0.0007111674484346225,0.004280269973049493,0.012021484472653648,7.083636253829172e-05,4.054998773696014e-05,5,8.827090950994869e-07,2.2186161585863804e-05,0.00016329294247202612,0.002146878762782803,-4.287318668427717e-06,-1.622138630276689e-05,0.38717521824766143,1.2845308443576418e-07
2018-10-11,0,tropical,wind_tropical,affected,2197,108,0.004600366757484644,0.006765691050186077,0.0066382286794771945,0.0677724542957696,0.08196199200486673,0.08147532558681306,-0.014189537709097136,0,-0.0008014607622637421,-0.01695656813119929,-0.009685405115036733,-0.0021653242927014344,0.0012291527977254014,0,-3.48160525575837e-05,-0.001974487889176639,-0.0018829177389964417,-0.0018013818369244082,-0.0018278077218702774,-0.0012355659787695423,0.2474948983629539,0.0001995522129491752
2018-10-11,0,tropical,wind_tropical,all,2503,125,0.004047614972010076,0.0058616923200001895,0.0057355984806473,0.06357690633698332,0.07629041878866272,0.07573373409945729,-0.01271351245167939,0,-0.0007187748667746178,-0.01546941987473123,-0.008379120758901546,-0.0018140773479901127,0.0010519855773255004,0,-2.9073060756965876e-05,-0.0016803547343222397,-0.0015272561987131614,-0.000780370935901475,-0.0012642595331121994,-0.0010658960274335474,0.2743617826617827,0.00017245891578772637
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,0.0005360153937010623,0.00011864156352513283,1.2419233750240827e-06,0.022680041951902798,0.010592135582797192,0.0011144161588132518,0.012087906369105606,5,0.0013710644750411034,0.009345571588404041,0.01554501957175925,0.0004173738301759296,0.00020218321004070324,5,7.4118283293121084e-06,0.00018825589651747361,0.0007322406454394427,0.005706051258832452,0.0023159289601744175,1.2007192818656152e-05,0.44504551820728294,3.3679264440757637e-07
2019-02-20,1,winter,winter,affected,3218,171,0.00028109060024491823,0.00020086734891344862,0.00024308986545078774,0.016743488200349467,0.014170310865563682,0.015591339437353923,0.002573177334785785,5,0.009563542285776713,0.0040653972799158,0.00048079313027061393,8.022325133146959e-05,3.74274326047618e-05,5,0.00018038965292935965,9.694594463125726e-05,2.4420421540328444e-05,0.0018241588736015106,-0.000832065666011985,-0.0004855790432639926,0.36162713408061525,6.9683610854598095e-06
2019-02-20,1,winter,winter,all,5954,315,0.0002104989208568748,0.00010979717266391411,0.0001321605286795755,0.014477520113543812,0.010476833388229878,0.011496109284430777,0.004000686725313933,5,0.0106451804313455,0.005021598282164914,0.0020326361607688735,0.00010070174819296067,3.366903653186596e-05,5,0.00018818478065879047,9.846833532078907e-05,8.026808730063944e-05,0.0026661010501549307,-0.0003553123750428454,-0.0002753554804279471,0.3666010041999187,4.142359210924977e-06
2019-02-20,1,winter,winter,unaffected,2736,144,0.0001266713015835732,1.651338367591898e-06,4.319412637610101e-07,0.011063382869687454,0.0012509281927907156,0.000657222385316424,0.00981245467689674,5,0.013464408387221594,0.008992320279152814,0.010269541358997141,0.0001250199632159813,5.462657922040385e-05,5,0.0001974414948374895,0.00010027617426460807,0.0001465871903910088,0.003665907384812117,0.000210832157983008,-2.5714999560143255e-05,0.37250747496659165,7.86481984914879e-07
2019-02-24,1,wind,wind_tropical,affected,5134,289,0.0015448846494625149,0.0017351801531043064,0.002016356034831366,0.03928622320868389,0.04164784479896313,0.044903853229220386,-0.002361621590279246,0,0.002314843141017637,-0.0026756104881643455,-0.0007359900833912858,-0.00019029550364179124,0.0001096088738001059,0,9.055755042359264e-05,-0.00021785987506001128,-6.486293486569319e-05,-0.005999575391324202,-0.00912312778167549,0.0010211274550671876,0.28823000431598594,7.280055215752251e-05
