event,fold,type,type_group,population,n_windows,n_counties,model,seed,path_mse,mse_1h,mse_6h,mse_24h,mean_signed_error,oob_fraction
2018-10-11,0,tropical,wind_tropical,all,2503,125,NET,9202,0.003768073582192441,0.0003865624642171885,0.0020883466711706152,0.006617459948941398,0.001955961229388171,0.2034927503052503
2018-10-11,0,tropical,wind_tropical,all,2503,125,NET,9203,0.003918065122332052,0.0003841209115577302,0.0021075234938096677,0.0065666215475941835,-0.0016963685917152857,0.259284188034188
2018-10-11,0,tropical,wind_tropical,all,2503,125,NET,9204,0.004062139920974692,0.00038948464317609084,0.0020661238547347925,0.007194661179450562,0.0029854703037920775,0.3079953449328449
2018-10-11,0,tropical,wind_tropical,all,2503,125,NET,9205,0.003858604660644222,0.0003868342037906093,0.0020254981601891438,0.0067189666689943,-0.002883430105709262,0.31451648351648354
2018-10-11,0,tropical,wind_tropical,all,2503,125,ASYM,9201,0.005859368341434504,0.00042041196652771977,0.003247055482373894,0.00912000038070319,-0.001950235174803194,0.0
2018-10-11,0,tropical,wind_tropical,all,2503,125,ASYM,9202,0.0043284487437297734,0.00040865323153414177,0.0031107373109660426,0.006363734155178349,-0.0017773151515498107,0.0
2018-10-11,0,tropical,wind_tropical,all,2503,125,ASYM,9203,0.005391957607865628,0.000392948050028664,0.004070848836681271,0.007561369234152993,-0.003452301235261797,0.0
2018-10-11,0,tropical,wind_tropical,all,2503,125,ASYM,9204,0.007066567944727122,0.00040567915573343883,0.004804035605509017,0.00994637250551305,0.002174966556550946,0.0
2018-10-11,0,tropical,wind_tropical,all,2503,125,ASYM,9205,0.006662118962243918,0.00045503818861517426,0.0036663918173326085,0.01003977601107492,-0.001316412660497141,0.0
2018-10-11,0,tropical,wind_tropical,all,2503,125,PERSISTENCE,0,0.0057355984806473,0.00040052988964238103,0.0027825263705054124,0.01060202956525994,-0.0010658960274335474,0.0
2018-10-11,0,tropical,wind_tropical,affected,2197,108,NET,9201,0.005325507972268865,0.00045010255943878774,0.002535000297129442,0.009547931973898546,-0.0058616315565883405,0.2788352015782571
2018-10-11,0,tropical,wind_tropical,affected,2197,108,NET,9202,0.0042794150897075755,0.00044592560461334985,0.002386808939527949,0.007514279023659551,0.000755801529497535,0.18174546646768872
2018-10-11,0,tropical,wind_tropical,affected,2197,108,NET,9203,0.0044318921390969915,0.00044240141701390445,0.0024005251348486237,0.007411964100251124,-0.0025500585667206014,0.22663280649391757
2018-10-11,0,tropical,wind_tropical,affected,2197,108,NET,9204,0.004571458159242122,0.0004485786134817009,0.002342392409380065,0.008084010853043158,0.0027761973718652792,0.2694074187129742
2018-10-11,0,tropical,wind_tropical,affected,2197,108,NET,9205,0.004393560427107663,0.00044618507245990785,0.0023146298312648607,0.007651007796807831,-0.004127217962675913,0.2808535985619319
2018-10-11,0,tropical,wind_tropical,affected,2197,108,ASYM,9201,0.006772135044912829,0.00048621576912618024,0.003755901944657242,0.010534124580446653,-0.0025273360986391904,0.0
2018-10-11,0,tropical,wind_tropical,affected,2197,108,ASYM,9202,0.0049872751345116555,0.0004724170518690458,0.0035958814955119535,0.007325177359054853,-0.00248164090516616,0.0
2018-10-11,0,tropical,wind_tropical,affected,2197,108,ASYM,9203,0.006232224059619833,0.0004541449401072906,0.0047076945949200465,0.008737859094675334,-0.004259872379075712,0.0
2018-10-11,0,tropical,wind_tropical,affected,2197,108,ASYM,9204,0.008149816069371995,0.00046880222529069744,0.005554643722720433,0.011467505063227882,0.0020665661109394748,0.0
2018-10-11,0,tropical,wind_tropical,affected,2197,108,ASYM,9205,0.007687004942514077,0.0005256935434023553,0.00423767430022446,0.011559116345237697,-0.0019367553374097998,0.0
2018-10-11,0,tropical,wind_tropical,affected,2197,108,PERSISTENCE,0,0.0066382286794771945,0.0004634830347068515,0.003220342282162599,0.0122705701306555,-0.0012355659787695423,0.0
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,NET,9201,0.00022024033725496703,1.0841577629248439e-05,0.00014384518108514336,0.0003518288428522744,0.0058894275708033,0.33534214968038495
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,NET,9202,0.0005195510638610033,9.431925229811391e-06,0.0001922334369004906,0.0009200211213201875,0.009580505205163983,0.3416519652732888
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,NET,9203,0.0006537523099430268,1.3868288659681881e-05,0.00024610130367983186,0.0011962100365971414,0.0037270736024361335,0.46671649429002365
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,NET,9204,0.0008264711131580712,1.4064125940450713e-05,0.00031100597816482756,0.0015446750178034787,0.00431496893015056,0.5531421703296703
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,NET,9205,0.00046006214428824337,9.781626362124255e-06,0.00018866166159047187,0.0007977642099436368,0.005018280985608286,0.5283748114630468
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,ASYM,9201,6.0615166395745e-05,2.3642794316179804e-06,1.4383839632617964e-05,0.00013615252350944622,0.0017160530472137248,0.0
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,ASYM,9202,0.00014296343758604804,3.5654317594573706e-06,2.8644844439081223e-05,0.00025574203643349445,0.0026972249302481756,0.0
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,ASYM,9203,5.379426730949862e-05,4.167807176213784e-06,2.5005196105526365e-05,8.719835554047442e-05,0.0016781507372030777,0.0
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,ASYM,9204,0.00018475632933616956,4.662007957913811e-06,3.546639028355603e-05,0.00028270684473647367,0.0028636282110238312,0.0
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,ASYM,9205,0.00015107861699820282,6.168875849553194e-06,3.7067808372615736e-05,0.00038749624109961616,0.002624587875183277,0.0
2018-10-11,0,tropical,wind_tropical,unaffected,306,17,PERSISTENCE,0,1.2419233750240827e-06,5.922621739802968e-07,1.1076376244666149e-06,1.889502746976504e-06,1.2007192818656152e-05,0.0
2019-02-20,1,winter,winter,all,5954,315,NET,9201,0.00019986800220346383,0.00018099402686147308,0.00013894372306730586,0.0004043152932989086,0.003220100194778586,0.36471716783640895
2019-02-20,1,winter,winter,all,5954,315,NET,9202,0.0002017426813161686,0.00018005885277168934,0.0001511289189511604,0.0003987566581694018,0.0003929545976182697,0.4991626172374919
2019-02-20,1,winter,winter,all,5954,315,NET,9203,0.0001761612464047332,0.00015360089094044435,0.00011789044806406819,0.0003995471210091384,0.002550151182705771,0.35570343740501054
2019-02-20,1,winter,winter,all,5954,315,NET,9204,0.0002134752640223324,0.00016746425263642383,0.00015154061307803496,0.00042965207733224574,-0.0004108938687565495,0.48873011237556174
2019-02-20,1,winter,winter,all,5954,315,NET,9205,0.00026124741033767593,0.00031477757060561395,0.0001920852013608834,0.0004925398468114042,0.007578193144428576,0.12469168614512059
2019-02-20,1,winter,winter,all,5954,315,ASYM,9201,0.00011658264940289291,1.1754282018181231e-05,5.40511319802421e-05,0.0003578568177719124,-0.00023542213542652223,0.0
2019-02-20,1,winter,winter,all,5954,315,ASYM,9202,0.00010628253423307694,1.1082179054045611e-05,5.2519788324494255e-05,0.00033548172124589254,-0.0003691446697158506,0.0
2019-02-20,1,winter,winter,all,5954,315,ASYM,9203,0.00011026772562908467,1.1428950660448948e-05,5.1661670840335985e-05,0.0003462915498617579,-0.0004707525090966041,0.0
2019-02-20,1,winter,winter,all,5954,315,ASYM,9204,0.00010993262984143942,1.165315667395196e-05,5.061542074044649e-05,0.00034713798418069437,-0.00031571559443292584,0.0
2019-02-20,1,winter,winter,all,5954,315,ASYM,9205,0.00010592032421307669,1.0053122115064488e-05,5.039921603198864e-05,0.00033670248705764425,-0.0003855269665423241,0.0
2019-02-20,1,winter,winter,all,5954,315,PERSISTENCE,0,0.0001321605286795755,1.3565872676660264e-05,6.218350287286502e-05,0.00038518639667643745,-0.0002753554804279471,0.0
2019-02-20,1,winter,winter,affected,3218,171,NET,9201,0.0002523947923921537,0.00018241419372679117,0.00015913275516439692,0.0006266519016951174,0.0025123707297581145,0.3610098472553323
2019-02-20,1,winter,winter,affected,3218,171,NET,9202,0.00027847317230954993,0.0001778962008478496,0.00019995508340309173,0.00066875111469375,-0.0004869791830794286,0.5059081859613245
2019-02-20,1,winter,winter,affected,3218,171,NET,9203,0.00024904227242606857,0.00015926353011914109,0.00015511773379851972,0.0006528323902380857,0.002030671945974448,0.3339279329061253
2019-02-20,1,winter,winter,affected,3218,171,NET,9204,0.00032669933249953356,0.0001940565567633486,0.0002365189756890154,0.0006705387931984924,-0.0011728465142477919,0.48060187213026095
2019-02-20,1,winter,winter,affected,3218,171,NET,9205,0.00029884343159728533,0.0002908239558545732,0.00020838416536650238,0.0006662867717355072,0.00623757738960221,0.12668783215003318
2019-02-20,1,winter,winter,affected,3218,171,ASYM,9201,0.0002138318873855301,2.1532463423317546e-05,9.904652539341932e-05,0.0006576540129086512,-0.0006110903103536858,0.0
2019-02-20,1,winter,winter,affected,3218,171,ASYM,9202,0.00019369654466342936,2.0296554638830737e-05,9.598584589943235e-05,0.0006141062008712658,-0.0009324288742120391,0.0
2019-02-20,1,winter,winter,affected,3218,171,ASYM,9203,0.000202577244675399,2.0947647337887973e-05,9.488749541992415e-05,0.000636917719347098,-0.0009264982074896802,0.0
2019-02-20,1,winter,winter,affected,3218,171,ASYM,9204,0.00020113445659252846,2.1348793827742672e-05,9.266052819830161e-05,0.0006370176235813399,-0.0007664375271461076,0.0
2019-02-20,1,winter,winter,affected,3218,171,ASYM,9205,0.00019309661125035623,1.838071343712649e-05,9.179859535416246e-05,0.0006172633071509556,-0.0009238734108584126,0.0
2019-02-20,1,winter,winter,affected,3218,171,PERSISTENCE,0,0.00024308986545078774,2.4881959543784823e-05,0.00011429587791552034,0.0007089851604812185,-0.0004855790432639926,0.0
2019-02-20,1,winter,winter,unaffected,2736,144,NET,9201,0.0001374924388543946,0.0001793075787089078,0.00011496924745201025,0.00014029057082841064,0.004060528934490397,0.3691196110264375
2019-02-20,1,winter,winter,unaffected,2736,144,NET,9202,0.00011062522326152829,0.000182627001931249,9.314784866449195e-05,7.813824104673826e-05,0.0014378759621967866,0.49115225437794074
2019-02-20,1,winter,winter,unaffected,2736,144,NET,9203,8.961502800439735e-05,0.00014687650691574202,7.368304625440697e-05,9.877086379976352e-05,0.0031670327763242178,0.3815618489974369
2019-02-20,1,winter,winter,unaffected,2736,144,NET,9204,7.902168270565613e-05,0.00013588589148570059,5.062880747749566e-05,0.00014359910224107813,0.0004939248977643007,0.4983823976668565
2019-02-20,1,winter,winter,unaffected,2736,144,NET,9205,0.00021660213509188964,0.00034322248812247475,0.00017273018160421084,0.00028621537346403176,0.009170174353284885,0.12232126276428687
2019-02-20,1,winter,winter,unaffected,2736,144,ASYM,9201,1.09917929851127e-06,1.4269159958186136e-07,6.191023020941783e-07,1.8476485470351319e-06,0.00021068382229948442,0.0
2019-02-20,1,winter,winter,unaffected,2736,144,ASYM,9202,2.4783968470334527e-06,1.4010804711327193e-07,9.038449542552732e-07,4.615151690761849e-06,0.0002997553231233734,0.0
2019-02-20,1,winter,winter,unaffected,2736,144,ASYM,9203,6.501717615864025e-07,1.254983559901007e-07,3.310041520750685e-07,1.172973597916319e-06,7.04455077451738e-05,0.0
2019-02-20,1,winter,winter,unaffected,2736,144,ASYM,9204,1.6304605745211597e-06,1.3958755382548396e-07,6.868556342435727e-07,2.905912392427761e-06,0.0002195167006639773,0.0
2019-02-20,1,winter,winter,unaffected,2736,144,ASYM,9205,2.398483356307206e-06,1.641074201158642e-07,1.2374530869072306e-06,3.5365131968371074e-06,0.00025375943608303117,0.0
2019-02-20,1,winter,winter,unaffected,2736,144,PERSISTENCE,0,4.319412637610101e-07,1.2801952194985246e-07,3.000575097118468e-07,6.753646582601546e-07,-2.5714999560143255e-05,0.0
2019-02-24,1,wind,wind_tropical,all,7833,442,NET,9201,0.0009724399063761522,0.00044750951706456116,0.0009906341297786512,0.0012213612904950423,-0.0030727439351355677,0.42324327180040594
2019-02-24,1,wind,wind_tropical,all,7833,442,NET,9202,0.0009986619636849264,0.00034458965031084024,0.0009395963525079272,0.001335451341436516,-0.0032168162230393864,0.31581383300337956
2019-02-24,1,wind,wind_tropical,all,7833,442,NET,9203,0.0010650751509697577,0.0003472354783423162,0.0010976505818538923,0.001324279098831441,-0.0044467306110014615,0.32966925484414766
2019-02-24,1,wind,wind_tropical,all,7833,442,NET,9204,0.0011017284376032962,0.00038533647273673855,0.0010995603532797812,0.0013736797658708806,-0.004155037301514356,0.37600287569327817
2019-02-24,1,wind,wind_tropical,all,7833,442,NET,9205,0.0011527558580706212,0.00042467334044352426,0.0011643016750103646,0.0014157027556308934,-0.0002458677779304731,0.2281306131050862
2019-02-24,1,wind,wind_tropical,all,7833,442,ASYM,9201,0.0011257139535438283,0.00019525792724669707,0.0011123236738608848,0.0013496647652682626,-0.005056872966514242,0.0
2019-02-24,1,wind,wind_tropical,all,7833,442,ASYM,9202,0.0011270222796306946,0.00025709487135176237,0.0011598346667502724,0.0013049719839339443,-0.00656658174392039,0.0
2019-02-24,1,wind,wind_tropical,all,7833,442,ASYM,9203,0.0011195076334231074,0.0002562075119656527,0.0011102193252547203,0.0013356144487138618,-0.005210870708691099,0.0
2019-02-24,1,wind,wind_tropical,all,7833,442,ASYM,9204,0.0010855572342436488,0.00018835671866789387,0.0010353957921750846,0.001334411628983421,-0.00625230959752872,0.0
2019-02-24,1,wind,wind_tropical,all,7833,442,ASYM,9205,0.0012185848380267233,0.00034697363619615363,0.001332002432277387,0.0013411684757950368,-0.00652709841949061,0.0
2019-02-24,1,wind,wind_tropical,all,7833,442,PERSISTENCE,0,0.0013186631824150113,0.00018375706297123055,0.0009624264241037357,0.00214045386333156,0.0006680029306956265,0.0
2019-02-24,1,wind,wind_tropical,affected,5134,289,NET,9201,0.001392410238973687,0.0004984478414047765,0.0014104275124497102,0.0017933401808283601,-0.005634687101402939,0.36616503854711835
2019-02-24,1,wind,wind_tropical,affected,5134,289,NET,9202,0.0014789284077777252,0.0004314484709261113,0.0013901896532782058,0.002009752684633229,-0.005879726373671143,0.27517971367879174
2019-02-24,1,wind,wind_tropical,affected,5134,289,NET,9203,0.0015968168203627862,0.00046823955348354905,0.0016512906308086093,0.0019824889305674704,-0.007570918634545614,0.27405636186880494
2019-02-24,1,wind,wind_tropical,affected,5134,289,NET,9204,0.0016103135748730827,0.0004810751273135041,0.0015742157304459896,0.0020425043106824777,-0.006943603805701749,0.32115768674597894
2019-02-24,1,wind,wind_tropical,affected,5134,289,NET,9205,0.001645954205325293,0.0004754540308414511,0.0016762915603225834,0.002027934341005425,-0.003968941041299566,0.20459122073923566
2019-02-24,1,wind,wind_tropical,affected,5134,289,ASYM,9201,0.001721244106945057,0.0002985275179097569,0.0017008844641842374,0.0020634806838046612,-0.007786074080960549,0.0
2019-02-24,1,wind,wind_tropical,affected,5134,289,ASYM,9202,0.0017215955940564972,0.00039308568372973445,0.0017732932285962086,0.001989904156290303,-0.01017275658640607,0.0
2019-02-24,1,wind,wind_tropical,affected,5134,289,ASYM,9203,0.00171180685330617,0.00039174491824432733,0.0016976851002159302,0.0020421515761194485,-0.007981622221856383,0.0
2019-02-24,1,wind,wind_tropical,affected,5134,289,ASYM,9204,0.0016598380420914925,0.0002879736721321851,0.0015831964786458545,0.0020403897086615835,-0.009588186753291515,0.0
2019-02-24,1,wind,wind_tropical,affected,5134,289,ASYM,9205,0.0018614161691223137,0.000530545479835425,0.002036655190962924,0.0020444089971694323,-0.010086999265862933,0.0
2019-02-24,1,wind,wind_tropical,affected,5134,289,PERSISTENCE,0,0.002016356034831366,0.0002809249150416087,0.0014716168332653372,0.003273095946156668,0.0010211274550671876,0.0
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,NET,9201,0.0001791626114696975,0.0003512926821997097,0.00019769107362220648,0.00014095671986544272,0.0017664820455916912,0.5310577123899493
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,NET,9202,9.149201373186196e-05,0.00018052298914866154,8.84756732751788e-05,6.17710265093919e-05,0.001813125172598375,0.39256716950537895
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,NET,9203,6.067421989403776e-05,0.0001186722252977655,5.1886044939426296e-05,8.099386110782918e-05,0.0014545134334708293,0.4347158304642395
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,NET,9204,0.00014106762276036645,0.00020449679186951476,0.0002029890852991644,0.00011034451456008691,0.0011122549841729417,0.47959934370484336
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,NET,9205,0.00022115897992290795,0.0003287542585807737,0.000197209669420618,0.00025926531659011085,0.006786603941766705,0.2725939097961372
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,ASYM,9201,8.236637859527703e-07,1.9314488313962242e-07,5.977365834405076e-07,1.3458080328436793e-06,9.828469410655648e-05,0.0
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,ASYM,9202,3.93935238195556e-06,2.233368600372759e-07,1.0796054857266358e-06,1.1211213927488071e-05,0.0002450818474414527,0.0
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,ASYM,9203,7.202180884331085e-07,1.9241121704516685e-07,5.617503279909582e-07,1.0443191699751773e-06,2.2771038398879873e-05,0.0
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,ASYM,9204,8.045971977213869e-07,1.9136212423261374e-07,6.611621747412466e-07,8.974784802255271e-07,4.8791696689892016e-05,0.0
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,ASYM,9205,4.347879290607542e-06,2.268204330853501e-07,9.916658713727988e-07,1.2825268754512045e-05,0.00019715873476821766,0.0
2019-02-24,1,wind,wind_tropical,unaffected,2699,153,PERSISTENCE,0,7.98905628564398e-07,2.1778683829396205e-07,6.223179095992708e-07,1.018817995246302e-06,9.899402160107728e-07,0.0
2019-11-27,2,wind,wind_tropical,all,4874,282,NET,9201,0.0002827920559754519,2.4283578886879263e-05,0.00011412544195688779,0.0005694630205636456,0.001313589400015853,0.5079040459263374
2019-11-27,2,wind,wind_tropical,all,4874,282,NET,9202,0.0002810456554793955,2.508935172121889e-05,0.0001281477231965636,0.00047150066040926685,-0.0014217950018033316,0.572639969549964
2019-11-27,2,wind,wind_tropical,all,4874,282,NET,9203,0.0003579767050851623,2.5677333939521758e-05,0.00012969327111942336,0.0007257890950905465,0.003469406263608073,0.4528056345181438
2019-11-27,2,wind,wind_tropical,all,4874,282,NET,9204,0.00027335438866804356,2.579110195945681e-05,0.0001255242610378021,0.0005021476748915066,-0.001191787429690461,0.5919070676072473
2019-11-27,2,wind,wind_tropical,all,4874,282,NET,9205,0.00024093953607166594,2.4574174860511056e-05,0.00011054203174448138,0.0004013424821313059,-0.0012100497963183153,0.5791358282635929
2019-11-27,2,wind,wind_tropical,all,4874,282,ASYM,9201,0.0001245179037648947,2.2891708004018716e-05,5.9431909883842506e-05,0.00018009502681085908,0.0011876578454737088,0.0
2019-11-27,2,wind,wind_tropical,all,4874,282,ASYM,9202,0.00010601699810028596,2.2950713680952127e-05,5.9153748358448894e-05,0.0001090519183233954,0.0007010982573170673,0.0
2019-11-27,2,wind,wind_tropical,all,4874,282,ASYM,9203,0.00010293013596038204,2.3263480609879518e-05,5.989926292185989e-05,0.00010800943273463787,0.0005271121430586937,0.0
2019-11-27,2,wind,wind_tropical,all,4874,282,ASYM,9204,0.00010912673430498654,2.2571481930344957e-05,5.426389258252239e-05,0.00014096606788762254,0.0016512547279490678,0.0
2019-11-27,2,wind,wind_tropical,all,4874,282,ASYM,9205,0.00011039004988139972,2.2938255364449756e-05,5.3736083395071964e-05,0.00017399185862823177,0.000987060947252746,0.0
2019-11-27,2,wind,wind_tropical,all,4874,282,PERSISTENCE,0,0.0001301077502536683,2.3361655073164728e-05,6.818822515636409e-05,0.00015002517673719584,-9.289522919554631e-05,0.0
2019-11-27,2,wind,wind_tropical,affected,3009,165,NET,9201,0.000265663835793875,3.8288196267498005e-05,0.00012639216670567554,0.0004124264851485675,0.0008256753436384657,0.486809953625145
2019-11-27,2,wind,wind_tropical,affected,3009,165,NET,9202,0.0002750854178989089,3.924044072403526e-05,0.00013536704528859151,0.0004096474864391716,-0.0022661067470528037,0.5556085183313054
2019-11-27,2,wind,wind_tropical,affected,3009,165,NET,9203,0.0003556580300537051,4.022619006504692e-05,0.00013896373526197002,0.0006628872495027261,0.003121419319028185,0.429415920613588
2019-11-27,2,wind,wind_tropical,affected,3009,165,NET,9204,0.0002641724037265382,4.109646237810673e-05,0.00013852432544379326,0.0004479638682762035,-0.0018455325157043804,0.579081635901313
2019-11-27,2,wind,wind_tropical,affected,3009,165,NET,9205,0.00027597019959567495,3.944565688969376e-05,0.00012995715823709876,0.00042404372825027056,-0.0019671879783218823,0.570099002871132
2019-11-27,2,wind,wind_tropical,affected,3009,165,ASYM,9201,0.0001869022365427091,3.874820997493748e-05,9.783678407412652e-05,0.00022887312165672342,0.0007683368034894506,0.0
2019-11-27,2,wind,wind_tropical,affected,3009,165,ASYM,9202,0.00017584227894761322,3.8914401502932166e-05,9.845026972632672e-05,0.00017273973072801067,0.0003983281449048049,0.0
2019-11-27,2,wind,wind_tropical,affected,3009,165,ASYM,9203,0.00016849946509137366,3.941384649026076e-05,9.980463806449063e-05,0.00016254344699247075,-3.900021061913356e-06,0.0
