event,population,model,seed,lead_h,mse
2018-01-16,all,NET,9205,5,4.568131027373056e-05
2018-01-16,all,NET,9205,6,5.622456436594519e-05
2018-01-16,all,NET,9205,7,6.54451501310939e-05
2018-01-16,all,NET,9205,8,6.520281680678997e-05
2018-01-16,all,NET,9205,9,6.64332864526163e-05
2018-01-16,all,NET,9205,10,6.25909865785119e-05
2018-01-16,all,NET,9205,11,6.375348087422107e-05
2018-01-16,all,NET,9205,12,6.824166553816834e-05
2018-01-16,all,NET,9205,13,8.512089496176882e-05
2018-01-16,all,NET,9205,14,8.214131441385582e-05
2018-01-16,all,NET,9205,15,8.122926124285263e-05
2018-01-16,all,NET,9205,16,7.745286100963749e-05
2018-01-16,all,NET,9205,17,8.442250211932814e-05
2018-01-16,all,NET,9205,18,8.910668412767795e-05
2018-01-16,all,NET,9205,19,0.00011346706936871705
2018-01-16,all,NET,9205,20,0.00011152381803964704
2018-01-16,all,NET,9205,21,0.00010684751286952871
2018-01-16,all,NET,9205,22,9.811973607028789e-05
2018-01-16,all,NET,9205,23,0.00010305040030779605
2018-01-16,all,NET,9205,24,0.00011008118108572434
2018-01-16,all,ASYM,9201,1,1.7293046455886415e-05
2018-01-16,all,ASYM,9201,2,2.8213447712055972e-05
2018-01-16,all,ASYM,9201,3,2.7158194296164908e-05
2018-01-16,all,ASYM,9201,4,3.3958522633623244e-05
2018-01-16,all,ASYM,9201,5,4.0127868584158066e-05
2018-01-16,all,ASYM,9201,6,4.8826343556481654e-05
2018-01-16,all,ASYM,9201,7,5.699792376103205e-05
2018-01-16,all,ASYM,9201,8,5.4217928724167706e-05
2018-01-16,all,ASYM,9201,9,5.325157161882686e-05
2018-01-16,all,ASYM,9201,10,4.614440967921391e-05
2018-01-16,all,ASYM,9201,11,4.4714718537687404e-05
2018-01-16,all,ASYM,9201,12,4.716421290265342e-05
2018-01-16,all,ASYM,9201,13,6.313101137322071e-05
2018-01-16,all,ASYM,9201,14,5.651966507213212e-05
2018-01-16,all,ASYM,9201,15,5.250675958851486e-05
2018-01-16,all,ASYM,9201,16,4.561043078314416e-05
2018-01-16,all,ASYM,9201,17,4.800402552623075e-05
2018-01-16,all,ASYM,9201,18,5.046424604723539e-05
2018-01-16,all,ASYM,9201,19,7.06400876075392e-05
2018-01-16,all,ASYM,9201,20,6.50721135497848e-05
2018-01-16,all,ASYM,9201,21,5.534041108453796e-05
2018-01-16,all,ASYM,9201,22,3.997273095129377e-05
2018-01-16,all,ASYM,9201,23,3.9165048980123446e-05
2018-01-16,all,ASYM,9201,24,4.184271533237631e-05
2018-01-16,all,ASYM,9202,1,1.7295824620900846e-05
2018-01-16,all,ASYM,9202,2,2.827381554380978e-05
2018-01-16,all,ASYM,9202,3,2.7239565549703942e-05
2018-01-16,all,ASYM,9202,4,3.4092002696933116e-05
2018-01-16,all,ASYM,9202,5,4.022734043490068e-05
2018-01-16,all,ASYM,9202,6,4.893834880879526e-05
2018-01-16,all,ASYM,9202,7,5.711915742739168e-05
2018-01-16,all,ASYM,9202,8,5.43730425470319e-05
2018-01-16,all,ASYM,9202,9,5.341927720869803e-05
2018-01-16,all,ASYM,9202,10,4.6331250271211355e-05
2018-01-16,all,ASYM,9202,11,4.4935501005601605e-05
2018-01-16,all,ASYM,9202,12,4.7428189087279126e-05
2018-01-16,all,ASYM,9202,13,6.344747253970626e-05
2018-01-16,all,ASYM,9202,14,5.689600663614717e-05
2018-01-16,all,ASYM,9202,15,5.293128647673659e-05
2018-01-16,all,ASYM,9202,16,4.610242997168208e-05
2018-01-16,all,ASYM,9202,17,4.8552989011133744e-05
2018-01-16,all,ASYM,9202,18,5.107142778563031e-05
2018-01-16,all,ASYM,9202,19,7.096003714489072e-05
2018-01-16,all,ASYM,9202,20,6.558695760849922e-05
2018-01-16,all,ASYM,9202,21,5.5891630226086715e-05
2018-01-16,all,ASYM,9202,22,4.0590382574278154e-05
2018-01-16,all,ASYM,9202,23,3.9853176533699686e-05
2018-01-16,all,ASYM,9202,24,4.252768881459829e-05
2018-01-16,all,ASYM,9203,1,1.730836156642548e-05
2018-01-16,all,ASYM,9203,2,2.848107524013612e-05
2018-01-16,all,ASYM,9203,3,2.7540208323573612e-05
2018-01-16,all,ASYM,9203,4,3.461766689974535e-05
2018-01-16,all,ASYM,9203,5,4.0972344654451056e-05
2018-01-16,all,ASYM,9203,6,4.989550514889879e-05
2018-01-16,all,ASYM,9203,7,5.822508611389017e-05
2018-01-16,all,ASYM,9203,8,5.570358172393669e-05
2018-01-16,all,ASYM,9203,9,5.489443325219791e-05
2018-01-16,all,ASYM,9203,10,4.7940873084827185e-05
2018-01-16,all,ASYM,9203,11,4.665656460928745e-05
2018-01-16,all,ASYM,9203,12,4.925394978663719e-05
2018-01-16,all,ASYM,9203,13,6.537377445817765e-05
2018-01-16,all,ASYM,9203,14,5.8910169913904686e-05
2018-01-16,all,ASYM,9203,15,5.502470966720551e-05
2018-01-16,all,ASYM,9203,16,4.825692751895289e-05
2018-01-16,all,ASYM,9203,17,5.077393261748548e-05
2018-01-16,all,ASYM,9203,18,5.336640119688984e-05
2018-01-16,all,ASYM,9203,19,7.260099753619654e-05
2018-01-16,all,ASYM,9203,20,6.763055476712882e-05
2018-01-16,all,ASYM,9203,21,5.799842846833786e-05
2018-01-16,all,ASYM,9203,22,4.285477379556869e-05
2018-01-16,all,ASYM,9203,23,4.2279031293468914e-05
2018-01-16,all,ASYM,9203,24,4.5044085739297875e-05
2018-01-16,all,ASYM,9204,1,1.7286059838196325e-05
2018-01-16,all,ASYM,9204,2,2.7489457347922863e-05
2018-01-16,all,ASYM,9204,3,2.6142318845525928e-05
2018-01-16,all,ASYM,9204,4,3.2162144191668853e-05
2018-01-16,all,ASYM,9204,5,3.7607594232810976e-05
2018-01-16,all,ASYM,9204,6,4.565704558863186e-05
2018-01-16,all,ASYM,9204,7,5.3461343094478624e-05
2018-01-16,all,ASYM,9204,8,5.003911186321158e-05
2018-01-16,all,ASYM,9204,9,4.875269112346357e-05
2018-01-16,all,ASYM,9204,10,4.136304826939592e-05
2018-01-16,all,ASYM,9204,11,3.971560522260763e-05
2018-01-16,all,ASYM,9204,12,4.198420417397384e-05
2018-01-16,all,ASYM,9204,13,5.7829157374143256e-05
2018-01-16,all,ASYM,9204,14,5.109718784155286e-05
2018-01-16,all,ASYM,9204,15,4.699172486431243e-05
2018-01-16,all,ASYM,9204,16,4.004528412666329e-05
2018-01-16,all,ASYM,9204,17,4.237097456255841e-05
2018-01-16,all,ASYM,9204,18,4.478098325361528e-05
2018-01-16,all,ASYM,9204,19,6.700748157261648e-05
