day,pool,window_start_utc,window_end_utc,prefix_wind_counties,fc_wind_counties,fc_wind_states,fc_convective_counties,fc_relevant_counties,fc_wind_county_share,prefix_to_fc_ratio,fc_span_5_95_h,fc_wind_counties_by_day,first_peak_day,second_wind_wave,wetcold_counties_after_peak,fc_top_types,F5_data,F1_gust_driven,F2_scale,F3_calm_prefix,F4_multiday,R1_second_wave,passes,reason,selected
2022-06-08,g2 convective,2022-06-05 00:00:00,2022-06-13 23:00:00,91,470,37,426,601,0.782,0.194,141.0,"[197, 55, 65, 17, 82, 109]",0,True,82,"Thunderstorm Wind,Hail,High Wind,Flood",True,True,True,True,True,True,True,selected: passes F1-F5 and R1,True
2022-06-17,g2 convective,2022-06-14 00:00:00,2022-06-22 23:00:00,454,684,44,636,758,0.902,0.664,136.7,"[381, 64, 27, 61, 69, 152]",0,True,26,"Thunderstorm Wind,Hail,High Wind,Heavy Rain",True,True,True,False,True,True,False,active prefix (prefix/forecast wind counties 0.66),False
2022-07-23,g2 convective,2022-07-20 00:00:00,2022-07-28 23:00:00,222,466,40,466,571,0.816,0.476,119.14999999999998,"[200, 125, 86, 34, 26, 47]",0,True,99,"Thunderstorm Wind,Flash Flood,Hail,Flood",True,True,True,False,True,True,False,active prefix (prefix/forecast wind counties 0.48),False
2022-11-05,catalogue wind,2022-11-02 00:00:00,2022-11-10 23:00:00,111,421,28,70,622,0.677,0.264,113.0,"[276, 58, 52, 18, 34, 18]",0,False,250,"High Wind,Heavy Snow,Winter Weather,Winter Storm",True,False,True,False,True,True,False,"not gust-driven with convection (wind share 0.68, convective counties 70); active prefix (prefix/forecast wind counties 0.26)",False
2022-12-27,catalogue wind,2022-12-24 00:00:00,2023-01-01 23:00:00,31,164,17,11,296,0.554,0.189,121.0,"[111, 32, 4, 18, 25, 22]",0,True,178,"Heavy Snow,High Wind,Flood,Winter Weather",False,False,True,True,True,True,False,"EAGLE-I record not on disk for the window; not gust-driven with convection (wind share 0.55, convective counties 11)",False
2024-01-10,catalogue wind,2024-01-07 00:00:00,2024-01-15 23:00:00,443,379,37,67,1679,0.226,1.169,91.0,"[141, 36, 196, 87, 21, 3]",2,True,804,"Extreme Cold/Wind Chill,Winter Storm,Winter Weather,Heavy Snow",True,False,True,False,True,True,False,"not gust-driven with convection (wind share 0.23, convective counties 67); active prefix (prefix/forecast wind counties 1.17)",False
2024-02-27,catalogue wind,2024-02-24 00:00:00,2024-03-03 23:00:00,96,445,37,130,669,0.665,0.216,108.0,"[109, 200, 58, 39, 76, 35]",1,True,208,"High Wind,Thunderstorm Wind,Winter Storm,Winter Weather",True,True,True,True,True,True,True,selected: passes F1-F5 and R1,True
2024-04-06,catalogue wind,2024-04-03 00:00:00,2024-04-11 23:00:00,160,380,27,164,576,0.66,0.421,129.0,"[189, 39, 5, 29, 84, 65]",0,True,139,"High Wind,Thunderstorm Wind,Flash Flood,Hail",True,True,True,False,True,True,False,active prefix (prefix/forecast wind counties 0.42),False
2024-05-08,g2 convective,2024-05-05 00:00:00,2024-05-13 23:00:00,344,473,34,454,747,0.633,0.727,140.0,"[160, 155, 104, 17, 14, 64]",0,True,112,"Thunderstorm Wind,Hail,Tornado,Flash Flood",True,True,True,False,True,True,False,active prefix (prefix/forecast wind counties 0.73),False
2024-05-26,g2 convective,2024-05-23 00:00:00,2024-05-31 23:00:00,342,678,36,657,881,0.77,0.504,116.0,"[304, 263, 63, 43, 40, 37]",0,True,88,"Thunderstorm Wind,Hail,Tornado,Flash Flood",True,True,True,False,True,True,False,active prefix (prefix/forecast wind counties 0.50),False
2024-06-26,g2 convective,2024-06-23 00:00:00,2024-07-01 23:00:00,214,544,45,526,667,0.816,0.393,117.0,"[246, 115, 42, 72, 114, 37]",0,True,114,"Thunderstorm Wind,Hail,Flood,Flash Flood",True,True,True,False,True,True,False,active prefix (prefix/forecast wind counties 0.39),False
2024-09-27,catalogue wind,2024-09-24 00:00:00,2024-10-02 23:00:00,109,279,17,44,498,0.56,0.391,67.94999999999996,"[245, 9, 13, 17, 0, 2]",0,False,32,"High Wind,Tropical Storm,Flash Flood,Flood",True,False,True,False,True,False,False,"not gust-driven with convection (wind share 0.56, convective counties 44); active prefix (prefix/forecast wind counties 0.39)",False
2024-11-20,catalogue wind,2024-11-17 00:00:00,2024-11-25 23:00:00,104,166,23,10,382,0.435,0.627,99.1499999999997,"[132, 6, 23, 13, 11, 0]",0,False,194,"High Wind,Winter Weather,Heavy Snow,Strong Wind",True,False,True,False,True,True,False,"not gust-driven with convection (wind share 0.43, convective counties 10); active prefix (prefix/forecast wind counties 0.63)",False
2024-12-19,catalogue wind,2024-12-16 00:00:00,2024-12-24 23:00:00,72,179,14,2,397,0.451,0.402,136.0,"[157, 0, 12, 5, 0, 18]",0,False,134,"Winter Weather,High Wind,Winter Storm,Strong Wind",True,False,True,False,True,True,False,"not gust-driven with convection (wind share 0.45, convective counties 2); active prefix (prefix/forecast wind counties 0.40)",False
