event,footprint,in_conus_grid,G1_denominator,G2_coverage,coverage_year_used,G3_origin_observed,G4_observed_share,era5_files,final,states,observed_share_final
2019-02-24,601,593,592,588,2019,585,564,era5_2019-02-24.nc,564,28,0.9990149724192278
2019-11-27,528,526,498,479,2019,466,464,era5_2019-11-27.nc,464,31,0.9999501117496807
2021-08-11,502,498,496,496,2021,491,477,era5_2021-08-11.nc,477,38,0.9997088283251805
2022-04-13,485,484,476,456,2022,446,432,era5_2022-04-13.nc,432,30,0.9992283950617284
2022-06-17,684,683,673,620,2022,609,604,era5_2022-06-17.nc,604,40,0.9983826956095168
2024-05-26,678,678,672,648,2022,645,0,era5_2024-05-26.nc,0,0,
2024-06-26,544,537,524,467,2022,462,461,era5_2024-06-26.nc,461,41,1.0
