scope,units,weather,weather + geography,weather + lat/lon,geography vs weather,lat/lon vs weather
2019-02-24,564,0.010654370079261753,0.010985941048228092,0.010671664763310978,0.031120654388730795,0.0016232479180433579
2019-03-13,321,0.013416927738692042,0.013576689476088682,0.01346081705730974,0.011907475430154912,0.003271189908188088
2019-11-27,464,0.004512720015819304,0.004584244174352683,0.0045280437107466905,0.01584945626643175,0.0033956671084556245
2021-03-26,544,0.0029093135012446007,0.002862742740459447,0.002879400516645734,-0.01600747419115567,-0.010281801732975882
2021-08-11,477,0.022141614260648573,0.022314339174801478,0.021212263173550516,0.007800917860803169,-0.041973050210244
2021-12-11,991,0.014308961788046729,0.014846255761555502,0.014329395343762617,0.03754947294342581,0.0014280250390323879
2022-04-13,432,0.005657896213128976,0.005787725695207878,0.005463629368203397,0.022946600147531138,-0.03433552642319404
2022-06-08,385,0.0060158225867815735,0.006068013490860924,0.005996071848239919,0.008675605592829205,-0.003283131817260143
2022-06-17,604,0.010844373784981015,0.011862159505320666,0.010913252847360473,0.09385380295072832,0.006351594268620087
2024-02-27,419,0.00873121907292033,0.008673556218584915,0.008658073473122623,-0.006604215729078988,-0.008377478469709487
2024-05-08,460,0.01456764086933314,0.014882856277358676,0.014504958096436382,0.02163805456579504,-0.004302877415705231
2024-06-26,461,0.004954515177173062,0.005033277138765992,0.0049638234755615815,0.015897006826381288,0.0018787506053883352
pooled twelve events,6122,0.011386955637527535,0.011264419788870798,0.011179325501319955,-0.01076107192803144,-0.018234033996172072
