descriptor,r2_from_weather,r2_from_pressure_alone
elev_mean,0.9965507211362747,0.9941977314294212
elev_mean5,0.9676203788937708,0.9662952109808302
s50_canopy_mean,0.8833814363976268,
slope_mean_deg,0.8607395467739546,0.30905781367800833
ruggedness_tri,0.8544522280992213,
s50_relief_p95_p5,0.8497133852292376,
canopy_mean,0.8366522697270898,
relief_p95_p5,0.8334871799077153,0.5157953240542973
canopy_dense_frac,0.8280064939802818,
steep_frac,0.8224575112218302,
s50_poorly_drained_share,0.8145012309670833,
canopy_in_developed,0.7910545184718794,
forest_frac,0.7871192261707085,
forest_on_steep_frac,0.771375785411373,
soil_wet_share,0.7624349019022462,
wetland_frac,0.7574616066572691,
forest_near_developed,0.7474642887241874,
poorly_drained_share,0.7331738009533406,
fia_forest_land_share,0.7254766364438272,
hydric_share,0.7201946857229623,
forest_wet_coloc,0.7126767155819773,
wet_in_forest,0.7015758741468375,
high_water_table_share,0.6936967068151478,
s50_windthrow_susceptibility,0.6419824124934534,
soil_windthrow_hazard,0.6178137018205556,
log_land_area_km2,0.5798562909946179,
root_limiting_share,0.5672529617663888,
windthrow_susceptibility,0.5216310981105905,
shallow_share,0.5049234020684716,
hazard_in_forest,0.498617210637905,
relief5,0.48781695050209795,
developed_frac,0.40232661430756456,
aspect_SE,0.2916403700105066,
aspect_NE,0.25941636355857933,
aspect_S,0.25380522987228793,
aspect_E,0.21393877629627234,
aspect_SW,0.1947061233505466,
aspect_W,0.18775080747968953,
aspect_NW,0.1820669222039255,
aspect_N,0.13692959818827022,
