forecast,rmse,mae,rmse 1-6 h,rmse 7-24 h,rmse 25-48 h,rmse 49-144 h,vs W
W (seed 0),0.02573959805448577,0.006119049969522431,0.01917352222392708,0.028844372180046145,0.033213951605909606,0.023217926803887096,0.0
GCRK (seed 0),0.02586549944340201,0.006470124799365345,0.0195585703951832,0.02923096028488614,0.0326593105499716,0.023511770508785664,0.004891350232032909
W path x unit scale from regressor (weather only),0.02545850439681355,0.006019865255877726,0.020202273062858715,0.029923864424945306,0.03260363071863121,0.022651454919480035,-0.010920670053867876
W path x unit scale from regressor (weather + context + prefix outage),0.02501396869864969,0.005960487437999016,0.020560975254357898,0.029809788763695125,0.031908888568961444,0.0221584351424484,-0.028191168886944507
W path x unit scale from regressor (... + 40 geographic descriptors),0.02483247646641031,0.005894241227973859,0.019663071197521156,0.02913066582121288,0.031429311908684095,0.02224374050898029,-0.03524225926742364
