target,n_units,target_sd,rmse_no_geo,r2_no_geo,rmse_geo,r2_geo,rel_change,ci_lo,ci_hi,null_rmse_p05,null_rmse_median,beats_null
lag gust peak -> outage peak (h),3910,43.74456896638395,34.172483394194536,0.38975420000453276,34.62242001776613,0.3735786399280372,0.013166635224644896,0.005160985544565089,0.020850196480392744,34.542455809117506,34.6115030255772,False
hours at or above half peak,3910,7.484745754678168,6.530449102560321,0.23874178424748205,6.505562248271093,0.24453287845254623,-0.003810894763649708,-0.014607760584229848,0.007732529782730646,6.50199273747494,6.534694956693995,False
window mean / peak,3910,0.05417852849730802,0.042781188950221316,0.37647870632968616,0.04227494347124926,0.39114810725174376,-0.011833366285380897,-0.024110831482673734,0.00011176579767571884,0.04254549382211855,0.0431293334794625,True
