model,rmse,mae,rmse 1-6 h,rmse 7-24 h,rmse 25-48 h,rmse 49-144 h,rmse_event_equal,false_activity,oracle_scale,vs W
W,0.02573959805448577,0.006119049969522431,0.01917352222392708,0.028844372180046145,0.033213951605909606,0.023217926803887096,0.022675458214519703,0.37688368661625704,0.9211991759219641,0.0
GCRK,0.02586549944340201,0.006470124799365345,0.0195585703951832,0.02923096028488614,0.0326593105499716,0.023511770508785664,0.02275248277105443,0.5072202630189224,0.8934201256650833,0.004891350232032909
W+C,0.025528784334825163,0.0058655668722033425,0.019379743683117557,0.0288093546042056,0.032661558957704735,0.023061533925015937,0.02269060056323675,0.3467407449895271,0.9228162668008408,-0.008190249094579993
W+G,0.025701727234079694,0.006165369655784536,0.01966440303852307,0.02922109514153968,0.03284543535706175,0.023171906657139724,0.02268321003143013,0.42141572931480187,0.9359938641757253,-0.0014713058193803752
GCRK closed,0.02649407446341384,0.006255126064473853,0.0195216683040794,0.02977648438276077,0.033725738332473526,0.024052713480527014,0.022985536147961883,0.5087274101002589,1.2907341800871437,0.029311895521095144
