design,contrast,cluster,n_clusters,seeds,rel_rmse_change,ci_lo,ci_hi,p_worse
main,GCRK vs W,county,2409,1,0.004891350232032909,-0.011794166415936022,0.021379568437252732,0.7306
main,GCRK vs W,event x state,411,1,0.004891350232032909,-0.014843793662894577,0.02151619977824505,0.6946
main,GCRK vs W,event,12,1,0.004891350232032909,-0.015474407042866114,0.02550041717186188,0.7046
main,closed vs W,county,2409,1,0.029311895521095144,0.013841720163693672,0.04396177276336536,1.0
main,closed vs W,event x state,411,1,0.029311895521095144,-5.936336978713538e-05,0.06402842855298732,0.9746
main,closed vs W,event,12,1,0.029311895521095144,-0.002063129668301221,0.04546687148929074,0.9668
