contrast,cluster,n_clusters,rel_rmse_change,ci_lo,ci_hi,p_better
W+C vs W,county,2409,-0.008190249094580437,-0.02489339204186529,0.007879284228837047,0.8314
W+C vs W,event x state,411,-0.008190249094580437,-0.03278278514256667,0.013014863965849124,0.7532
W+C vs W,event,12,-0.008190249094580437,-0.025317110696839694,0.019376180775936835,0.7096
W+G vs W,county,2409,-0.0014713058193803752,-0.01690043938777258,0.014186326564320943,0.5594
W+G vs W,event x state,411,-0.0014713058193803752,-0.021465253743083855,0.01836402916883195,0.5756
W+G vs W,event,12,-0.0014713058193803752,-0.01699230823791764,0.018263739145315334,0.5912
GCRK vs W,county,2409,0.004891350232032909,-0.011547666782441342,0.021076025742561774,0.2712
GCRK vs W,event x state,411,0.004891350232032909,-0.01470963173255927,0.02160329215974747,0.2954
GCRK vs W,event,12,0.004891350232032909,-0.01505795280459744,0.024862917851660202,0.2882
