arm,rmse,mae,rmse 1-6 h,rmse 7-24 h,rmse 25-48 h,rmse 49-144 h,rmse_event_equal,false_activity,t_star_median,minutes,vs W
W,0.02573959805448577,0.006119049969522431,0.01917352222392708,0.028844372180046145,0.033213951605909606,0.023217926803887096,0.022675458214519703,0.37688368661625704,880,278,0.0
GCRK,0.02586549944340201,0.006470124799365345,0.0195585703951832,0.02923096028488614,0.0326593105499716,0.023511770508785664,0.02275248277105443,0.5072202630189224,410,803,0.004891350232032909
GCRK-S,0.025697358149654015,0.006449158921823564,0.019520590926988178,0.029387373154089635,0.03272456616200026,0.023175529785568014,0.02270163949248361,0.47944484771287466,570,595,-0.0016410475696760907
W+C,0.025528784334825163,0.0058655668722033425,0.019379743683117557,0.0288093546042056,0.032661558957704735,0.023061533925015937,0.02269060056323675,0.3467407449895271,750,246,-0.008190249094579993
W+G,0.025701727234079694,0.006165369655784536,0.01966440303852307,0.02922109514153968,0.03284543535706175,0.023171906657139724,0.02268321003143013,0.42141572931480187,410,168,-0.0014713058193803752
W+Cin,0.02513286941446519,0.005783786605530397,0.01932406828247231,0.028709721344256943,0.03192262911797404,0.022691022811577977,0.022313387978514284,0.3253004899216956,740,226,-0.023571799323993003
