event,units,W,GCRK,rel_change,prefix_to_fc_ratio,calm_prefix,deposit_forecast,deposit_prefix,gate_open_share
2019-02-24,564,0.02670509859379848,0.025336654689560447,-0.05124279543217325,0.105,True,0.3959170843322649,0.13831538914418812,0.43636721828211184
2019-03-13,321,0.025943443435456494,0.024679968288917702,-0.04870113520906094,0.102,True,0.3968886402537147,0.10195797518754489,0.44401176877812387
2019-11-27,464,0.011081718414072109,0.011349029724073513,0.024121828403612877,0.165,True,0.39668690891743735,0.09230375268239656,0.4628831417624521
2021-03-26,544,0.010678099914447424,0.010696175635530122,0.0016927844117886615,0.109,True,0.2846267210073112,0.11135050743777196,0.2701184640522876
2021-08-11,477,0.03298102662158967,0.03398827287533758,0.03054017284860855,0.384,False,0.13033222366881944,0.056731466718400736,0.05907873282087118
2021-12-11,991,0.037734747607590303,0.0377060982718822,-0.0007592295569599505,0.058,True,0.41511012968634503,0.16799389135457132,0.462516818028927
2022-04-13,432,0.01647516146868377,0.016767408557961966,0.01773864795399449,0.447,False,0.29450488332400304,0.10684844440159698,0.27298739711934156
2022-06-08,385,0.017123071192842888,0.01722826180443771,0.006143209381666903,0.194,True,0.12339285525021615,0.06853291248152782,0.047005772005772
2022-06-17,604,0.025606757805971332,0.02698148607740045,0.053686151204528576,0.664,False,0.2027225233182706,0.06908890759165319,0.15066225165562913
2024-02-27,419,0.01904907690779177,0.019197452853318538,0.0077891409775388,0.216,True,0.32713747424626977,0.11527473842258384,0.3425649695041103
2024-05-08,460,0.0327570582788633,0.03341218841614987,0.01999966333085812,0.727,False,0.20330774655322667,0.07318552340704786,0.13968900966183576
2024-06-26,461,0.015970238333128862,0.015686796058083104,-0.017748155608785288,0.393,False,0.09996087988131476,0.06627174318564041,0.034872860930344654
