variant,model,seed,event,component,path_mse,mse_1h,mse_6h,mse_24h,oob_fraction,n_windows,n_counties
raw,NET,8201,2024-01-09,0,0.0012083374185258983,0.0002594754729845761,0.0006989839955225982,0.001911225468623243,0.43002645502645503,2520,120
raw,NET,8201,2024-01-12,0,0.000534149919759803,0.0002796027288173006,0.00043695905481831336,0.0007306867705846567,0.2315572641093474,5967,288
raw,NET,8201,2024-05-08,1,0.0004962171847133422,0.0002706871307971235,0.00034264691534108266,0.0007677487293612765,0.32779032797858115,3481,166
raw,NET,8201,2024-05-26,2,0.0033391917070443086,0.0005169922462405326,0.002524332646710614,0.00513985504033709,0.3478104440789473,4864,256
raw,NET,8201,2024-06-26,3,0.0003431634346536692,0.0001801098313904888,0.00039321516007050767,0.0004684383397169292,0.5298752834467119,2940,140
raw,NET,8201,2024-09-27,4,0.009043070194321231,0.0009295567201360252,0.006497497336076024,0.014703256241645086,0.0809156378600823,5658,270
raw,NET,8202,2024-01-09,0,0.001360423782647888,0.0002769822009677812,0.0006307509481275857,0.003013200470016659,0.28655753968253955,2520,120
raw,NET,8202,2024-01-12,0,0.0005164402783014411,0.00025641439867785706,0.0004450244680378557,0.0007406787466332867,0.2677124669312171,5967,288
raw,NET,8202,2024-05-08,1,0.00030962326238208825,0.00022013595336498772,0.00023913210858255945,0.0003600666754955373,0.3028595034901512,3481,166
raw,NET,8202,2024-05-26,2,0.0034571181753877823,0.000506032007416799,0.0025159366534533534,0.005252232440205317,0.34492358826754366,4864,256
raw,NET,8202,2024-06-26,3,0.0003583682503324578,0.00019085288013313313,0.000408541560037648,0.0005268211906315077,0.6872448979591835,2940,140
raw,NET,8202,2024-09-27,4,0.00845789949510142,0.0007666165884760003,0.005199683770204767,0.01519369336343421,0.06686018028610621,5658,270
raw,NET,8203,2024-01-09,0,0.0009462669633742073,0.0002699930423977747,0.0006805822302027467,0.0020489325996356877,0.379976851851852,2520,120
raw,NET,8203,2024-01-12,0,0.0005588242208281051,0.0002705737223445576,0.00041441799008593857,0.0008769259671279577,0.39888530643738973,5967,288
raw,NET,8203,2024-05-08,1,0.000525624634237813,0.00029980152211400924,0.000653159865971052,0.0006108870753854954,0.3889927268598201,3481,166
raw,NET,8203,2024-05-26,2,0.0035638439841621573,0.0005299730856673092,0.0026148352280540603,0.0055833563010104946,0.36908922697368385,4864,256
raw,NET,8203,2024-06-26,3,0.00033738451347441656,0.00016122335193824642,0.0003775616098531494,0.0005938077083062293,0.5138180272108844,2940,140
raw,NET,8203,2024-09-27,4,0.00953420348012261,0.000761588223647212,0.00579993115749336,0.01637476304935467,0.184347442680776,5658,270
raw,NET,8204,2024-01-09,0,0.0011625923483903088,0.0003032550336709251,0.0007134073834209614,0.002282458355194695,0.38330026455026445,2520,120
raw,NET,8204,2024-01-12,0,0.0005623453987757309,0.00023698950668847747,0.00044478350864907357,0.0008490270099143113,0.42768787202380953,5967,288
raw,NET,8204,2024-05-08,1,0.0003510968362489107,0.0002388388574092703,0.00031152378405394386,0.0004887483291580233,0.2945360310288773,3481,166
raw,NET,8204,2024-05-26,2,0.003455452323596396,0.000551620032840392,0.002587379326989104,0.005292881515594262,0.3178539610745611,4864,256
raw,NET,8204,2024-06-26,3,0.00042594975747759097,0.00022711366056090194,0.0003816202691085063,0.000736487593768202,0.566014739229025,2940,140
raw,NET,8204,2024-09-27,4,0.008364728930248456,0.0008025924589694084,0.005779659837353997,0.014416505596447204,0.21095679012345675,5658,270
raw,NET,8205,2024-01-09,0,0.0007308051317914216,0.0003068534574849499,0.0006089305985851367,0.001030515943146512,0.48103505291005283,2520,120
raw,NET,8205,2024-01-12,0,0.0005187791147981156,0.0003010685517249548,0.00041850840774447376,0.0006416861064692276,0.6869109623015869,5967,288
raw,NET,8205,2024-05-08,1,0.0002518953811371002,0.0002685207693027714,0.00023876401922859003,0.0003006632714573669,0.20716945161598768,3481,166
raw,NET,8205,2024-05-26,2,0.0032663053062011106,0.000566603962756927,0.002506436644892025,0.004757677564125806,0.10993181195175447,4864,256
raw,NET,8205,2024-06-26,3,0.00032733574996515947,0.00021932780353245486,0.0003683100117182361,0.0004786925685972464,0.24930555555555556,2940,140
raw,NET,8205,2024-09-27,4,0.009845094971252695,0.0008746714186353483,0.006626102772518892,0.016294163463233893,0.09942680776014111,5658,270
raw,ASYM,8201,2024-01-09,0,0.0007257843603507434,0.00011632174703166064,0.0005328073535388889,0.0011073212451525344,0.0,2520,120
raw,ASYM,8201,2024-01-12,0,0.0003961380232938405,5.023101557098674e-05,0.00027085338582138855,0.000574755194892049,0.0,5967,288
raw,ASYM,8201,2024-05-08,1,0.00023870403592168184,0.00010978253115216826,0.00018931206378756596,0.00031316582547425326,0.0,3481,166
raw,ASYM,8201,2024-05-26,2,0.003128603750430012,0.0003150757945176461,0.0019723919118807996,0.005095966891493427,0.0,4864,256
raw,ASYM,8201,2024-06-26,3,0.0002727713069825919,8.59463840534597e-05,0.0002869276289682436,0.0004276219656615455,0.0,2940,140
raw,ASYM,8201,2024-09-27,4,0.0063995996917807305,0.0004122540634396752,0.0037089483117079864,0.012058288099191657,0.0,5658,270
raw,ASYM,8202,2024-01-09,0,0.0007823729363441111,0.0001234359045327181,0.0005318868237425793,0.0012011362337949263,0.0,2520,120
raw,ASYM,8202,2024-01-12,0,0.00044649576029937737,5.294269760978989e-05,0.0003242232741079307,0.0005956450394792121,0.0,5967,288
raw,ASYM,8202,2024-05-08,1,0.0002566533000989348,0.0001118269637276135,0.00020017956753221375,0.00033681165582749595,0.0,3481,166
raw,ASYM,8202,2024-05-26,2,0.003500225953571676,0.00035590474758034364,0.0023703842891118917,0.005353669179728694,0.0,4864,256
raw,ASYM,8202,2024-06-26,3,0.0002641085415883074,8.03723239209367e-05,0.0002761249997704072,0.00044341066214867973,0.0,2940,140
raw,ASYM,8202,2024-09-27,4,0.008954663218581784,0.00044342101317502427,0.005105922135065849,0.016029476668902237,0.0,5658,270
raw,ASYM,8203,2024-01-09,0,0.0008765186496528746,0.00011535768452696746,0.0005583137174107606,0.0014052305521210064,0.0,2520,120
raw,ASYM,8203,2024-01-12,0,0.0004284930102948485,4.975446428965554e-05,0.00028237576092698816,0.0006770949169334512,0.0,5967,288
raw,ASYM,8203,2024-05-08,1,0.0002816717899696971,0.00011016679848024948,0.00019955655457352866,0.00036436370655996975,0.0,3481,166
raw,ASYM,8203,2024-05-26,2,0.0033237261660748027,0.0003515760454751747,0.0021824404249188405,0.005186241718143226,0.0,4864,256
raw,ASYM,8203,2024-06-26,3,0.00024384947343908923,8.202692696941814e-05,0.0002598976168299991,0.00040130984238095365,0.0,2940,140
raw,ASYM,8203,2024-09-27,4,0.007734952553311971,0.0004164811055711657,0.004278422293379198,0.01448600796610978,0.0,5658,270
raw,ASYM,8204,2024-01-09,0,0.0007718086484744731,0.00011737719899825769,0.0005601584323904773,0.001203198378188133,0.0,2520,120
raw,ASYM,8204,2024-01-12,0,0.000555377793453742,5.180301017450018e-05,0.00031600685716634053,0.000969079895267946,0.0,5967,288
