variant,model,seed,event,lead_h,mse
raw,NET,8202,2024-01-09,8,0.0006329831802825813
raw,NET,8202,2024-01-09,9,0.0006478531780280441
raw,NET,8202,2024-01-09,10,0.0008573411816056425
raw,NET,8202,2024-01-09,11,0.0009561642807395821
raw,NET,8202,2024-01-09,12,0.0010633144797503131
raw,NET,8202,2024-01-09,13,0.0011252985069212665
raw,NET,8202,2024-01-09,14,0.0013003565709694491
raw,NET,8202,2024-01-09,15,0.001414789151935007
raw,NET,8202,2024-01-09,16,0.0017476745593682605
raw,NET,8202,2024-01-09,17,0.001962194089120335
raw,NET,8202,2024-01-09,18,0.002161613024033836
raw,NET,8202,2024-01-09,19,0.002177656991355039
raw,NET,8202,2024-01-09,20,0.002313197421372613
raw,NET,8202,2024-01-09,21,0.002416594868358388
raw,NET,8202,2024-01-09,22,0.0027127557798031637
raw,NET,8202,2024-01-09,23,0.002821999258588061
raw,NET,8202,2024-01-09,24,0.003013200470016659
raw,NET,8202,2024-01-12,1,0.00025641439867785706
raw,NET,8202,2024-01-12,2,0.00024769014273013
raw,NET,8202,2024-01-12,3,0.0003657921408753649
raw,NET,8202,2024-01-12,4,0.00042719596807274166
raw,NET,8202,2024-01-12,5,0.0004599391276228376
raw,NET,8202,2024-01-12,6,0.0004450244680378557
raw,NET,8202,2024-01-12,7,0.0004494304774993453
raw,NET,8202,2024-01-12,8,0.0004936509287099124
raw,NET,8202,2024-01-12,9,0.0005115553366879376
raw,NET,8202,2024-01-12,10,0.0005603634648183046
raw,NET,8202,2024-01-12,11,0.0005184036024019709
raw,NET,8202,2024-01-12,12,0.0005014635429073475
raw,NET,8202,2024-01-12,13,0.0004900798990717411
raw,NET,8202,2024-01-12,14,0.0005394499842291135
raw,NET,8202,2024-01-12,15,0.0005527950499849791
raw,NET,8202,2024-01-12,16,0.0005970028658651586
raw,NET,8202,2024-01-12,17,0.0005448126308300633
raw,NET,8202,2024-01-12,18,0.0005331064129535307
raw,NET,8202,2024-01-12,19,0.0005441729705590598
raw,NET,8202,2024-01-12,20,0.0005888953216887656
raw,NET,8202,2024-01-12,21,0.0006182470782734322
raw,NET,8202,2024-01-12,22,0.0006920562672651315
raw,NET,8202,2024-01-12,23,0.000716345852838718
raw,NET,8202,2024-01-12,24,0.0007406787466332867
raw,NET,8202,2024-05-08,1,0.00022013595336498772
raw,NET,8202,2024-05-08,2,0.00016850556726479829
raw,NET,8202,2024-05-08,3,0.00020545845437531726
raw,NET,8202,2024-05-08,4,0.00020264972665508198
raw,NET,8202,2024-05-08,5,0.00019139380344903638
raw,NET,8202,2024-05-08,6,0.00023913210858255945
raw,NET,8202,2024-05-08,7,0.00031512454159139365
raw,NET,8202,2024-05-08,8,0.00025795355746394144
raw,NET,8202,2024-05-08,9,0.00028758731074590157
raw,NET,8202,2024-05-08,10,0.0002901932480112108
raw,NET,8202,2024-05-08,11,0.0002711427368715938
raw,NET,8202,2024-05-08,12,0.0003119470898735783
raw,NET,8202,2024-05-08,13,0.0003880153432356896
raw,NET,8202,2024-05-08,14,0.0003493488049434931
raw,NET,8202,2024-05-08,15,0.00038218770215236943
raw,NET,8202,2024-05-08,16,0.00036617006345458666
raw,NET,8202,2024-05-08,17,0.00033700707757604835
raw,NET,8202,2024-05-08,18,0.0003774823015886462
raw,NET,8202,2024-05-08,19,0.000434276788755495
raw,NET,8202,2024-05-08,20,0.0003818471992748102
raw,NET,8202,2024-05-08,21,0.0003996275613238321
raw,NET,8202,2024-05-08,22,0.00036294953837755987
raw,NET,8202,2024-05-08,23,0.0003307551427426506
raw,NET,8202,2024-05-08,24,0.0003600666754955373
raw,NET,8202,2024-05-26,1,0.000506032007416799
raw,NET,8202,2024-05-26,2,0.0010402708795687473
raw,NET,8202,2024-05-26,3,0.0015434360615250496
raw,NET,8202,2024-05-26,4,0.002004135650203595
raw,NET,8202,2024-05-26,5,0.002412039008559505
raw,NET,8202,2024-05-26,6,0.0025159366534533534
raw,NET,8202,2024-05-26,7,0.0025778608427835126
raw,NET,8202,2024-05-26,8,0.002875035703108785
raw,NET,8202,2024-05-26,9,0.0030960179205112236
raw,NET,8202,2024-05-26,10,0.003415042024961794
raw,NET,8202,2024-05-26,11,0.0036739333005907917
raw,NET,8202,2024-05-26,12,0.003627324619529502
raw,NET,8202,2024-05-26,13,0.003586400507076213
raw,NET,8202,2024-05-26,14,0.0037409644577387634
raw,NET,8202,2024-05-26,15,0.0038916124365279106
raw,NET,8202,2024-05-26,16,0.004232532543027519
raw,NET,8202,2024-05-26,17,0.0045067521477786
raw,NET,8202,2024-05-26,18,0.004528826555561041
raw,NET,8202,2024-05-26,19,0.004507110241982808
raw,NET,8202,2024-05-26,20,0.004547928982171794
