event,fips,delta_path_seed_mean,n_origins
2024-01-09,01001,2.7485466940425967e-05,21
2024-01-09,01025,0.00014681751613330603,21
2024-01-09,01031,9.330116679488335e-05,21
2024-01-09,01045,7.159659049490758e-05,21
2024-01-09,01051,1.5207089731035528e-05,21
2024-01-09,01061,1.5138606343905657e-05,21
2024-01-09,01129,0.00012677126553971025,21
2024-01-09,11001,0.0010671177507643916,21
2024-01-09,12057,3.197680767652756e-05,21
2024-01-09,12063,0.00011199989313143534,21
2024-01-09,12073,-0.000164533797815123,21
2024-01-09,12095,2.9399236593897063e-05,21
2024-01-09,12133,8.785967958612438e-06,21
2024-01-09,13009,-6.178600371353673e-05,21
2024-01-09,13033,7.512745148660638e-05,21
2024-01-09,13073,-0.0001846119459536436,21
2024-01-09,13075,-0.0004600538299214499,21
2024-01-09,13089,0.0014313389240848853,21
2024-01-09,13097,0.0011700674136960979,21
2024-01-09,13121,0.0013947963402086649,21
2024-01-09,13153,8.597191462108387e-05,21
2024-01-09,13233,0.0008267707404607266,21
2024-01-09,13245,0.00011786033941261833,21
2024-01-09,13251,3.757182461475143e-05,21
2024-01-09,13285,0.0011652416090683487,21
2024-01-09,13287,6.263346632326912e-05,21
2024-01-09,13297,0.000346696483467864,21
2024-01-09,22103,0.000713224071855434,21
2024-01-09,24005,0.0021887231700476284,21
2024-01-09,24027,0.0024535129377965363,21
2024-01-09,24031,0.0015909648979571776,21
2024-01-09,28061,0.00020925934457074392,21
2024-01-09,28067,0.00017978064637009115,21
2024-01-09,28085,0.0015308314153186847,21
2024-01-09,28163,0.0010210414759163093,21
2024-01-09,37001,0.0006473206257809317,21
2024-01-09,37023,0.00010716714379871726,21
2024-01-09,37025,0.00042341104017275103,21
2024-01-09,37045,-0.00020892801756041183,21
2024-01-09,37051,0.0001219452661562682,21
2024-01-09,37057,0.00021461321241592055,21
2024-01-09,37063,0.0003016407767885401,21
2024-01-09,37065,0.0002829137354181378,21
2024-01-09,37067,0.00030842343403469864,21
2024-01-09,37069,0.00018717997485341543,21
2024-01-09,37071,0.0006550941789706945,21
2024-01-09,37077,0.0004409154961280299,21
2024-01-09,37081,0.0005965508300016962,21
2024-01-09,37097,0.0003194183148937207,21
2024-01-09,37101,0.00015054562573132074,21
2024-01-09,37105,-0.0005051394054609848,21
2024-01-09,37119,0.0002634486598326409,21
2024-01-09,37125,0.00019939997848931424,21
2024-01-09,37135,0.0005094761728149616,21
2024-01-09,37145,0.0006924204146213877,21
2024-01-09,37151,0.0004640634742568172,21
2024-01-09,37153,0.00025252270662888754,21
2024-01-09,37157,0.0006937710412436243,21
2024-01-09,37159,-0.00026271993158361723,21
2024-01-09,37165,0.00020002841878714062,21
2024-01-09,37171,0.00047312714850123924,21
2024-01-09,37183,0.00013091597454837513,21
2024-01-09,37189,0.00030910798386090527,21
2024-01-09,37191,0.0003397405712867268,21
2024-01-09,37193,0.00037329185531191503,21
2024-01-09,37195,0.0002148072080308233,21
2024-01-09,37197,0.0003174023909644142,21
2024-01-09,39111,7.871548503460986e-05,21
2024-01-09,39121,7.476293252797495e-05,21
2024-01-09,39167,6.911611587080871e-05,21
2024-01-09,42029,-0.0002781774595852606,21
2024-01-09,45009,2.476973255755713e-05,21
2024-01-09,45015,6.0091628317558014e-05,21
2024-01-09,45019,7.552635262843078e-05,21
2024-01-09,45021,0.00019170848572016696,21
2024-01-09,45025,0.00016237966324790154,21
2024-01-09,45029,-1.0729385431114337e-05,21
2024-01-09,45031,0.00010766254472655022,21
2024-01-09,45035,3.8750031481035965e-05,21
2024-01-09,45039,0.00019266905668291077,21
2024-01-09,45045,-0.0011140991477114085,21
2024-01-09,45057,0.0002606030710596511,21
2024-01-09,45063,0.00014537200501854808,21
2024-01-09,45069,0.00011074210786035921,21
2024-01-09,45071,0.0003110104180095159,21
2024-01-09,45073,-0.0008026172632336682,21
2024-01-09,45075,5.115606542190286e-05,21
2024-01-09,45079,8.710569244873113e-05,21
2024-01-09,45083,-0.000226622390877447,21
2024-01-09,45085,7.432457521900809e-05,21
2024-01-09,45087,0.0004444509926621406,21
2024-01-09,45089,1.9124353405289545e-05,21
2024-01-09,45091,0.0003441173255876989,21
2024-01-09,47009,0.0011755317565824669,21
2024-01-09,47155,0.0007250397125180348,21
2024-01-09,51003,0.00041258173262313146,21
2024-01-09,51009,0.0006064466632140603,21
2024-01-09,51011,0.0007759481611204616,21
2024-01-09,51029,-0.006982508009961724,21
2024-01-09,51031,0.0011315085694629007,21
2024-01-09,51035,0.00039476465121858706,21
2024-01-09,51059,0.0010919951420401708,21
2024-01-09,51061,0.0009376009565139911,21
2024-01-09,51065,0.0005651260076673123,21
2024-01-09,51083,0.0007205856153588811,21
2024-01-09,51087,0.00048556082796125506,21
2024-01-09,51089,0.00023527509594589051,21
2024-01-09,51111,0.0006986741733992822,21
2024-01-09,51113,0.0005623401965818932,21
2024-01-09,51141,0.000415276688086195,21
2024-01-09,51143,0.0009276299568401899,21
2024-01-09,51145,0.00012549728618412893,21
2024-01-09,51147,0.0006224332909364538,21
2024-01-09,51153,0.0010305966104362167,21
2024-01-09,51640,0.00017266775154819072,21
2024-01-09,54055,0.0001149638366716825,21
2024-01-09,54075,0.0006914071033888407,21
2024-01-09,54083,0.000767578725295827,21
2024-01-09,54095,0.0001314349087719084,21
2024-01-09,54101,-0.00035144829313672743,21
2024-01-12,05001,5.27782910301838e-05,21
2024-01-12,05003,0.00024468301489497657,21
2024-01-12,05007,7.25734964240562e-06,21
2024-01-12,05017,0.00020332506402401634,21
2024-01-12,05027,0.0003451045440328817,21
2024-01-12,05031,0.00023360112782430025,21
2024-01-12,05043,0.0001328579917231796,21
2024-01-12,05045,0.0006079785412513699,21
2024-01-12,05053,0.00012666310791818822,21
2024-01-12,05059,0.0006047557149328271,21
2024-01-12,05063,0.00043433275394115495,21
2024-01-12,05067,0.00027278696469633525,21
2024-01-12,05069,0.00017306568712747994,21
2024-01-12,05075,0.0002799532193997527,21
2024-01-12,05077,1.0804508207046325e-05,21
2024-01-12,05081,0.00030561739584128564,21
2024-01-12,05095,7.798132951133789e-05,21
2024-01-12,05097,0.0002156336456385944,21
2024-01-12,05105,-0.00011105494078478902,21
2024-01-12,05111,0.00010504982229956399,21
2024-01-12,05115,0.0003396515879270148,21
2024-01-12,05119,0.0003632711820181503,21
2024-01-12,05125,0.0005241932317148283,21
2024-01-12,05143,9.517908268426439e-05,21
2024-01-12,05145,0.000410571558864318,21
2024-01-12,08013,0.00016794746731182698,21
2024-01-12,08069,0.00020122963171423773,21
2024-01-12,17007,0.00011171069671419084,21
2024-01-12,17011,0.00013401287113090608,21
2024-01-12,17015,7.803768605699386e-05,21
2024-01-12,17031,0.00015337213109727874,21
2024-01-12,17037,0.00014329833848305306,21
2024-01-12,17043,0.00012086028400677442,21
2024-01-12,17047,7.551311961794807e-05,21
2024-01-12,17053,0.00011480493090100313,21
2024-01-12,17063,0.00017738239828816524,21
2024-01-12,17065,0.00010193870737421453,21
2024-01-12,17073,0.00010010320496176777,21
2024-01-12,17085,7.445428660498768e-05,21
2024-01-12,17089,0.00013713645276241764,21
2024-01-12,17091,0.00023383678917727183,21
2024-01-12,17093,0.00014889701770748234,21
2024-01-12,17097,0.00015258538070094462,21
2024-01-12,17099,0.00016957083009981199,21
2024-01-12,17103,0.00012580634247828828,21
2024-01-12,17105,0.00016249281254664897,21
2024-01-12,17111,0.00011875033727782378,21
2024-01-12,17131,9.895395201718842e-05,21
