y0_bin,gust_bin,n_windows,n_county_events,n_events,n_components,status,within_cell_target_sd,within_cell_y0_sd,within_cell_gust_future_max_sd,NET_window_mean_path_mse,ASYM_window_mean_path_mse,delta_window_mean,seeds_delta_positive
0,0,2358,783,6,5,DESCRIPTIVE,0.011511780762304975,0.0,1.1750872135162354,0.00015751083679475694,0.00013300866019268679,2.4502176602070157e-05,5
0,1,4704,998,6,5,DESCRIPTIVE,0.02036453122112941,0.0,1.0581351518630981,0.0004703943855846111,0.0004201435147158251,5.025087086878605e-05,5
0,2,4976,1016,6,5,DESCRIPTIVE,0.05750270443756485,0.0,4.960959434509277,0.0033560736507399955,0.0029988942406505336,0.00035717941008946196,5
1,0,2044,669,6,5,DESCRIPTIVE,0.008604189546007017,0.002920765826804371,1.295415997505188,7.450678743063592e-05,7.246366058997642e-05,2.0431268406594972e-06,1
1,1,3359,910,6,5,DESCRIPTIVE,0.013682928310814186,0.0026273279591794126,1.0630953311920166,0.00027062627033748693,0.0001916332770275632,7.899299330992374e-05,5
1,2,4130,995,6,5,DESCRIPTIVE,0.08089390818740703,0.0029068922259756777,5.407938480377197,0.005610121078905479,0.00495580018717043,0.0006543208917350494,3
2,0,1138,230,6,5,DESCRIPTIVE,0.1747302798374316,0.18888039878363205,1.6675695180892944,0.004739422557853144,0.005352666569039133,-0.0006132440111859894,1
2,1,1193,376,6,5,DESCRIPTIVE,0.17838209122739798,0.19566296915569611,1.0850380659103394,0.004738655432179987,0.004462138709554931,0.00027651672262505537,3
2,2,1528,593,6,5,DESCRIPTIVE,0.20240331243726192,0.19631514728267152,4.5698723793029785,0.014187656484176464,0.011081807963600651,0.003105848520575813,4
