variant,model,seed,path_mse,mse_1h,mse_6h,mse_24h,oob_fraction
output_clip_01,ASYM,8201,0.0018602668614599333,0.00018160192262759944,0.001160206775950812,0.0032628532036442447,0.0
output_clip_01,ASYM,8202,0.0023674199517473653,0.00019465060842440435,0.0014681201815551451,0.003993358239980207,0.0
output_clip_01,ASYM,8203,0.002148201940457214,0.00018756050421877182,0.001293501061339886,0.003753374783708064,0.0
output_clip_01,ASYM,8204,0.002209206663451533,0.000186392605249957,0.0012948182377945318,0.0038723083347805974,0.0
output_clip_01,ASYM,8205,0.002161066930461725,0.0001847819863277369,0.0012998813806913633,0.0037181390513356415,0.0
output_clip_01,NET,8201,0.002478674735227075,0.0003786516756483723,0.001804341622015328,0.003939453418544261,0.0
output_clip_01,NET,8202,0.002392050517701367,0.0003391015667686315,0.0015610623842307596,0.004161543409442514,0.0
output_clip_01,NET,8203,0.0025579969782412782,0.0003505158281096557,0.0017461629494993115,0.004329687006417259,0.0
output_clip_01,NET,8204,0.002353163906497166,0.00033809891659411176,0.0016768235177911461,0.003975328392765295,0.0
output_clip_01,NET,8205,0.00246148616214233,0.0003657886948462915,0.0017698226730991872,0.00389518091989567,0.0
raw,ASYM,8201,0.0018602668614599333,0.00018160192262759944,0.001160206775950812,0.0032628532036442447,0.0
raw,ASYM,8202,0.0023674199517473653,0.00019465060842440435,0.0014681201815551451,0.003993358239980207,0.0
raw,ASYM,8203,0.002148201940457214,0.00018756050421877182,0.001293501061339886,0.003753374783708064,0.0
raw,ASYM,8204,0.002209206663451533,0.000186392605249957,0.0012948182377945318,0.0038723083347805974,0.0
raw,ASYM,8205,0.002161066930461725,0.0001847819863277369,0.0012998813806913633,0.0037181390513356415,0.0
raw,NET,8201,0.002494021643169709,0.00040607068839434117,0.00181560585142319,0.003953535098378047,0.32466256875002086
raw,NET,8202,0.002409978874025513,0.0003695056715060931,0.0015731782514072949,0.0041811154810694195,0.3260263627694569
raw,NET,8203,0.0025776912993665515,0.00038219215801818486,0.0017567480136100513,0.004348112116803422,0.37251826366906765
raw,NET,8204,0.002387027599122899,0.00039340159168989585,0.0017030623515959312,0.004011018066679449,0.366724943004999
raw,NET,8205,0.0024900359425242672,0.00042284099390623434,0.0017945087424478922,0.003917233152838342,0.30562994034917973
