variant,model,seed,group,company,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
raw,NET,5101.0,42,2,0.0001832759594810119,0.0001242897859958352,0.00018078123685292521,0.0001964459482376115,0.005208333333333333
raw,NET,5101.0,46,2,0.00021951704116665076,0.00011209464666945248,0.0002089391151865288,0.00024367888660249682,0.0005969593410445146
raw,NET,5101.0,117,3,4.127965332814825e-05,3.516394195420504e-05,4.115563581023892e-05,4.25133268709224e-05,0.010904092183666315
raw,NET,5101.0,199,4,1.6310669085546653e-05,1.3386681823584614e-05,1.6065268076180367e-05,1.730952062356969e-05,0.13626555380301436
raw,NET,5101.0,250,4,4.644763946864024e-06,2.663952221770186e-06,4.614121595691483e-06,5.269572119114929e-06,0.2561065106905012
raw,NET,5101.0,492,7,0.0011878365190309157,0.0007166617957700444,0.0012106322235458456,0.0012252040388295788,0.0784152646337189
raw,NET,5101.0,1087,22,3.525767826332699e-05,2.7897881053276008e-05,3.573073373987841e-05,3.532686550263587e-05,0.03569707325622152
raw,NET,5101.0,1113,22,4.7824269718210767e-05,4.0282546553826514e-05,4.871868851249333e-05,4.45428860214271e-05,0.09065566947073256
raw,NET,5101.0,1219,23,1.059744749679499e-05,6.964838144474325e-06,1.029943337660482e-05,1.1351405434089845e-05,0.4441541798107255
raw,NET,5101.0,1231,23,2.405093483341417e-05,1.2797019901977496e-05,2.3856906414171035e-05,2.5856540796513685e-05,0.1294470732562215
raw,NET,5101.0,1319,25,0.0006101858589620101,0.00038041420068980595,0.0006059019088936387,0.0006328024326039427,0.0038720206799859797
raw,NET,5101.0,1348,25,0.00032351001677979354,0.00026313082101082333,0.0003271773147657474,0.00032412456795516946,0.007486636873466526
raw,NET,5101.0,1389,26,5.1021206948764953e-05,2.7273115546614294e-05,4.9249426005655017e-05,5.574593469216821e-05,0.008078119523308797
raw,NET,5101.0,1498,27,0.00010367865893887085,4.737379263870638e-05,9.659262220623131e-05,0.00011838490623273166,0.08966986505432878
raw,NET,5101.0,1603,28,2.331769887262107e-05,1.1518110095191651e-05,2.1798808114426674e-05,2.6569991088659274e-05,0.3180971784086926
raw,NET,5101.0,1635,28,3.186276097251869e-05,1.865381935407252e-05,2.9110865554517776e-05,3.6172288919512316e-05,0.032066026989134244
raw,NET,5101.0,1926,36,0.0001306420302131665,6.273367578600693e-05,0.00013005202515053594,0.000141668920490205,0.00521928671573782
raw,NET,5101.0,1962,37,1.7417065980485252e-05,1.4836986698008975e-05,1.9059297268232973e-05,1.5511908380267986e-05,0.1663271118121276
raw,NET,5101.0,2001,37,0.00010743742759263453,0.00010991480865290849,0.00010643006343699505,0.00010860322383072703,0.10728290396074308
raw,NET,5101.0,2055,38,0.00023652131326365813,0.00021622584629042154,0.00023407497685223075,0.00024361121703633538,0.02943173852085524
raw,NET,5101.0,2075,38,7.407785808782119e-05,5.4462030410759565e-05,7.375922424495165e-05,7.778978864398938e-05,0.01983109884332282
raw,NET,5101.0,2242,41,4.999616637741904e-05,2.908461509706389e-05,4.8649456969801606e-05,5.488381652022428e-05,0.05251599193831055
raw,NET,5101.0,2512,42,0.00011762002338123105,8.256294937067481e-05,0.00012005767892977424,0.00011638132861095286,0.03609139502278304
raw,NET,5101.0,2543,43,4.7082172504402094e-05,3.531797751255728e-05,4.7791541681986955e-05,4.711980719577432e-05,0.3087648966000701
raw,NET,5102.0,42,2,0.0001846630308361382,0.00013019906034316921,0.00018215697658748847,0.00019717922924124417,0.0009858044164037854
raw,NET,5102.0,46,2,0.0002197085642528959,0.00011503964333788918,0.00020716929543582684,0.0002433692016586611,0.0006407728706624606
raw,NET,5102.0,117,3,4.210381994810033e-05,3.7226693293544284e-05,4.195044260392686e-05,4.3013648925975336e-05,0.003795347003154574
raw,NET,5102.0,199,4,1.6137156401819526e-05,1.4128298065717362e-05,1.59957261748675e-05,1.698970390748102e-05,0.01662175779880827
raw,NET,5102.0,250,4,4.798708657485964e-06,2.783133285818763e-06,4.8693745172316924e-06,5.613386727025632e-06,0.11133017875920084
raw,NET,5102.0,492,7,0.0011794579067805077,0.0006783571913054553,0.0012081604847665754,0.001221833530658886,0.05293222046968104
raw,NET,5102.0,1087,22,3.625592897739508e-05,2.9152972001266474e-05,3.67425169627866e-05,3.628451597927189e-05,0.010044251664914126
raw,NET,5102.0,1113,22,4.83646025659159e-05,4.193467398327235e-05,4.9152493569988875e-05,4.477125765800583e-05,0.02203820539782685
raw,NET,5102.0,1219,23,1.040823499117365e-05,7.083957814442528e-06,1.0280284582636597e-05,1.1183255267199434e-05,0.13885602874167544
raw,NET,5102.0,1231,23,2.4063910549135867e-05,1.2850850713774513e-05,2.4126022383891076e-05,2.605326607570904e-05,0.014633718892393972
raw,NET,5102.0,1319,25,0.000611806714710566,0.0003832559506466279,0.0005975954254367487,0.0006368244585000149,0.00520285664213109
raw,NET,5102.0,1348,25,0.00032308733816253617,0.0002739263127672309,0.0003260734491538991,0.00032392033368062204,0.0057833859095688745
raw,NET,5102.0,1389,26,5.1081011835206244e-05,2.7108111733948444e-05,4.939584748341242e-05,5.6146033912319744e-05,0.005197379950928847
raw,NET,5102.0,1498,27,0.00010125385121947937,4.602804886945422e-05,9.291507653963337e-05,0.00011696664720057547,0.022103925692253768
raw,NET,5102.0,1603,28,2.268314459795565e-05,1.1429811133549402e-05,2.0855137894977046e-05,2.6293604145507917e-05,0.10158166841920785
raw,NET,5102.0,1635,28,3.196843042577117e-05,1.9210749473370698e-05,2.8904457267392645e-05,3.662438332599384e-05,0.004425166491412548
raw,NET,5102.0,1926,36,0.00013094010182079796,6.179196136812231e-05,0.00012999160223886773,0.00014260571230882753,0.005865536277602524
raw,NET,5102.0,1962,37,1.795522194927953e-05,1.5462462000878525e-05,1.9776425967022338e-05,1.623513382071112e-05,0.03320517875920084
raw,NET,5102.0,2001,37,0.00010812940973413481,0.00011987838461908142,0.000106443972893609,0.00010861774942266431,0.04189121100595864
raw,NET,5102.0,2055,38,0.0002369953817093917,0.0002309444974035592,0.00023244028698736694,0.00024312382485384163,0.011867989835261128
raw,NET,5102.0,2075,38,7.397626522802909e-05,5.6268168444609603e-05,7.355317575452011e-05,7.76594638928464e-05,0.01532378198387662
raw,NET,5102.0,2242,41,4.9947674310643674e-05,2.976281317941897e-05,4.865480606843915e-05,5.465939539908123e-05,0.017755432877672624
raw,NET,5102.0,2512,42,0.00011830175997572678,8.24534660187425e-05,0.00012079310358219861,0.00011712951225138044,0.014086049772169646
raw,NET,5102.0,2543,43,4.710800893809e-05,3.643462816821893e-05,4.767774098607869e-05,4.737316114446315e-05,0.04987075008762706
raw,NET,5103.0,42,2,0.00018456256829334986,0.00012881631115815628,0.00018045773833448312,0.00019971698942386167,0.00014787066246056783
raw,NET,5103.0,46,2,0.00022038677607130467,0.00011455802544233084,0.00020812919329485987,0.000246494124907307,0.00015334735366281108
raw,NET,5103.0,117,3,4.2763088024200996e-05,3.677968623351595e-05,4.2239731429377094e-05,4.4464232959333884e-05,0.0014677532422011916
raw,NET,5103.0,199,4,1.617259173795427e-05,1.3768316247941345e-05,1.5410732107051265e-05,1.7149272415825267e-05,0.0012596389765159482
