variant,model,seed,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
raw,NET,5101.0,0.00016950380081091248,0.00010880867821618548,0.0001698337244839173,0.0001765241000837868,0.0925576216373116
raw,NET,5102.0,0.00016910594729396025,0.00010818358605962713,0.00016922541344089118,0.00017656868911749432,0.02742641380783386
raw,NET,5103.0,0.0001696168650192835,0.00010792495726817813,0.00016970550103000077,0.00017695364893478182,0.02600589702725202
raw,NET,5104.0,0.00016964713184636972,0.00010783450452704732,0.00017015227788671846,0.0001770116243648804,0.05224335540439888
raw,NET,5105.0,0.0001690344672479711,0.00010834110106173073,0.00016937772979549778,0.00017650983394151712,0.04521504912592009
raw,ASYM,5101.0,0.00016964458169650606,0.0001116639462097277,0.00017128921110784093,0.00017587184982779288,0.0
raw,ASYM,5102.0,0.00016937859000537567,0.00011054352422495801,0.00017076524214870126,0.00017632193225146895,0.0
raw,ASYM,5103.0,0.00017220555221157555,0.00011781318167692617,0.00017325405388887418,0.0001800212449591117,0.0
raw,ASYM,5104.0,0.0001701433605804108,0.00011964956614382607,0.00017057991861752793,0.00017642859682821758,0.0
raw,ASYM,5105.0,0.00016875659376564564,0.00010816847402285726,0.00017033591156799505,0.00017584536637715064,0.0
raw,PERSISTENCE,,0.0003055821479162244,0.0001341720644548961,0.0003044726075575482,0.0003363475483579501,0.0
output_clip_01,NET,5101.0,0.000169262677839192,0.00010879619332885829,0.0001696632767109242,0.00017619013643362555,0.0
output_clip_01,NET,5102.0,0.00016896086689262345,0.00010817694405924785,0.00016914343811197892,0.0001763320340547523,0.0
output_clip_01,NET,5103.0,0.00016950092784835061,0.00010792216333365952,0.00016965249649226425,0.00017683338112111453,0.0
output_clip_01,NET,5104.0,0.00016938948226228372,0.00010782188183177954,0.00016994063229548546,0.00017677833020374244,0.0
output_clip_01,NET,5105.0,0.0001689189706661502,0.00010833341687129857,0.00016931551552035613,0.00017630508359880014,0.0
output_clip_01,ASYM,5101.0,0.00016964458169650606,0.0001116639462097277,0.00017128921110784093,0.00017587184982779288,0.0
output_clip_01,ASYM,5102.0,0.00016937859000537567,0.00011054352422495801,0.00017076524214870126,0.00017632193225146895,0.0
output_clip_01,ASYM,5103.0,0.00017220555221157555,0.00011781318167692617,0.00017325405388887418,0.0001800212449591117,0.0
output_clip_01,ASYM,5104.0,0.0001701433605804108,0.00011964956614382607,0.00017057991861752793,0.00017642859682821758,0.0
output_clip_01,ASYM,5105.0,0.00016875659376564564,0.00010816847402285726,0.00017033591156799505,0.00017584536637715064,0.0
output_clip_01,PERSISTENCE,,0.0003055821479162244,0.0001341720644548961,0.0003044726075575482,0.0003363475483579501,0.0
