variant,model,seed,company,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
raw,NET,5101.0,2,0.0002013965003238313,0.00011819221633264384,0.000194860176019727,0.00022006241742005418,0.002902646337188924
raw,NET,5101.0,3,4.127965332814825e-05,3.516394195420504e-05,4.115563581023892e-05,4.25133268709224e-05,0.010904092183666315
raw,NET,5101.0,4,1.0477716516205338e-05,8.0253170226774e-06,1.0339694835935925e-05,1.128954637134231e-05,0.1961860322467578
raw,NET,5101.0,7,0.0011878365190309157,0.0007166617957700444,0.0012106322235458456,0.0012252040388295788,0.0784152646337189
raw,NET,5101.0,22,4.154097399076888e-05,3.409021380355126e-05,4.222471112618587e-05,3.9934875762031484e-05,0.06317637136347704
raw,NET,5101.0,23,1.7324191165104578e-05,9.880929023225911e-06,1.7078169895387928e-05,1.8603973115301763e-05,0.2868006265334735
raw,NET,5101.0,25,0.0004668479378709018,0.00032177251085031464,0.000466539611829693,0.0004784635002795561,0.005679328776726253
raw,NET,5101.0,26,5.1021206948764953e-05,2.7273115546614294e-05,4.9249426005655017e-05,5.574593469216821e-05,0.008078119523308797
raw,NET,5101.0,27,0.00010367865893887085,4.737379263870638e-05,9.659262220623131e-05,0.00011838490623273166,0.08966986505432878
raw,NET,5101.0,28,2.759022992256988e-05,1.5085964724632086e-05,2.5454836834472225e-05,3.1371140004085793e-05,0.17508160269891343
raw,NET,5101.0,36,0.0001306420302131665,6.273367578600693e-05,0.00013005202515053594,0.000141668920490205,0.00521928671573782
raw,NET,5101.0,37,6.242724678655989e-05,6.237589767545873e-05,6.2744680352614e-05,6.205756610549751e-05,0.13680500788643535
raw,NET,5101.0,38,0.00015529958567573967,0.00013534393835059054,0.0001539171005485912,0.0001607005028401624,0.02463141868208903
raw,NET,5101.0,41,4.999616637741904e-05,2.908461509706389e-05,4.8649456969801606e-05,5.488381652022428e-05,0.05251599193831055
raw,NET,5101.0,42,0.00011762002338123105,8.256294937067481e-05,0.00012005767892977424,0.00011638132861095286,0.03609139502278304
raw,NET,5101.0,43,4.7082172504402094e-05,3.531797751255728e-05,4.7791541681986955e-05,4.711980719577432e-05,0.3087648966000701
raw,NET,5102.0,2,0.00020218579754451704,0.0001226193518405292,0.00019466313601165764,0.00022027421544995265,0.000813288643533123
raw,NET,5102.0,3,4.210381994810033e-05,3.7226693293544284e-05,4.195044260392686e-05,4.3013648925975336e-05,0.003795347003154574
raw,NET,5102.0,4,1.0467932529652746e-05,8.455715675768063e-06,1.0432550346049597e-05,1.1301545317253326e-05,0.06397596827900456
raw,NET,5102.0,7,0.0011794579067805077,0.0006783571913054553,0.0012081604847665754,0.001221833530658886,0.05293222046968104
raw,NET,5102.0,22,4.231026577165549e-05,3.5543822992269415e-05,4.294750526638774e-05,4.0527886818638855e-05,0.016041228531370487
raw,NET,5102.0,23,1.723607277015476e-05,9.96740426410852e-06,1.7203153483263836e-05,1.8618260671454237e-05,0.07674487381703471
raw,NET,5102.0,25,0.0004674470264365511,0.0003285911317069294,0.0004618344372953239,0.0004803723960903185,0.005493121275849982
raw,NET,5102.0,26,5.1081011835206244e-05,2.7108111733948444e-05,4.939584748341242e-05,5.6146033912319744e-05,0.005197379950928847
raw,NET,5102.0,27,0.00010125385121947937,4.602804886945422e-05,9.291507653963337e-05,0.00011696664720057547,0.022103925692253768
raw,NET,5102.0,28,2.7325787511863412e-05,1.532028030346005e-05,2.4879797581184844e-05,3.1458993735750876e-05,0.053003417455310196
raw,NET,5102.0,36,0.00013094010182079796,6.179196136812231e-05,0.00012999160223886773,0.00014260571230882753,0.005865536277602524
raw,NET,5102.0,37,6.304231584170717e-05,6.767042330997997e-05,6.311019943031567e-05,6.242644162168772e-05,0.03754819488257974
raw,NET,5102.0,38,0.0001554858234687104,0.0001436063329240844,0.00015299673137094354,0.000160391644373344,0.013595885909568874
raw,NET,5102.0,41,4.9947674310643674e-05,2.976281317941897e-05,4.865480606843915e-05,5.465939539908123e-05,0.017755432877672624
raw,NET,5102.0,42,0.00011830175997572678,8.24534660187425e-05,0.00012079310358219861,0.00011712951225138044,0.014086049772169646
raw,NET,5102.0,43,4.710800893809e-05,3.643462816821893e-05,4.767774098607869e-05,4.737316114446315e-05,0.04987075008762706
raw,NET,5103.0,2,0.00020247467218232728,0.00012168716830024356,0.0001942934658146715,0.0002231055571655843,0.00015060900806168945
