cluster,n,n_eff,mu,v,U,R,c,one_branch,one_U,one_R,sigma,G,Gamma_neff,treatment_over_sigma
0,16116,14228.950517841144,0.03967959045936322,0.012777002690761728,0.0009166114340450472,0.010244556807182842,0.0009166114340450472,R,0.0,0.00862688013345859,0.021166361490330514,7.480025204839004e-07,23.756557720283347,0.04105286006684843
1,34764,31236.47830083968,0.042704102297905805,0.014419435512058699,0.00148509506393925,0.00792260011422851,0.00148509506393925,U,0.0012598777482697358,0.0,0.024349406407374624,9.723241804163629e-07,51.22670164210912,0.05767299405344795
2,20258,18172.81155529793,0.001325656279514705,0.0003772360783452044,1.0048046706656949e-05,0.016795426488708128,1.0048046706656949e-05,R,0.0,0.01677032813258924,0.002806295667244095,1.0049508352851979e-10,0.2318996467983325,0.003573751887663805
3,18332,16192.60627800845,0.03088081326604137,0.0071284867084107605,0.0008682500521999236,0.028268201886595325,0.0008682500521999236,R,0.0,0.02581896884381409,0.01658456466173925,6.649089082120323e-07,39.14450051164053,0.049908686699385606
4,4180,4040.956428495248,0.011097016452312156,0.0014800705283070537,0.0004623862036090992,0.036093922217110254,0.0004623862036090992,R,0.0,0.03335579598708447,0.00976190758630124,1.9737882854799458e-07,8.369805210693997,0.046458299286680486
5,20439,18504.42602030062,0.002998764325053751,0.0006173574753507517,0.00015064517516809295,0.0294963566652146,0.00015064517516809295,R,0.0,0.028925760790291043,0.006915060668776779,2.2368148606356535e-08,8.655928659927172,0.02168147077281782
6,1661,1598.7449766568495,0.050604292041137304,0.01946517995385439,0.018000098156048902,6.331455604687108e-20,6.331455604687108e-20,U,0.018000098155721723,0.0,0.05602509196630642,8.474069908205504e-41,4.316244909438663e-35,1.0635577010370881e-18
7,24657,22675.44087141651,0.013373571698313415,0.004941891759121046,6.028860248872631e-06,0.009167236852215562,6.028860248872631e-06,R,0.0,0.009157520462950255,0.008021580633773277,3.507765745168347e-11,0.012361364580642008,0.0007390706581827149
