candidate,reference,stratum,metric,mean_company_relative_gain_pct,ratio_of_means_gain_pct,min_seed_gain_pct,max_seed_gain_pct,companies_improved,companies
two_net,one_net,all,mse_net,1.4121790387008868,1.7849784140543945,1.0199127030682473,1.9099801856780223,14,16
two_net,one_net,all,mse_end,0.31149686735911997,1.0359213161605707,-0.4464313534951698,1.118128110145187,9,16
two_direction,two_net,all,mse_net,-4.103884973847197,-2.2874100343376114,-6.087124869307636,-2.441341063187185,6,16
two_direction,two_net,all,mse_end,-0.37037375408916173,1.3678316955356817,-2.017714736972645,0.548633490658483,9,16
two_net_median,one_net_median,low,mse_net,0.288127632865388,0.42968192218471035,0.17364293567868963,0.4846309346652262,13,16
two_net_median,one_net_median,low,mse_end,-0.015040332805351386,-0.015292297018398848,-0.0294987452694212,-0.0029873678838401863,0,16
two_net_median,one_net_median,high,mse_net,-7.893468079625814,-7.04469885891108,-14.149512466291789,-2.478399767691819,0,16
two_net_median,one_net_median,high,mse_end,-6.991543420645286,-6.684839158336553,-13.639171521532253,-1.2490888706414947,0,16
two_net_median_interior,one_net_median,low,mse_net,0.2872326180674059,0.4201268454472107,0.18097753782137863,0.4709888532909289,13,16
two_net_median_interior,one_net_median,low,mse_end,0.007094189461132189,0.0018368550133152084,-0.008892613213962869,0.017710293527509885,10,16
two_net_median_interior,one_net_median,high,mse_net,-1.1690781588588615,0.8396608934017058,-5.3554080612563295,2.5485962436952043,7,16
two_net_median_interior,one_net_median,high,mse_end,0.04982084608973501,1.1435705090801718,-4.581213241776623,3.240373004814017,8,16
