fips,event,n_events
28065,2020-02-06;2021-02-15,2
28073,2020-10-29;2021-02-15;2024-01-09,3
28091,2021-02-15,1
28097,2019-02-20;2022-01-16;2022-03-12;2024-01-12;2024-06-26,5
28109,2020-02-06,1
28111,2020-10-29,1
28115,2019-02-20;2022-03-12,2
28119,2022-03-12,1
28131,2020-10-29;2024-01-09,2
28135,2022-03-12,1
28153,2020-10-29,1
28161,2022-03-12,1
29003,2021-02-15;2021-12-15;2024-06-26,3
29011,2024-05-08,1
29013,2021-02-15;2024-05-26,2
29017,2019-02-24;2019-11-27;2021-02-15;2024-01-12;2024-05-26;2024-06-26,6
29023,2019-02-24;2019-11-27;2021-02-15;2024-01-12;2024-05-26;2024-06-26;2024-09-27,7
29025,2021-02-15;2021-12-15,2
29031,2019-02-24;2019-11-27;2021-02-15;2024-01-12;2024-05-08;2024-05-26;2024-06-26,7
29033,2021-02-15,1
29035,2019-02-24;2019-11-27;2020-10-29;2021-02-15;2024-05-26,5
29037,2021-02-15;2024-05-08;2024-05-26;2024-06-26,4
29039,2024-05-08;2024-05-26;2024-06-26,3
29041,2021-02-15,1
29055,2024-05-08,1
29059,2024-05-26,1
29061,2021-02-15;2021-12-15,2
29063,2021-02-15;2021-12-15,2
29081,2021-02-15;2021-12-15;2024-06-26,3
29083,2021-02-15;2024-05-26,2
29085,2024-05-08;2024-05-26,2
29093,2024-05-08;2024-05-26,2
29097,2024-05-08;2024-06-26,2
29109,2024-05-08;2024-05-26,2
29115,2021-02-15;2021-12-15;2024-06-26,3
29117,2021-02-15;2021-12-15;2024-06-26,3
29119,2024-05-08;2024-05-26,2
29135,2024-05-08,1
29141,2024-05-08;2024-05-26,2
29145,2024-05-08;2024-05-26;2024-06-26,3
29147,2019-02-20;2021-02-15;2021-12-15;2024-06-26,4
29149,2024-05-26,1
29157,2019-02-24;2019-11-27;2021-02-15;2024-01-12,4
29171,2021-02-15;2021-12-15,2
29177,2021-02-15;2021-12-15,2
29185,2024-05-08;2024-05-26,2
29186,2021-02-15;2024-05-08,2
29187,2019-11-27;2021-02-15;2024-05-08,3
29197,2021-02-15;2021-12-15;2024-06-26,3
29211,2021-02-15;2021-12-15,2
29223,2019-02-24;2019-11-27;2021-02-15;2024-05-26;2024-06-26,5
29227,2019-02-20;2021-02-15;2021-12-15,3
30001,2024-01-12,1
30003,2019-02-24;2020-02-06,2
30009,2020-02-06,1
30013,2024-01-12,1
30015,2024-05-08,1
30029,2019-11-27,1
30031,2019-02-24;2020-02-06;2020-08-04,3
30035,2024-01-12,1
30037,2019-02-24;2020-02-06,2
30047,2019-11-27,1
30049,2024-01-12,1
30051,2024-01-12,1
30053,2019-11-27,1
30057,2019-02-20;2024-01-12,2
30059,2024-01-12,1
30065,2019-02-24,1
30067,2019-02-24;2020-02-06;2020-08-04,3
30071,2022-03-12,1
30073,2024-01-12,1
30087,2019-02-24,1
30089,2019-11-27,1
30095,2020-02-06;2020-08-04;2022-03-12,3
30097,2020-02-06;2022-03-12,2
30099,2024-01-12,1
30101,2024-01-12,1
30103,2019-02-24,1
30107,2019-02-24;2020-02-06;2022-03-12,3
30111,2020-08-04,1
32003,2019-02-20;2019-11-27;2021-12-15,3
32007,2021-12-15;2024-01-12,2
32013,2019-11-27,1
32021,2024-06-26,1
33001,2020-08-04,1
33005,2020-08-04,1
33011,2020-08-04,1
33013,2020-08-04,1
33015,2020-08-04,1
34001,2019-02-20;2020-08-04,2
34003,2020-08-04,1
34005,2019-02-20;2020-08-04;2022-01-16,3
34011,2019-02-20;2020-08-04;2022-01-16,3
34013,2020-08-04,1
34015,2019-02-20;2020-08-04;2022-01-16,3
34017,2020-08-04,1
34019,2020-08-04;2022-01-16;2022-03-12;2024-06-26,4
34021,2019-02-20;2020-08-04;2022-01-16,3
34023,2019-02-20;2020-08-04;2022-01-16,3
34025,2019-02-20;2020-08-04;2022-01-16,3
34029,2019-02-20;2020-08-04,2
34031,2020-08-04,1
34035,2019-02-20;2020-08-04;2022-01-16;2022-03-12;2024-06-26,5
34037,2019-02-20;2020-02-06;2020-08-04;2022-01-16;2022-03-12;2024-06-26,6
34039,2020-08-04,1
35001,2020-08-04;2021-12-15,2
35005,2021-12-15;2024-01-12;2024-06-26,3
35006,2021-12-15,1
35009,2021-12-15,1
35015,2021-12-15,1
35017,2021-12-15,1
35019,2021-12-15;2024-01-12,2
35027,2019-11-27;2021-12-15;2024-01-12,3
35028,2021-12-15,1
35029,2021-12-15,1
35031,2021-12-15,1
35033,2021-02-15;2021-12-15,2
35039,2021-12-15,1
35049,2021-02-15;2021-12-15,2
35051,2021-12-15,1
35057,2021-02-15;2021-12-15,2
35059,2021-02-15;2021-12-15,2
35061,2021-12-15,1
36001,2018-01-16;2020-02-06;2020-08-04;2022-03-12,4
36005,2020-08-04,1
36007,2022-03-12,1
36015,2022-03-12,1
36019,2019-02-24;2022-03-12,2
36021,2018-01-16;2020-02-06;2020-08-04;2022-03-12,4
36035,2020-02-06;2020-08-04;2022-03-12,3
36037,2019-02-24;2019-11-27,2
36039,2018-01-16;2020-08-04;2022-03-12,3
36047,2020-08-04,1
36057,2020-02-06;2020-08-04;2022-03-12,3
36059,2020-08-04,1
36061,2020-08-04,1
36063,2019-02-24;2019-11-27,2
36073,2019-02-24;2019-11-27,2
36077,2022-03-12,1
36081,2020-08-04,1
36083,2018-01-16;2020-02-06;2020-08-04;2022-03-12,4
36085,2020-08-04,1
36087,2020-08-04,1
36091,2018-01-16;2020-02-06;2020-08-04;2022-03-12,4
36093,2020-02-06;2020-08-04;2022-03-12,3
36095,2020-02-06;2020-08-04;2022-03-12,3
36103,2020-08-04;2022-03-12,2
36105,2020-08-04,1
36107,2022-03-12,1
36119,2020-08-04,1
37003,2018-10-11;2020-02-06;2022-01-16;2024-01-09;2024-09-27,5
37005,2018-10-11;2020-02-06;2022-01-16;2022-03-12;2024-01-09;2024-09-27,6
37013,2020-08-04;2022-03-12;2024-01-09,3
37017,2024-01-09;2024-05-08;2024-09-27,3
37019,2020-08-04;2022-03-12;2024-01-09,3
37027,2018-10-11;2020-02-06;2020-10-29;2022-01-16;2024-01-09;2024-09-27,6
37029,2018-10-11;2020-08-04,2
37031,2020-08-04;2022-03-12;2024-01-09,3
37033,2018-10-11;2022-01-16;2024-09-27,3
37035,2018-10-11;2020-02-06;2020-10-29;2022-01-16;2024-01-09;2024-09-27,6
37037,2018-10-11;2020-02-06;2020-10-29;2022-01-16;2024-01-09,5
37041,2020-08-04,1
37043,2024-05-26,1
37047,2018-10-11;2024-01-09;2024-05-08,3
37049,2020-08-04;2022-03-12,2
37055,2018-10-11;2020-08-04;2022-03-12,3
37059,2018-10-11;2020-02-06;2020-10-29;2022-01-16,4
37073,2020-02-06;2020-08-04,2
37087,2020-10-29;2022-01-16;2022-03-12;2024-05-08;2024-09-27,5
37089,2018-10-11;2020-02-06;2020-10-29;2022-01-16;2024-01-09;2024-05-08;2024-09-27,7
37091,2020-02-06;2020-08-04;2024-09-27,3
37095,2018-10-11;2020-08-04,2
37099,2020-02-06;2022-01-16;2024-09-27,3
37103,2020-08-04,1
37107,2020-08-04;2022-03-12,2
37109,2018-10-11;2020-02-06;2020-10-29;2022-01-16;2024-05-08;2024-09-27,6
37111,2018-10-11;2019-02-24;2020-02-06;2020-10-29;2022-01-16;2024-01-09;2024-05-08;2024-09-27,8
37121,2019-02-24;2020-10-29;2022-01-16;2022-03-12;2024-09-27,5
37123,2018-10-11;2020-10-29;2022-01-16;2024-01-09;2024-05-08,5
37129,2022-03-12;2024-01-09;2024-09-27,3
37131,2020-08-04;2024-09-27,2
37133,2020-08-04;2022-03-12;2024-01-09,3
37137,2018-10-11;2020-08-04;2022-03-12,3
37139,2018-10-11;2020-08-04,2
37141,2022-03-12;2024-01-09,2
37149,2018-10-11;2020-02-06;2022-01-16;2024-01-09;2024-09-27,5
37155,2024-01-09;2024-05-08,2
37161,2018-10-11;2020-02-06;2022-01-16;2024-05-08;2024-09-27,5
37163,2020-08-04;2020-10-29;2022-01-16;2024-09-27,4
37167,2018-10-11;2020-02-06;2020-10-29;2022-01-16;2024-01-09;2024-05-08;2024-09-27,7
37169,2018-10-11;2019-02-24;2020-02-06;2020-10-29;2022-01-16;2024-01-09;2024-09-27,7
37175,2019-02-24;2020-02-06;2020-10-29;2022-01-16;2024-01-09;2024-09-27,6
37181,2018-10-11;2020-10-29;2022-01-16;2024-09-27,4
37185,2018-10-11;2020-08-04;2020-10-29;2022-01-16,4
37187,2018-10-11;2020-08-04,2
37199,2018-10-11;2019-02-24;2020-10-29;2022-01-16;2022-03-12;2024-05-26;2024-09-27,7
39005,2019-02-24;2021-02-15;2022-01-16,3
39017,2019-02-24;2019-11-27;2021-02-15;2022-01-16;2024-05-08;2024-05-26;2024-09-27,7
39025,2019-11-27;2021-02-15;2022-01-16;2024-09-27,4
39027,2019-02-20;2019-11-27;2021-02-15;2022-01-16;2024-05-08;2024-05-26;2024-09-27,7
39061,2019-02-20;2019-02-24;2019-11-27;2021-02-15;2022-01-16;2024-05-08;2024-05-26;2024-09-27,8
39067,2019-02-20;2019-02-24;2021-02-15;2022-01-16;2022-03-12;2024-05-26,6
39099,2019-02-24;2021-02-15;2022-01-16,3
39115,2019-02-24;2021-02-15;2022-01-16;2022-03-12;2024-01-12,5
39129,2019-02-20;2022-01-16;2024-05-26,3
39137,2019-02-20;2019-02-24;2019-11-27;2021-02-15;2024-05-08,5
39147,2019-02-24;2019-11-27;2021-02-15,3
39165,2019-02-20;2019-11-27;2021-02-15;2022-01-16;2024-05-08;2024-09-27,6
39169,2019-02-24;2019-11-27;2021-02-15;2022-01-16,4
39173,2019-02-24;2019-11-27;2021-02-15,3
39175,2019-02-24;2021-02-15,2
40003,2021-12-15;2024-05-26,2
40007,2021-12-15,1
40025,2021-12-15,1
40041,2024-01-12;2024-05-08;2024-05-26,3
40043,2021-12-15,1
40045,2021-12-15,1
40047,2024-05-26,1
40059,2021-12-15,1
40071,2021-12-15;2024-05-26,2
40073,2021-12-15;2024-05-26,2
40083,2024-06-26,1
40085,2024-05-26,1
40091,2024-01-12;2024-05-26;2024-06-26,3
40093,2021-12-15,1
40103,2024-05-26;2024-06-26,2
40105,2024-05-26,1
40109,2021-12-15;2024-06-26,2
40111,2024-01-12;2024-06-26,2
40115,2024-05-08;2024-05-26,2
40145,2019-11-27,1
40147,2019-11-27,1
40151,2021-12-15,1
40153,2021-12-15,1
41001,2019-11-27,1
41011,2021-12-15,1
41013,2019-02-24;2019-11-27;2024-01-12,3
41015,2021-12-15,1
41017,2019-02-24;2019-11-27;2024-01-12,3
41019,2021-12-15;2024-01-12,2
41021,2019-02-24;2019-11-27;2024-01-12,3
41023,2019-11-27,1
41025,2024-01-12,1
41029,2019-11-27;2021-12-15;2024-01-12,3
41031,2019-02-24;2019-11-27;2024-01-12,3
41033,2021-12-15;2024-01-12,2
41035,2021-12-15;2024-01-12,2
41037,2021-02-15;2021-12-15;2022-03-12;2024-01-12,4
41045,2019-11-27;2024-06-26,2
41049,2019-02-24;2019-11-27;2024-01-12,3
41055,2019-02-24;2019-11-27;2024-01-12,3
41059,2019-02-24;2020-02-06,2
41061,2019-02-20;2019-02-24;2020-02-06;2021-02-15,4
41063,2019-02-20,1
41065,2019-02-24;2019-11-27;2024-01-12,3
42013,2019-02-20;2019-02-24;2020-08-04;2021-02-15;2022-01-16;2022-03-12,6
42023,2019-02-24;2021-02-15;2022-01-16;2022-03-12,4
42033,2019-02-20;2019-02-24;2021-02-15;2022-01-16;2022-03-12,5
42075,2019-02-20;2019-02-24;2022-03-12;2024-06-26,4
42081,2019-02-20;2019-02-24;2021-02-15;2022-01-16;2022-03-12;2024-06-26,6
42085,2019-02-20;2019-02-24;2021-02-15;2022-01-16;2022-03-12,5
42093,2019-02-20;2019-02-24;2022-03-12;2024-06-26,4
42097,2019-02-20;2019-02-24;2022-03-12,3
42103,2020-08-04;2022-03-12;2024-06-26,3
42105,2019-02-24;2021-02-15;2022-01-16;2022-03-12;2024-06-26,5
42109,2019-02-20;2019-02-24;2021-02-15;2022-03-12;2024-06-26,5
42111,2019-02-20;2019-02-24;2021-02-15;2022-01-16,4
42115,2022-03-12,1
42127,2020-08-04;2022-03-12;2024-06-26,3
44001,2020-08-04,1
44005,2020-08-04,1
44007,2020-08-04,1
44009,2020-08-04,1
45001,2022-01-16;2024-09-27,2
45007,2020-02-06;2020-10-29;2022-01-16;2024-01-09;2024-05-26;2024-09-27,6
45017,2018-10-11;2024-09-27,2
45023,2018-10-11;2020-02-06;2022-01-16;2024-05-08;2024-09-27,5
45027,2018-10-11;2024-01-09;2024-09-27,3
45033,2024-01-09,1
45037,2018-10-11;2024-01-09;2024-09-27,3
45041,2024-01-09;2024-05-08,2
45043,2020-08-04;2020-10-29;2022-03-12;2024-01-09;2024-09-27,5
45047,2018-10-11;2020-02-06;2020-10-29;2022-01-16;2024-01-09;2024-09-27,6
45049,2018-10-11;2022-03-12;2024-09-27,3
45051,2018-10-11;2020-10-29;2022-03-12;2024-01-09,4
45059,2018-10-11;2022-01-16;2024-01-09;2024-09-27,4
45061,2018-10-11;2024-05-08;2024-09-27,3
45065,2018-10-11;2024-01-09;2024-09-27,3
45067,2024-01-09;2024-09-27,2
45077,2020-02-06;2024-01-09;2024-05-08;2024-05-26;2024-09-27,5
45081,2018-10-11;2022-01-16;2024-09-27,3
46003,2021-12-15,1
46007,2021-12-15;2024-06-26,2
46009,2021-12-15,1
46019,2024-01-12,1
46023,2021-12-15,1
46033,2020-02-06;2021-12-15;2024-05-26,3
46035,2021-12-15,1
46047,2020-02-06;2021-12-15,2
46051,2019-02-20;2019-02-24;2024-05-08,3
46053,2021-12-15;2024-01-12,2
46055,2021-12-15,1
46057,2019-02-20;2019-02-24;2024-05-08,3
46063,2021-12-15;2024-01-12,2
46071,2021-12-15;2024-06-26,2
46081,2020-02-06;2021-12-15;2024-01-12,3
46087,2024-01-12,1
46091,2019-02-24,1
46093,2020-02-06;2021-12-15;2024-01-12,3
46095,2021-12-15,1
46099,2024-01-12,1
46103,2020-02-06;2021-12-15;2024-01-12;2024-05-26,4
46105,2024-01-12,1
46109,2019-02-20;2019-02-24,2
46121,2021-12-15;2024-06-26,2
46123,2020-08-04;2021-12-15,2
46127,2024-06-26,1
46137,2021-12-15,1
47017,2022-01-16;2022-03-12,2
47019,2022-03-12;2024-09-27,2
47059,2020-02-06;2021-02-15;2022-03-12;2024-01-12;2024-05-08;2024-09-27,6
47075,2022-01-16,1
47083,2021-02-15;2022-03-12,2
47101,2022-01-16;2022-03-12;2024-05-08,3
47105,2022-03-12,1
47121,2022-03-12;2024-01-09,2
47141,2019-02-20;2020-02-06;2021-02-15;2022-01-16;2022-03-12;2024-01-12;2024-05-08,7
47153,2022-01-16;2022-03-12;2024-09-27,3
47177,2019-02-20;2019-02-24;2020-02-06;2022-01-16;2022-03-12;2024-01-12,6
47181,2020-02-06;2022-01-16;2022-03-12,3
48005,2018-01-16;2024-06-26,2
48013,2018-01-16;2021-02-15,2
48015,2021-02-15,1
48025,2021-02-15,1
48031,2018-01-16;2021-02-15,2
48035,2021-02-15,1
48041,2021-02-15,1
48043,2024-01-12,1
48051,2021-02-15,1
48053,2018-01-16;2021-02-15,2
48061,2018-01-16,1
48067,2018-01-16;2022-01-16;2024-06-26,3
48069,2021-12-15,1
48073,2018-01-16;2024-06-26,2
48081,2021-02-15,1
48083,2024-05-26,1
48089,2021-02-15,1
48095,2024-05-26,1
48099,2021-02-15,1
48103,2024-01-12,1
48109,2021-12-15;2024-01-12,2
48111,2021-12-15,1
48117,2021-12-15,1
48119,2021-02-15,1
48123,2018-01-16;2021-02-15,2
48127,2021-02-15,1
48137,2018-01-16;2021-02-15,2
48149,2018-01-16;2021-02-15,2
48163,2018-01-16;2021-02-15,2
48171,2018-01-16;2021-02-15,2
48173,2024-01-12,1
48175,2021-02-15,1
48177,2018-01-16;2021-02-15,2
48185,2021-02-15,1
48193,2021-02-15,1
48199,2018-01-16;2021-02-15;2024-01-09,3
48201,2018-01-16;2021-02-15,2
48203,2018-01-16;2022-01-16,2
48207,2021-02-15,1
48215,2018-01-16,1
48221,2021-02-15,1
48235,2024-05-26,1
48241,2018-01-16;2021-02-15,2
48243,2024-01-12,1
48247,2018-01-16,1
48255,2018-01-16;2021-02-15,2
48265,2018-01-16;2021-02-15,2
48267,2018-01-16,1
48271,2021-02-15,1
48277,2021-02-15,1
48283,2021-02-15,1
48285,2018-01-16;2021-02-15,2
48287,2018-01-16;2021-02-15,2
48289,2018-01-16;2021-02-15,2
48297,2021-02-15,1
48299,2018-01-16;2021-02-15,2
48307,2021-02-15,1
48309,2021-02-15,1
48311,2021-02-15,1
48313,2021-02-15,1
48319,2018-01-16,1
48323,2021-02-15,1
48325,2018-01-16;2021-02-15,2
48333,2021-02-15,1
48337,2024-05-26,1
48339,2021-02-15,1
48349,2018-01-16;2021-02-15,2
48351,2018-01-16;2021-02-15,2
48355,2024-01-12,1
48359,2021-12-15,1
48365,2018-01-16,1
48369,2021-12-15,1
48371,2024-01-12,1
48373,2021-02-15,1
48377,2024-01-12,1
48383,2024-01-12,1
48385,2018-01-16;2021-02-15,2
48405,2018-01-16,1
48407,2021-02-15,1
48421,2021-12-15,1
48425,2021-02-15,1
48431,2024-05-26,1
48435,2021-02-15,1
48447,2021-02-15,1
48451,2024-05-26,1
48455,2021-02-15,1
48457,2018-01-16;2021-02-15,2
48461,2024-01-12,1
48463,2021-02-15,1
48465,2021-02-15,1
48467,2018-01-16;2021-02-15,2
48469,2021-02-15,1
48471,2021-02-15,1
48473,2021-02-15,1
48477,2021-02-15,1
48491,2018-01-16;2021-02-15,2
48493,2018-01-16;2021-02-15,2
48495,2024-01-12,1
48507,2021-02-15,1
49001,2021-12-15,1
49003,2021-12-15,1
49005,2021-12-15,1
49007,2021-12-15;2024-01-12,2
49011,2021-12-15,1
49013,2021-12-15;2024-01-12,2
49015,2021-12-15;2024-01-12,2
49017,2021-12-15;2024-06-26,2
49019,2019-02-20;2021-12-15,2
49021,2021-12-15,1
49023,2021-12-15,1
49025,2021-12-15;2024-06-26,2
49027,2021-12-15,1
49029,2021-12-15,1
49031,2021-12-15,1
49033,2021-12-15,1
49035,2021-12-15,1
49037,2019-02-20,1
49039,2021-12-15;2024-01-12,2
49041,2021-12-15,1
49043,2021-12-15;2024-01-12,2
49045,2021-12-15;2024-01-12,2
49047,2021-12-15,1
49049,2021-12-15;2024-01-12,2
49051,2021-12-15;2024-01-12,2
49053,2021-12-15,1
49057,2021-12-15,1
50003,2018-01-16;2020-02-06;2020-08-04;2022-03-12,4
50007,2019-02-24;2022-03-12,2
50011,2019-02-24;2022-03-12,2
50013,2019-02-24;2022-03-12,2
50015,2019-02-24;2022-03-12,2
50017,2020-08-04;2022-03-12,2
50019,2020-08-04;2022-03-12,2
50023,2020-08-04;2022-03-12,2
50025,2018-01-16;2020-02-06;2020-08-04;2022-03-12,4
51027,2020-02-06;2022-01-16;2022-03-12;2024-01-12,4
51036,2018-10-11,1
51037,2018-10-11;2020-10-29;2022-01-16;2024-01-09;2024-09-27,5
51057,2018-10-11;2022-01-16;2024-06-26,3
51073,2018-10-11;2020-08-04,2
51079,2019-02-20;2019-02-24;2019-11-27;2020-10-29;2022-01-16;2022-03-12,6
51091,2018-01-16;2019-02-20;2019-02-24;2019-11-27;2022-01-16;2022-03-12;2024-05-26,7
51095,2018-10-11;2020-08-04,2
51097,2018-10-11;2022-01-16;2024-06-26,3
51115,2018-10-11;2020-08-04,2
51117,2018-10-11;2022-01-16;2024-01-09;2024-09-27,4
51127,2018-10-11,1
51133,2018-10-11;2019-02-20;2020-08-04;2024-06-26,4
51159,2018-10-11;2024-05-26;2024-06-26,3
51167,2020-02-06;2022-03-12;2024-01-12;2024-09-27,4
51169,2022-03-12;2024-05-26;2024-09-27,3
51181,2018-10-11;2020-08-04;2024-09-27,3
51191,2022-03-12;2024-01-12;2024-05-26;2024-09-27,4
51510,2019-02-20;2020-08-04;2022-01-16;2022-03-12,4
51520,2022-03-12;2024-01-12;2024-09-27,3
51540,2018-10-11;2019-02-20;2022-01-16;2022-03-12,4
51600,2019-02-20;2020-08-04;2022-01-16;2022-03-12,4
51610,2019-02-20;2020-08-04;2022-01-16;2022-03-12,4
51620,2020-02-06,1
51630,2019-02-20;2020-08-04;2022-01-16,3
51650,2018-10-11;2020-08-04,2
51678,2019-02-20;2019-02-24;2022-01-16;2024-09-27,4
51700,2018-10-11;2020-08-04,2
51710,2018-10-11;2020-08-04;2024-05-26,3
51735,2018-10-11;2020-08-04,2
51740,2018-10-11;2020-02-06;2020-08-04,3
51750,2018-10-11;2019-02-20;2019-02-24;2019-11-27;2022-01-16;2024-05-26;2024-09-27,7
51800,2018-10-11;2020-08-04;2024-09-27,3
51820,2019-02-20;2019-11-27;2022-01-16;2022-03-12;2024-09-27,5
51830,2018-10-11;2020-08-04,2
51840,2019-02-20;2019-11-27;2022-01-16;2022-03-12,4
53001,2018-01-16,1
53003,2019-02-20;2019-02-24;2021-02-15,3
53005,2019-02-24,1
53013,2019-02-20;2021-02-15;2024-01-12,3
53017,2018-01-16;2020-02-06,2
53019,2018-01-16,1
53021,2019-02-24,1
53023,2019-02-20;2019-02-24;2021-02-15,3
53025,2018-01-16,1
53033,2021-02-15,1
53037,2019-02-24,1
53043,2018-01-16;2021-02-15,2
53047,2018-01-16;2020-02-06,2
53051,2018-01-16;2019-11-27;2024-01-12,3
53061,2021-02-15,1
53063,2018-01-16;2019-02-20;2019-11-27;2021-02-15;2024-01-12,5
53065,2018-01-16;2019-11-27;2024-01-12,3
53071,2019-02-20;2019-02-24;2021-02-15;2024-01-12,4
53075,2019-02-20;2021-02-15,2
53077,2019-02-24,1
54007,2018-01-16;2019-02-24;2021-02-15;2022-01-16;2022-03-12;2024-01-12;2024-05-26;2024-06-26,8
54011,2018-01-16;2019-02-24;2019-11-27;2021-02-15;2022-01-16;2022-03-12;2024-01-12;2024-05-26,8
54013,2018-01-16;2019-02-24;2021-02-15;2022-01-16;2022-03-12;2024-01-12,6
54019,2018-01-16;2019-02-24;2019-11-27;2022-01-16;2022-03-12;2024-01-12;2024-05-26,7
54059,2018-01-16;2019-02-24;2021-02-15;2022-01-16;2022-03-12;2024-01-12;2024-05-26;2024-06-26,8
54093,2019-02-20;2019-02-24;2019-11-27;2022-01-16;2022-03-12;2024-01-12;2024-05-26,7
55001,2024-01-12,1
55003,2019-02-20;2019-02-24;2021-02-15;2024-01-12,4
55005,2019-02-20;2019-11-27;2021-02-15,3
55007,2019-02-20;2019-02-24;2021-02-15;2024-01-12,4
55011,2019-02-20;2019-02-24;2024-01-12,3
55013,2019-02-20;2019-11-27;2021-02-15,3
55017,2019-02-20;2019-02-24;2019-11-27;2021-02-15;2024-01-12,5
55019,2019-02-24,1
55023,2024-01-12;2024-06-26,2
55031,2019-02-20;2019-11-27;2021-02-15,3
55033,2019-02-20;2019-02-24;2019-11-27;2021-02-15;2021-12-15;2024-01-12,6
55035,2019-02-24;2019-11-27;2021-02-15;2024-01-12,4
55037,2019-02-24;2019-11-27,2
55041,2019-02-24;2019-11-27,2
55043,2024-01-12,1
55045,2019-02-24;2019-11-27;2024-01-12,3
55051,2019-02-20;2019-02-24;2019-11-27;2021-02-15;2024-01-12,5
55053,2019-02-24;2024-01-12,2
55055,2019-02-24;2019-11-27;2024-01-12;2024-05-26,4
55057,2024-01-12;2024-06-26,2
55065,2018-10-11;2019-02-20;2019-02-24;2019-11-27;2024-01-12,5
55075,2019-02-24;2024-01-12,2
55078,2019-02-24,1
55083,2019-02-24;2024-01-12,2
55085,2019-02-24;2019-11-27,2
55091,2019-02-24;2019-11-27;2024-01-12,3
55093,2019-02-20;2019-02-24;2019-11-27;2021-02-15;2024-01-12,5
55095,2019-02-20;2019-11-27,2
55103,2024-01-12,1
55105,2019-02-24;2019-11-27;2024-01-12;2024-05-08;2024-05-26;2024-06-26,6
55107,2019-02-20;2019-11-27;2021-02-15,3
55109,2019-02-20;2019-11-27;2021-02-15,3
55113,2019-02-20;2019-02-24;2019-11-27;2021-02-15,4
55119,2019-02-24;2019-11-27,2
55125,2019-02-24;2019-11-27,2
55133,2019-02-24;2019-11-27;2024-01-12;2024-05-08,4
55141,2019-02-24;2024-01-12,2
56001,2020-02-06;2021-12-15;2022-01-16;2022-03-12;2024-01-12,5
56003,2020-08-04,1
56005,2024-01-12,1
56007,2020-02-06;2021-12-15;2022-01-16;2024-01-12,4
56009,2024-01-12,1
56011,2020-02-06;2024-01-12,2
56013,2020-02-06;2021-02-15,2
56021,2020-02-06;2021-12-15;2022-03-12,3
56023,2020-02-06;2021-02-15,2
56027,2021-12-15,1
56031,2021-12-15;2022-03-12;2024-01-12,3
56037,2020-02-06;2021-12-15,2
56039,2020-02-06;2021-02-15,2
56041,2024-01-12,1
56045,2020-02-06,1
