fips,event,n_events
13013,2020-02-06;2020-10-29,2
13017,2024-09-27,1
13019,2020-02-06;2024-09-27,2
13021,2020-02-06;2020-10-29;2024-09-27,3
13023,2018-10-11;2024-01-09;2024-09-27,3
13025,2024-09-27,1
13027,2022-03-12;2024-09-27,2
13029,2021-02-15;2024-09-27,2
13031,2024-01-09;2024-09-27,2
13035,2018-10-11;2020-02-06;2020-10-29,3
13037,2020-02-06;2024-01-09;2024-09-27,3
13039,2024-06-26;2024-09-27,2
13043,2018-10-11;2024-09-27,2
13047,2018-01-16;2020-10-29;2024-09-27,3
13049,2024-09-27,1
13051,2018-10-11;2022-01-16;2022-03-12;2024-01-09;2024-09-27,5
13053,2020-10-29,1
13055,2018-01-16;2020-02-06;2020-10-29;2024-05-08;2024-09-27,5
13059,2020-10-29;2022-01-16,2
13061,2024-09-27,1
13063,2020-10-29;2024-01-09;2024-09-27,3
13065,2018-10-11;2024-01-09;2024-09-27,3
13069,2024-01-09;2024-06-26;2024-09-27,3
13071,2020-02-06;2024-01-09;2024-09-27,3
13079,2020-10-29;2024-01-09;2024-09-27,3
13081,2018-10-11;2020-02-06;2024-09-27,3
13087,2021-02-15;2024-01-09;2024-09-27,3
13091,2018-10-11;2024-09-27,2
13093,2018-10-11,1
13095,2020-02-06;2024-01-09;2024-09-27,3
13099,2021-02-15;2024-01-09;2024-09-27,3
13101,2024-09-27,1
13103,2024-09-27,1
13105,2020-02-06;2022-01-16;2024-05-26;2024-09-27,4
13107,2018-10-11;2024-09-27,2
13109,2024-01-09;2024-09-27,2
13113,2020-10-29,1
13115,2018-01-16;2020-10-29;2022-01-16,3
13125,2018-10-11;2020-10-29;2024-09-27,3
13127,2024-06-26;2024-09-27,2
13129,2018-01-16;2020-02-06;2020-10-29;2024-09-27,4
13131,2024-09-27,1
13133,2018-10-11;2020-02-06;2020-10-29;2024-09-27,4
13137,2020-02-06;2020-10-29;2022-01-16;2024-01-09;2024-09-27,5
13143,2018-01-16;2020-10-29,2
13145,2020-10-29,1
13149,2020-10-29;2024-01-09,2
13151,2020-10-29;2024-09-27,2
13155,2024-09-27,1
13157,2020-10-29;2022-01-16,2
13159,2018-10-11;2020-02-06;2020-10-29,3
13161,2024-01-09;2024-09-27,2
13163,2018-10-11;2020-10-29;2024-01-09;2024-09-27,4
13165,2020-02-06;2024-09-27,2
13167,2018-10-11;2021-02-15;2024-01-09;2024-09-27,4
13169,2018-10-11;2020-10-29;2024-01-09;2024-09-27,4
13171,2018-10-11;2020-10-29,2
13173,2020-02-06;2024-01-09;2024-09-27,3
13177,2020-02-06;2024-01-09;2024-09-27,3
13179,2020-02-06;2024-09-27,2
13181,2018-10-11;2020-02-06;2024-01-09;2024-09-27,4
13183,2024-09-27,1
13185,2020-02-06;2022-03-12;2024-01-09;2024-06-26;2024-09-27,5
13189,2018-10-11;2020-02-06;2022-03-12;2024-09-27,4
13191,2024-01-09;2024-09-27,2
13193,2020-10-29,1
13195,2020-10-29;2022-01-16;2024-09-27,3
13197,2020-02-06;2020-10-29;2024-01-09;2024-09-27,4
13201,2020-02-06;2021-02-15;2024-01-09;2024-09-27,4
13205,2020-02-06;2021-02-15;2024-01-09;2024-09-27,4
13207,2018-10-11;2020-10-29,2
13209,2018-10-11;2024-09-27,2
13219,2020-10-29;2024-09-27,2
13221,2020-10-29;2024-01-09;2024-09-27,3
13225,2020-10-29;2024-01-09,2
13229,2024-01-09;2024-09-27,2
13231,2018-10-11;2020-02-06;2020-10-29;2024-01-09;2024-09-27,5
13235,2018-10-11,1
13237,2018-10-11;2020-02-06;2020-10-29,3
13239,2024-09-27,1
13241,2020-02-06;2020-10-29;2022-01-16;2024-09-27,4
13243,2024-01-09;2024-09-27,2
13247,2020-10-29,1
13249,2020-10-29,1
13253,2021-02-15;2024-01-09;2024-09-27,3
13255,2018-10-11;2020-02-06;2020-10-29,3
13257,2020-10-29;2022-01-16,2
13259,2020-10-29,1
13261,2018-10-11;2024-09-27,2
13263,2020-02-06;2020-10-29;2024-01-09;2024-09-27,4
13265,2018-10-11;2020-10-29;2024-09-27,3
13267,2024-01-09;2024-09-27,2
13269,2020-10-29;2024-01-09,2
13273,2024-01-09;2024-09-27,2
13275,2020-02-06;2024-01-09;2024-09-27,3
13277,2024-01-09;2024-09-27,2
13279,2018-10-11;2024-09-27,2
13281,2018-01-16;2020-10-29;2022-01-16,3
13283,2018-10-11;2024-01-09;2024-09-27,3
13289,2018-10-11;2020-10-29,2
13291,2018-01-16;2019-02-20;2020-02-06;2020-10-29;2022-01-16;2024-09-27,6
13293,2018-10-11;2020-10-29,2
13299,2024-06-26;2024-09-27,2
13301,2018-10-11;2020-10-29;2024-09-27,3
13303,2018-10-11;2020-10-29;2024-09-27,3
13305,2024-09-27,1
13307,2020-10-29,1
13309,2024-01-09;2024-09-27,2
13311,2018-01-16;2020-02-06;2020-10-29;2022-01-16,4
13313,2018-01-16;2020-10-29,2
13315,2018-10-11,1
13317,2018-10-11;2020-10-29;2024-01-09;2024-09-27,4
13321,2020-02-06;2024-01-09;2024-09-27,3
15001,2024-01-09,1
15003,2024-01-09,1
15009,2024-01-09,1
16001,2019-02-20,1
16003,2019-11-27;2024-01-12,2
