model,R_rmse_two_column_mean,R_rmse_two_column_std,R_rmse_two_column_min,R_rmse_two_column_max,U_rmse_two_column_mean,U_rmse_two_column_std,U_rmse_two_column_min,U_rmse_two_column_max,R_bias_two_column_mean,R_bias_two_column_std,R_bias_two_column_min,R_bias_two_column_max,R_rmse_one_column_mean,R_rmse_one_column_std,R_rmse_one_column_min,R_rmse_one_column_max,source_raw_mse_mean,source_raw_mse_std,source_raw_mse_min,source_raw_mse_max,source_projected_mse_mean,source_projected_mse_std,source_projected_mse_min,source_projected_mse_max,source_projection_residual_mse_mean,source_projection_residual_mse_std,source_projection_residual_mse_min,source_projection_residual_mse_max,R_bound_from_source_mse_mean,R_bound_from_source_mse_std,R_bound_from_source_mse_min,R_bound_from_source_mse_max,fraction_projected_triangle_feasible_mean,fraction_projected_triangle_feasible_std,fraction_projected_triangle_feasible_min,fraction_projected_triangle_feasible_max,R_driver_slope_mean,R_driver_slope_std,R_driver_slope_min,R_driver_slope_max,R_rmse_triangle_mean,R_rmse_triangle_std,R_rmse_triangle_min,R_rmse_triangle_max,U_rmse_triangle_mean,U_rmse_triangle_std,U_rmse_triangle_min,U_rmse_triangle_max,source_triangle_mse_mean,source_triangle_mse_std,source_triangle_mse_min,source_triangle_mse_max,triangle_constraints_max_violation_mean,triangle_constraints_max_violation_std,triangle_constraints_max_violation_min,triangle_constraints_max_violation_max,unconstrained_negative_U_count_strict_mean,unconstrained_negative_U_count_strict_std,unconstrained_negative_U_count_strict_min,unconstrained_negative_U_count_strict_max
direct_state,0.004917219370764213,0.00040590825740703077,0.004374458816016139,0.005414729617770365,0.0029575032780550267,0.0005298480621711533,0.002295870871952785,0.003526857989080452,-0.001652326463634288,0.0017395880979553004,-0.003667143184866096,0.0010676355841809022,0.04403345831476876,0.001970740823217191,0.04159210670512538,0.046572244321541334,9.975331080912278e-07,3.630515245451355e-07,5.399490067598092e-07,1.5218426633580515e-06,9.91207214486905e-07,3.636790459411676e-07,5.378863953266178e-07,1.5181222935769245e-06,6.325893604349227e-09,4.576943059146664e-09,2.0626114332112906e-09,1.3780281445860179e-08,0.011025405091627695,0.0020603804134391914,0.008224144546591827,0.013806997270397461,0.9950248756218905,0.0111247163059691,0.9751243781094527,1.0,-0.0031276818825589164,0.002603299457355958,-0.006395948049587947,-8.180777171422356e-05,0.004903228817495359,0.0004180956105424903,0.004374458816016139,0.005414729617770365,0.0029510871547704567,0.0005213560943635987,0.002295870871952785,0.003494777372657602,9.899905686912203e-07,3.6346466650306296e-07,5.378863953266178e-07,1.5181222935769245e-06,0.0,0.0,0.0,0.0,1.0,2.23606797749979,0,5
one_net,0.044772165147236406,0.0012430720866106757,0.04265687041040065,0.04590288260588273,0.024685100374505543,3.278061182908249e-11,0.02468510032579478,0.024685100399215173,-0.04040759020036479,0.001287533858543034,-0.04176097268814888,-0.03830384473228157,0.044772164653902755,0.0012430721160427846,0.04265686987914897,0.04590288219470208,1.690751228761514e-05,8.160397662952048e-08,1.676908284935061e-05,1.6966235219658736e-05,1.6907512287611718e-05,8.160397662953376e-08,1.676908284934718e-05,1.6966235219655216e-05,4.012939601493342e-18,7.954974155582739e-20,3.908099897927197e-18,4.121206347152774e-18,0.04602069818616095,0.00011120009364178266,0.04583202189562133,0.046100655794916505,0.3771144278606965,0.008174963544853222,0.3681592039800995,0.3880597014925373,-0.03319422271224747,0.0006801895001367192,-0.0341388428132833,-0.032329716698323296,0.044772164417859125,0.001243072078097185,0.042656869673655416,0.04590288184425226,0.024685099959458442,4.047790114420292e-11,0.024685099896461865,0.024685099991825603,1.6907511734241908e-05,8.16039571771277e-08,1.676908231155598e-05,1.6966234654937262e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0
two_net,0.007544910441733747,0.001232841576519729,0.006113433712142666,0.009284018023457848,0.0038606636707994545,0.000679353665823588,0.0033206713652785204,0.004840926947678179,0.0019278471150764105,0.001798998963496467,0.0002528804357712177,0.004887318528631269,0.0438148548390805,0.0009113019607833913,0.04231647163094766,0.044729457977285975,6.749294481637509e-07,1.1359700246547051e-07,5.180603863488932e-07,7.922508897245872e-07,6.74929448153448e-07,1.135970024656359e-07,5.180603863382888e-07,7.922508897143748e-07,1.0263317905142925e-17,1.4947016472088637e-19,1.0132981632429165e-17,1.0511422424464082e-17,0.009167588189399483,0.0007907003265729996,0.008055723550699355,0.009961981463864646,1.0,0.0,1.0,1.0,-0.011686578778370213,0.0034589487531050786,-0.0158707577692126,-0.007131708029851092,0.007544910441733747,0.001232841576519729,0.006113433712142666,0.009284018023457848,0.0038606636707994545,0.000679353665823588,0.0033206713652785204,0.004840926947678179,6.74929448153448e-07,1.135970024656359e-07,5.180603863382888e-07,7.922508897143748e-07,0.0,0.0,0.0,0.0,0.0,0.0,0,0
