seed,model,R_rmse_two_column,U_rmse_two_column,R_bias_two_column,R_rmse_one_column,R_bias_one_column,source_raw_mse,source_projected_mse,source_projection_residual_mse,R_bound_from_source_mse,min_U_proj,max_U_proj,min_R_proj,max_R_proj,fraction_projected_triangle_feasible,R_driver_slope,R_rmse_triangle,U_rmse_triangle,source_triangle_mse,triangle_constraints_max_violation,unconstrained_negative_U_count_strict,raw_R_rmse,source_projection_vs_native_R_maxdiff
3101,one_net,0.04496075217442758,0.024685100394235125,-0.04061943431392316,0.04496075164508465,-0.040619433729721564,1.676908284935061e-05,1.676908284934718e-05,4.012508008163222e-18,0.04583202189562133,-3.895608168579318e-09,1.5534691554378464e-09,0.12834732284813827,0.19179726852864373,0.3681592039800995,-0.03318550904512309,0.04496075146285027,0.024685099990872546,1.676908231155598e-05,0.0,0,0.04496075585484505,7.390915990335145e-09
3101,two_net,0.006999173328654842,0.0033206713652785204,0.0020570286457230386,0.044729457977285975,-0.04030328722552887,5.964308861048071e-07,5.964308860944718e-07,1.0287718546704289e-17,0.00864359528940763,0.013417939337085485,0.03598998229186896,0.18992123192899701,0.21386344961921644,1.0,-0.01147460483744101,0.006999173328654842,0.0033206713652785204,5.964308860944718e-07,0.0,0,0.006999172270298004,1.1730760446360122e-08
3101,direct_state,0.005111013738935389,0.0024996309034651964,-0.0017771110301585834,0.046572244321541334,-0.04260705427903003,1.0645110023373358e-06,1.0597208700224384e-06,4.790132314911216e-09,0.0115475390285686,0.003204132224680621,0.033512427510088864,0.18468113891328986,0.2029865196904391,1.0,-0.0048064611247309605,0.005111013738935389,0.0024996309034651964,1.0597208700224384e-06,0.0,0,,
3102,one_net,0.045364523011452176,0.024685100398049144,-0.04097992172209891,0.045364522471070416,-0.04097992115075124,1.6944417778174017e-05,1.6944417778170635e-05,3.9754215964533195e-18,0.04607100508270554,-4.597490174065488e-09,2.4668924976848417e-09,0.12439285889897043,0.18923726484144662,0.373134328358209,-0.03348126721794337,0.04536452220683411,0.024685099942475645,1.6944417170768195e-05,0.0,0,0.04536452516913414,1.018217138382127e-08
3102,two_net,0.008246971424070224,0.004297797525587428,0.0002528804357712177,0.04408486450748987,-0.03981791376863576,7.922508897245872e-07,7.922508897143748e-07,1.019999672017056e-17,0.009961981463864646,0.01472138118348074,0.034644300979439435,0.18627595685500412,0.21534210564129141,1.0,-0.014144524414202856,0.008246971424070224,0.004297797525587428,7.922508897143748e-07,0.0,0,0.008246971294283867,1.4142869764199872e-08
3102,direct_state,0.005027814403569234,0.0032377738487115383,-0.003667143184866096,0.042907627118397317,-0.03964770728716702,8.091956583152165e-07,7.954153768694254e-07,1.3780281445860179e-08,0.010067951933741664,0.004343033453094505,0.031613527314957146,0.1867836069784307,0.19983423525878535,1.0,-0.00330053593452715,0.005027814403569234,0.0032377738487115383,7.954153768694254e-07,0.0,0,,
3103,one_net,0.04497579753401891,0.024685100355233483,-0.04037377754537139,0.044975797079507635,-0.04037377700159535,1.6899351290268544e-05,1.6899351290265064e-05,4.0474621577701984e-18,0.046009697553646776,-2.827055321592821e-09,3.590771356255367e-09,0.12737277100686004,0.19284020299086385,0.38308457711442784,-0.0341388428132833,0.044975796901703564,0.024685099991825603,1.6899350805744275e-05,0.0,0,0.044975798577070236,8.333627343759531e-09
3103,two_net,0.009284018023457848,0.004840926947678179,0.0007934163526762417,0.04421474493959659,-0.04002749265926024,7.263559003489743e-07,7.2635590033877e-07,1.0184470201946525e-17,0.009538697931223417,0.015424092163004959,0.03304001261535959,0.18644557825582997,0.2174783785158647,1.0,-0.0158707577692126,0.009284018023457848,0.004840926947678179,7.2635590033877e-07,0.0,0,0.009284017607569695,1.4147208654557986e-08
3103,direct_state,0.005414729617770365,0.002295870871952785,-0.0014613589731864562,0.04536415828451008,-0.040910670327606806,5.399490067598092e-07,5.378863953266178e-07,2.0626114332112906e-09,0.008224144546591827,0.002843478581735709,0.03332984329124759,0.18405311478190067,0.20343390867725836,1.0,-0.006395948049587947,0.005414729617770365,0.002295870871952785,5.378863953266178e-07,0.0,0,,
3104,one_net,0.04265687041040065,0.024685100399215173,-0.03830384473228157,0.04265686987914897,-0.03830384409243718,1.6966235219658736e-05,1.6966235219655216e-05,4.121206347152774e-18,0.046100655794916505,-4.278551826049385e-09,1.958109211046944e-09,0.1314505487951631,0.19325175714322498,0.373134328358209,-0.032329716698323296,0.042656869673655416,0.02468509997565655,1.6966234654937262e-05,0.0,0,0.04265687242150307,8.999712308721541e-09
