endpoint,reference,n_events,mean_reference,mean_two,mean_difference,mean_gain_pct,median_gain_pct,positive_events,signflip_p,bootstrap_lo,bootstrap_hi,loo_min_mean
active48_step_mse,one,11,0.0003007026348130534,0.0003010540180956785,-3.513832826250907e-07,-0.03914356081871904,0.2533527901429342,6,0.974609375,-2.321877817396723e-06,9.377828258806029e-07,-6.624759303542943e-07
path24_mse,damped_persistence,12,0.006329813899859278,0.005797940530067842,0.0005318733697914365,-58.604016269654124,-13.44949949569551,4,0.7109375,-0.000125763165513464,0.0017210832595713893,-3.667443160696566e-05
path24_mse,one,12,0.005833257774850596,0.005797940530067842,3.531724478275447e-05,-1.0178667470777,1.157172236559327,7,0.53271484375,-6.24345757400638e-05,0.00014330103613621612,-6.571825847345784e-06
path24_mse,persistence,12,0.006353119688246628,0.005797940530067842,0.0005551791581787867,-43.47216161620097,-1.1565615177219728,5,0.2900390625,-3.942417996485076e-05,0.0015627534417166774,9.600901223719479e-05
path24_mse,recursive_hgb,12,0.009588202016411555,0.005797940530067842,0.003790261486343712,56.130574380762084,77.55203369238393,11,0.04150390625,0.0005083438405261936,0.007118741576611145,0.0025701546073607392
h24_mse,damped_persistence,12,0.00957476901326148,0.008619201351050541,0.0009555676622109406,-146.2521747054839,-37.81382390688043,5,0.79931640625,-0.0004047558164831044,0.0033295638425233347,-0.00016418578272644184
h24_mse,direct_hgb_h24,12,0.010692195289456053,0.008619201351050541,0.0020729939384055134,19.027811793855673,7.941461328057875,9,0.0126953125,0.00021827526945327228,0.004665835426496854,0.0010547275843871293
h24_mse,one,12,0.008674299506921659,0.008619201351050541,5.50981558711177e-05,-0.5122400732248343,2.08813549607961,8,0.56201171875,-0.00012999125553429783,0.0002627033456600325,-2.573519362652198e-05
h24_mse,persistence,12,0.009672684718302795,0.008619201351050541,0.0010534833672522549,-96.85964484677191,-12.867235533604632,5,0.39013671875,-0.0001919947416206604,0.003080058956263072,0.00015252100290991737
h24_mse,recursive_hgb,12,0.01710122534102057,0.008619201351050541,0.008482023989970033,64.3887247856377,83.93146209633868,11,0.005859375,0.003355567878476735,0.014004925478449821,0.006457991638960033
