model,config_id,lr,parameter_target,parameters,width,fit,val,seed,objective,signed_init,steps,best_update,best_val_mse_path,state_scale,source_mean,wall_seconds,sampler_state_final
DIRECT,p32768_lr0.0003,0.0003,32768,32794,98,fold_A_fit,fold_A_val,4102,path,,3000,1250,0.00010089955848870697,0.018871417918737487,0.003022984057704312,20.57,"{'bit_generator': 'PCG64', 'state': {'state': 97808868575537151621475320281510745880, 'inc': 212671441627903673128200488187697427533}, 'has_uint32': 0, 'uinteger': 4234639535}"
DIRECT,p32768_lr0.0003,0.0003,32768,32794,98,fold_B_fit,fold_B_val,4102,path,,3000,3000,0.00015864508678326914,0.016475858531262894,0.002517923018037332,23.26,"{'bit_generator': 'PCG64', 'state': {'state': 97808868575537151621475320281510745880, 'inc': 212671441627903673128200488187697427533}, 'has_uint32': 0, 'uinteger': 4234639535}"
DIRECT,p32768_lr0.0003,0.0003,32768,32794,98,fold_A_fit,fold_A_val,4103,path,,3000,2750,0.00010100785818273924,0.018871417918737487,0.003022984057704312,19.46,"{'bit_generator': 'PCG64', 'state': {'state': 221852857311777141906717358435161574736, 'inc': 4920217202348389349459098661365978411}, 'has_uint32': 1, 'uinteger': 3510207079}"
DIRECT,p32768_lr0.0003,0.0003,32768,32794,98,fold_B_fit,fold_B_val,4103,path,,3000,2250,0.00015907858618535346,0.016475858531262894,0.002517923018037332,20.6,"{'bit_generator': 'PCG64', 'state': {'state': 221852857311777141906717358435161574736, 'inc': 4920217202348389349459098661365978411}, 'has_uint32': 1, 'uinteger': 3510207079}"
DIRECT,p32768_lr0.001,0.001,32768,32794,98,fold_A_fit,fold_A_val,4102,path,,3000,750,0.0001011991461488893,0.018871417918737487,0.003022984057704312,21.49,"{'bit_generator': 'PCG64', 'state': {'state': 97808868575537151621475320281510745880, 'inc': 212671441627903673128200488187697427533}, 'has_uint32': 0, 'uinteger': 4234639535}"
DIRECT,p32768_lr0.001,0.001,32768,32794,98,fold_B_fit,fold_B_val,4102,path,,3000,2250,0.00015887686730902927,0.016475858531262894,0.002517923018037332,19.78,"{'bit_generator': 'PCG64', 'state': {'state': 97808868575537151621475320281510745880, 'inc': 212671441627903673128200488187697427533}, 'has_uint32': 0, 'uinteger': 4234639535}"
DIRECT,p32768_lr0.001,0.001,32768,32794,98,fold_A_fit,fold_A_val,4103,path,,3000,1250,0.00010131493901131228,0.018871417918737487,0.003022984057704312,21.35,"{'bit_generator': 'PCG64', 'state': {'state': 221852857311777141906717358435161574736, 'inc': 4920217202348389349459098661365978411}, 'has_uint32': 1, 'uinteger': 3510207079}"
DIRECT,p32768_lr0.001,0.001,32768,32794,98,fold_B_fit,fold_B_val,4103,path,,3000,2000,0.00015874112454289954,0.016475858531262894,0.002517923018037332,19.94,"{'bit_generator': 'PCG64', 'state': {'state': 221852857311777141906717358435161574736, 'inc': 4920217202348389349459098661365978411}, 'has_uint32': 1, 'uinteger': 3510207079}"
NET,p32768_lr0.0003,0.0003,32768,32945,113,fold_A_fit,fold_A_val,4102,path,,3000,2750,0.00010000655329956002,0.018871417918737487,0.003022984057704312,97.17,"{'bit_generator': 'PCG64', 'state': {'state': 97808868575537151621475320281510745880, 'inc': 212671441627903673128200488187697427533}, 'has_uint32': 0, 'uinteger': 4234639535}"
NET,p32768_lr0.0003,0.0003,32768,32945,113,fold_B_fit,fold_B_val,4102,path,,3000,3000,0.00015890446358023076,0.016475858531262894,0.002517923018037332,98.49,"{'bit_generator': 'PCG64', 'state': {'state': 97808868575537151621475320281510745880, 'inc': 212671441627903673128200488187697427533}, 'has_uint32': 0, 'uinteger': 4234639535}"
NET,p32768_lr0.0003,0.0003,32768,32945,113,fold_A_fit,fold_A_val,4103,path,,3000,1250,9.96194705333147e-05,0.018871417918737487,0.003022984057704312,97.96,"{'bit_generator': 'PCG64', 'state': {'state': 221852857311777141906717358435161574736, 'inc': 4920217202348389349459098661365978411}, 'has_uint32': 1, 'uinteger': 3510207079}"
NET,p32768_lr0.0003,0.0003,32768,32945,113,fold_B_fit,fold_B_val,4103,path,,3000,2250,0.00015836869620046938,0.016475858531262894,0.002517923018037332,117.01,"{'bit_generator': 'PCG64', 'state': {'state': 221852857311777141906717358435161574736, 'inc': 4920217202348389349459098661365978411}, 'has_uint32': 1, 'uinteger': 3510207079}"
