model,seed,company,mse_path,mse_1h,mse_6h,mse_24h,oob
PERSISTENCE,,2,0.0003492941467373962,0.00015431587089647942,0.0003204678810050825,0.00039177622501784934,0.0
PERSISTENCE,,3,7.839667692230265e-05,4.88974935475909e-05,7.869132805176798e-05,8.007783776595326e-05,0.0
PERSISTENCE,,4,1.7383429948184856e-05,1.084115321932059e-05,1.6586612172013256e-05,1.841803123114947e-05,0.0
PERSISTENCE,,7,0.00218723872413812,0.0007869420248401448,0.002309704678900695,0.002389146740598179,0.0
PERSISTENCE,,22,8.013129177647757e-05,4.630793855154753e-05,8.276905503201464e-05,7.901845573758265e-05,0.0
PERSISTENCE,,23,2.992991651286002e-05,1.1927705091692519e-05,2.837535072710919e-05,3.399812949467984e-05,0.0
PERSISTENCE,,25,0.000843500339797474,0.00042993251533909356,0.0008002545773413184,0.0009180253810931103,0.0
PERSISTENCE,,26,8.290528645125771e-05,3.1745553790254e-05,7.906367021483092e-05,9.489933548242801e-05,0.0
PERSISTENCE,,27,0.00015222358594601263,5.317989005456383e-05,0.0001313650052800455,0.00019168176987483787,0.0
PERSISTENCE,,28,4.0593469641371896e-05,1.915859820414423e-05,3.560784391024275e-05,4.903976852058043e-05,0.0
PERSISTENCE,,36,0.00022260511139897562,7.087282486119291e-05,0.0001886006434869099,0.0002708502898382948,0.0
PERSISTENCE,,37,0.00011958954012071105,9.642318158280524e-05,0.00011893828111932253,0.00012194721703546587,0.0
PERSISTENCE,,38,0.0002832729283875358,0.00019792363156458638,0.0002792812475796547,0.00031204679344377863,0.0
PERSISTENCE,,41,8.486569933146276e-05,3.653323456878743e-05,7.60271077899298e-05,0.00010320339312467201,0.0
PERSISTENCE,,42,0.0002274093307709293,0.00010447122816907942,0.00023490661465770435,0.00023345222310110263,0.0
PERSISTENCE,,43,8.997488979674959e-05,4.728018037074169e-05,9.092182640450633e-05,9.397918478577635e-05,0.0
DIRECT,5101.0,2,0.00020156753767361807,0.00012197197630211322,0.00019523859930156882,0.000217588758460485,0.0011309367332632317
DIRECT,5101.0,3,4.149278636737526e-05,3.4592669425826285e-05,4.160617466484212e-05,4.248345278422406e-05,0.07349171924290221
DIRECT,5101.0,4,1.0536162696669697e-05,7.944956969955159e-06,1.018981046615872e-05,1.1262876388080257e-05,0.21940994128987032
DIRECT,5101.0,7,0.0011823657256383006,0.0007102286876699916,0.0012071232250151966,0.0012175163009810904,0.008976296880476691
DIRECT,5101.0,22,4.210927059917603e-05,3.402465991513817e-05,4.314574641983374e-05,4.02478637050098e-05,0.14051820452155625
DIRECT,5101.0,23,1.7729663120608323e-05,1.0116313509434077e-05,1.7681560334054386e-05,1.8918389128775894e-05,0.3187543813529618
DIRECT,5101.0,25,0.0004705082693483555,0.0003304002356758187,0.00046806862637504794,0.00048589494553668845,0.01761577725201542
DIRECT,5101.0,26,5.119731298130556e-05,2.7622854519802084e-05,4.96462818609688e-05,5.5994256573903324e-05,0.07886435331230283
DIRECT,5101.0,27,0.00010266386544653474,4.9540177113970175e-05,9.597654966894365e-05,0.00011757469265387964,0.13468826673676831
DIRECT,5101.0,28,2.765064277588566e-05,1.559472854645459e-05,2.5635089185071608e-05,3.157073833266764e-05,0.2939394935155976
DIRECT,5101.0,36,0.00013196933749039447,6.364318888390895e-05,0.00012966873978240988,0.00014410946031176493,0.02638669821240799
DIRECT,5101.0,37,6.313410177402502e-05,6.386228285068445e-05,6.370065332200423e-05,6.26429250346172e-05,0.2748176261829653
DIRECT,5101.0,38,0.00015512599724021157,0.00013759248425831354,0.00015422898013399286,0.0001608728883241616,0.09273133543638276
DIRECT,5101.0,41,5.010027184040989e-05,2.9624400159560662e-05,4.8910118526248926e-05,5.50965806499499e-05,0.13967753242201192
DIRECT,5101.0,42,0.00011842091875659543,8.324083635862019e-05,0.00012123465301567113,0.00011687996494263462,0.16533583070452157
DIRECT,5101.0,43,4.782024888543862e-05,3.56166523987325e-05,4.8885345085882264e-05,4.7609145550608056e-05,0.3775630914826498
DIRECT,5102.0,2,0.00020239865514287616,0.0001247322616162108,0.00019590917353111433,0.00021902949790463257,0.0022755651945320717
DIRECT,5102.0,3,4.244375049494073e-05,3.691096596435832e-05,4.27164073855124e-05,4.3080165317482455e-05,0.016879162285313706
DIRECT,5102.0,4,1.0566993537802634e-05,8.45495434334307e-06,1.049751713945654e-05,1.1578597970282685e-05,0.10139546091833158
DIRECT,5102.0,7,0.0011815312512678956,0.0006684072349772247,0.0012131494553259984,0.0012244014726913765,0.020981203995793903
DIRECT,5102.0,22,4.274865945952233e-05,3.5440118398348464e-05,4.382203484541405e-05,4.053413234154945e-05,0.042362206449351555
DIRECT,5102.0,23,1.7686876393649796e-05,1.0081415881006406e-05,1.7595741662337647e-05,1.9117783250273528e-05,0.1128937740974413
DIRECT,5102.0,25,0.00046910139749714434,0.0003360026470001019,0.00046574052041672954,0.0004819778780008808,0.004496363477041711
DIRECT,5102.0,26,5.1227182296512794e-05,2.6930588027704886e-05,4.981568769549683e-05,5.6219711020794764e-05,0.011900849982474588
DIRECT,5102.0,27,0.00010080145659095772,4.6908367770695176e-05,9.272789727503512e-05,0.00011670108852083634,0.03937740974412899
DIRECT,5102.0,28,2.7578700560867614e-05,1.5620530294986464e-05,2.5284089649045075e-05,3.169754511013347e-05,0.0924848843322818
DIRECT,5102.0,36,0.00013103375884710513,6.201748028633964e-05,0.000126742729373978,0.00014389910671938977,0.005531458114265685
DIRECT,5102.0,37,6.358394875184508e-05,6.991533123398062e-05,6.358751144886813e-05,6.279542980403699e-05,0.07578645285664212
DIRECT,5102.0,38,0.00015569179214846307,0.00014735828607827334,0.00015323076760327234,0.00016080551064110368,0.03267120136698212
DIRECT,5102.0,41,4.975000404471523e-05,2.9881130894329027e-05,4.851851936897099e-05,5.469231774093615e-05,0.03736198738170347
DIRECT,5102.0,42,0.00011873539415610202,8.243329284179055e-05,0.00012153427272816951,0.00011706143621061817,0.0391254819488258
DIRECT,5102.0,43,4.767908900414328e-05,3.6384470292938865e-05,4.857526715031175e-05,4.756423240562281e-05,0.12383346477392218
DIRECT,5103.0,2,0.00020166325987962025,0.00012199136271128946,0.00019508805598831853,0.00021903282925550733,0.0007393533123028391
DIRECT,5103.0,3,4.262544353478882e-05,3.589981752759437e-05,4.2824251059545456e-05,4.308211208458384e-05,0.0077111812127585
DIRECT,5103.0,4,1.0875370409658048e-05,8.356420547144278e-06,1.0914216718236436e-05,1.1011121963644986e-05,0.02985892043463021
DIRECT,5103.0,7,0.0011798863114093486,0.000685235218499635,0.0012112167231403675,0.0012210511134831622,0.003702243252716439
DIRECT,5103.0,22,4.324918158167433e-05,3.499527142660628e-05,4.500611710073266e-05,4.0996377099554625e-05,0.010501555380301437
DIRECT,5103.0,23,1.7813340518734778e-05,1.00600395134236e-05,1.7628431133535293e-05,1.844627731729726e-05,0.10885471433578689
DIRECT,5103.0,25,0.00046786741154461985,0.00033020563167765623,0.0004685687818080579,0.0004820961806076479,0.004436119873817035
DIRECT,5103.0,26,5.17074422903931e-05,2.7493351147697785e-05,5.03853668304893e-05,5.574365920741654e-05,0.0029355064844023833
DIRECT,5103.0,27,0.00010290572394311851,4.813050626947376e-05,9.580405021260634e-05,0.00011710893291876637,0.01904793200140203
DIRECT,5103.0,28,2.7943801638561115e-05,1.5582377377057908e-05,2.5899766969375048e-05,3.13394644254911e-05,0.061306081317910974
DIRECT,5103.0,36,0.00013132255684160114,6.242125958066998e-05,0.00012821254145045467,0.00014256597024515173,0.0008379337539432177
DIRECT,5103.0,37,6.370879546916193e-05,6.648446087017545e-05,6.400972646358712e-05,6.236568133561034e-05,0.0636391517700666
DIRECT,5103.0,38,0.00015631219878393945,0.00014158682845803096,0.00015429149204167293,0.00016095848929830483,0.006823957237995093
DIRECT,5103.0,41,5.0044759080917396e-05,2.9432200504217767e-05,4.878886595548679e-05,5.4447879816957016e-05,0.03786036628110761
DIRECT,5103.0,42,0.0001182709380733166,8.273583427194862e-05,0.00012129275661108141,0.00011608959355802363,0.03688551524710831
DIRECT,5103.0,43,4.763626871606804e-05,3.596850418556191e-05,4.8521944473683796e-05,4.6974674654098213e-05,0.10220601121626358
DIRECT,5104.0,2,0.0002023157285136156,0.0001258697263899668,0.0001945997442595436,0.00022219428159106508,0.0006791097090781634
DIRECT,5104.0,3,4.270071600594865e-05,3.688267553267117e-05,4.300505894067216e-05,4.414231679852496e-05,0.010783604977216964
DIRECT,5104.0,4,1.0992172660294993e-05,8.530676352535962e-06,1.0955509472892831e-05,1.2209420962149665e-05,0.03455244479495268
DIRECT,5104.0,7,0.001180295360049987,0.0006611187781029203,0.0012074398034057608,0.0012270014187728345,0.003658429723098493
DIRECT,5104.0,22,4.284505487112449e-05,3.541955551976641e-05,4.396766227576497e-05,4.171564824159296e-05,0.03906523834560112
DIRECT,5104.0,23,1.8191171493866148e-05,1.0334486818852411e-05,1.810299894546138e-05,1.9635441060143653e-05,0.11660970907816333
DIRECT,5104.0,25,0.0004682466238130137,0.0003405483458652245,0.00046695461334171347,0.0004826708492663746,0.003466745531019979
DIRECT,5104.0,26,5.205785803929425e-05,2.7415313549460377e-05,5.115957707711454e-05,5.729198324425425e-05,0.012585436382754995
DIRECT,5104.0,27,0.00010230108650595136,4.7449163810807224e-05,9.648693531239325e-05,0.00011778576100820021,0.032805380301437086
DIRECT,5104.0,28,2.785875086250583e-05,1.5829366703164728e-05,2.6299688369410227e-05,3.180426582773813e-05,0.08792280056081318
DIRECT,5104.0,36,0.00013239174560474503,6.248664507950839e-05,0.00012852427405277603,0.00014670440462155815,0.003937740974412899
DIRECT,5104.0,37,6.398075708821827e-05,7.154925427139143e-05,6.39578234305312e-05,6.38368696940043e-05,0.09483164651244304
DIRECT,5104.0,38,0.00015625296237487213,0.00014938099297973675,0.00015402990429115858,0.0001630433284761496,0.009548611111111112
DIRECT,5104.0,41,5.0467684510450854e-05,3.0220489040075863e-05,4.888591435131814e-05,5.6290813971477106e-05,0.03511106729758149
DIRECT,5104.0,42,0.00011884288506601693,8.422309111400002e-05,0.00012170903309901428,0.00011794790642897631,0.034875569575885036
DIRECT,5104.0,43,4.787732703402407e-05,3.707660425865885e-05,4.891087387310236e-05,4.7991763041671536e-05,0.14491872590255872
DIRECT,5105.0,2,0.00020157829664937209,0.00012440540579932273,0.00019572639683859385,0.0002208279766923188,0.0010131878724150018
DIRECT,5105.0,3,4.2487917283628694e-05,3.762942623022141e-05,4.2494183570728514e-05,4.548031357676186e-05,0.013779355064844024
DIRECT,5105.0,4,1.0492328175182481e-05,8.553111145619525e-06,1.038302597834376e-05,1.2334019929460877e-05,0.10103947599018577
DIRECT,5105.0,7,0.0011794540369719415,0.0006674276963406974,0.0012066500392138352,0.0012229444248248443,0.007486636873466526
DIRECT,5105.0,22,4.273216827953875e-05,3.5868183685509114e-05,4.380577721529107e-05,4.280790865861039e-05,0.04461586487907466
DIRECT,5105.0,23,1.7882366397852782e-05,1.0156858484728668e-05,1.777775321492497e-05,2.0434247009221e-05,0.15743570364528567
DIRECT,5105.0,25,0.00046943559719800517,0.00033960233444490736,0.0004671940883709171,0.0004819286885091381,0.005736834034349807
DIRECT,5105.0,26,5.126422215754754e-05,2.719295487307743e-05,4.968200598090299e-05,5.728208490491419e-05,0.03885712407991588
DIRECT,5105.0,27,0.0001021147981754145,4.6551524377802026e-05,9.483886207777653e-05,0.00011785816220067311,0.07415987556957589
DIRECT,5105.0,28,2.761747450465878e-05,1.575002152263301e-05,2.5497551284932963e-05,3.2514855627403273e-05,0.1430456975113915
DIRECT,5105.0,36,0.0001306469622912501,6.086833470304557e-05,0.00012747657998421193,0.00014550353286314093,0.008943436733263232
DIRECT,5105.0,37,6.35377851570789e-05,7.148901843791067e-05,6.346779366438245e-05,6.37107145667665e-05,0.16633258850332983
DIRECT,5105.0,38,0.00015605929576318608,0.00015004716180022778,0.0001534560494097996,0.00016193285979326758,0.027104144759901857
DIRECT,5105.0,41,5.0141185706730064e-05,2.9963548399333852e-05,4.87891511136878e-05,5.655576386385244e-05,0.0375810550297932
DIRECT,5105.0,42,0.00011820853652308879,8.33957821022595e-05,0.00012087513398045542,0.0001183182406777769,0.05272410620399579
DIRECT,5105.0,43,4.7686401559481376e-05,3.6890647459374106e-05,4.844849347776165e-05,4.8450619517806235e-05,0.2244840956887487
NET,5101.0,2,0.0002013965003238313,0.00011819221633264384,0.000194860176019727,0.00022006241742005418,0.002902646337188924
NET,5101.0,3,4.127965332814825e-05,3.516394195420504e-05,4.115563581023892e-05,4.25133268709224e-05,0.010904092183666315
NET,5101.0,4,1.0477716516205338e-05,8.0253170226774e-06,1.0339694835935925e-05,1.128954637134231e-05,0.1961860322467578
NET,5101.0,7,0.0011878365190309157,0.0007166617957700444,0.0012106322235458456,0.0012252040388295788,0.0784152646337189
NET,5101.0,22,4.154097399076888e-05,3.409021380355126e-05,4.222471112618587e-05,3.9934875762031484e-05,0.06317637136347704
NET,5101.0,23,1.7324191165104578e-05,9.880929023225911e-06,1.7078169895387928e-05,1.8603973115301763e-05,0.2868006265334735
NET,5101.0,25,0.0004668479378709018,0.00032177251085031464,0.000466539611829693,0.0004784635002795561,0.005679328776726253
NET,5101.0,26,5.1021206948764953e-05,2.7273115546614294e-05,4.9249426005655017e-05,5.574593469216821e-05,0.008078119523308797
NET,5101.0,27,0.00010367865893887085,4.737379263870638e-05,9.659262220623131e-05,0.00011838490623273166,0.08966986505432878
NET,5101.0,28,2.759022992256988e-05,1.5085964724632086e-05,2.5454836834472225e-05,3.1371140004085793e-05,0.17508160269891343
NET,5101.0,36,0.0001306420302131665,6.273367578600693e-05,0.00013005202515053594,0.000141668920490205,0.00521928671573782
NET,5101.0,37,6.242724678655989e-05,6.237589767545873e-05,6.2744680352614e-05,6.205756610549751e-05,0.13680500788643535
NET,5101.0,38,0.00015529958567573967,0.00013534393835059054,0.0001539171005485912,0.0001607005028401624,0.02463141868208903
NET,5101.0,41,4.999616637741904e-05,2.908461509706389e-05,4.8649456969801606e-05,5.488381652022428e-05,0.05251599193831055
NET,5101.0,42,0.00011762002338123105,8.256294937067481e-05,0.00012005767892977424,0.00011638132861095286,0.03609139502278304
NET,5101.0,43,4.7082172504402094e-05,3.531797751255728e-05,4.7791541681986955e-05,4.711980719577432e-05,0.3087648966000701
NET,5102.0,2,0.00020218579754451704,0.0001226193518405292,0.00019466313601165764,0.00022027421544995265,0.000813288643533123
NET,5102.0,3,4.210381994810033e-05,3.7226693293544284e-05,4.195044260392686e-05,4.3013648925975336e-05,0.003795347003154574
NET,5102.0,4,1.0467932529652746e-05,8.455715675768063e-06,1.0432550346049597e-05,1.1301545317253326e-05,0.06397596827900456
NET,5102.0,7,0.0011794579067805077,0.0006783571913054553,0.0012081604847665754,0.001221833530658886,0.05293222046968104
