arm,paired_seeds,mean_of_seed_gains,min_seed_gain,max_seed_gain,seeds_with_positive_gain,mean_companies_favouring_arm
NET,5,0.003660055154185228,-0.0028703583205737116,0.0057971093481361,4,11.6
ASYM,5,0.012416370545359481,0.00843064990485035,0.0195288198428981,5,12.4
