model,seed,mse_path,mse_1h,mse_6h,mse_24h
ASYM,5101,0.00016895870431326182,0.00011380088014912811,0.0001697531600945995,0.0001754083036377457
ASYM,5102,0.00016884444166829224,0.00011150832964312157,0.00016973196935599774,0.0001755426712122295
ASYM,5103,0.00016944909646128192,0.00011356638177481813,0.0001704969358621123,0.00017569398704072263
ASYM,5104,0.00016923519027069455,0.00011441711230119602,0.00017034979597438656,0.00017558988774627398
ASYM,5105,0.00016870034491348415,0.00010943780176850169,0.0001700973229827977,0.0001758042112374504
DIRECT,5101,0.00016964950720853766,0.00010972606924498719,0.0001700587597071187,0.00017664145262740778
DIRECT,5102,0.0001695349320609528,0.00010859244249358571,0.00016996547466286932,0.0001769472442739406
DIRECT,5103,0.00016961455041183358,0.00010853619301966546,0.00017052831813552853,0.0001764568974964289
DIRECT,5104,0.00016985111795476764,0.00010902094810914898,0.00017031183853360434,0.0001782666547321799
DIRECT,5105,0.00016945871097576892,0.0001091120008771982,0.00016978518047113198,0.0001780552759963172
NET,5101,0.0001695038009847356,0.00010880867842701745,0.00016983372462812274,0.00017652410025053845
NET,5102,0.00016910594746927937,0.0001081835863128152,0.0001692254135717934,0.0001765686892842822
NET,5103,0.00016961686519495364,0.00010792495749910543,0.00016970550116356012,0.00017695364909967176
NET,5104,0.00016964713202096622,0.00010783450474473322,0.00017015227802738174,0.0001770116245321818
NET,5105,0.00016903446742206723,0.00010834110128968439,0.0001693777299278995,0.00017650983410694228
