group,company,n_origins,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
42,2,7608,0.0001826570892340233,0.00012756697641300437,0.00018095202171806575,0.00019353389804723596,0.0005038555906063792
46,2,7608,0.0002206694305252172,0.00011641574900957455,0.00020922409025857128,0.00024453176046377873,0.000974851033999299
117,3,7608,4.262544353478882e-05,3.589981752759437e-05,4.2824251059545456e-05,4.308211208458384e-05,0.0077111812127585
199,4,7608,1.616256918198383e-05,1.3636392476234099e-05,1.6217614075455813e-05,1.6613800539480475e-05,0.013834121976866457
250,4,7608,5.5881716373322635e-06,3.0764486180544577e-06,5.610819361017061e-06,5.408443387809497e-06,0.04588371889239397
492,7,7608,0.0011798863114093486,0.000685235218499635,0.0012112167231403675,0.0012210511134831622,0.003702243252716439
1087,22,7608,3.7243430461206626e-05,2.9067551723987644e-05,3.9082823927108224e-05,3.694841946820258e-05,0.007535927094286716
1113,22,7608,4.925493270214204e-05,4.092299112922492e-05,5.092941027435709e-05,4.5044334730906666e-05,0.013467183666316159
1219,23,7608,1.0882839861286266e-05,7.152894489898162e-06,1.0604400938739442e-05,1.1076545859448576e-05,0.17501862075008762
1231,23,7608,2.4743841176183287e-05,1.2967184536949039e-05,2.465246132833114e-05,2.581600877514595e-05,0.042690807921486155
1319,25,7608,0.0006121602891252515,0.0003873609116156483,0.0006104294029656136,0.0006375701900875859,0.003472222222222222
1348,25,7608,0.0003235745339639882,0.0002730503517396642,0.0003267081606505022,0.0003266221711277099,0.005400017525411847
1389,26,7608,5.17074422903931e-05,2.7493351147697785e-05,5.03853668304893e-05,5.574365920741654e-05,0.0029355064844023833
1498,27,7608,0.00010290572394311851,4.813050626947376e-05,9.580405021260634e-05,0.00011710893291876637,0.01904793200140203
1603,28,7608,2.357511283941036e-05,1.2017154433083008e-05,2.2034110751539114e-05,2.64015664199467e-05,0.07511829652996846
1635,28,7608,3.231249043771187e-05,1.9147600321032805e-05,2.9765423187210982e-05,3.6277362431035506e-05,0.04749386610585349
1926,36,7608,0.00013132255684160114,6.242125958066998e-05,0.00012821254145045467,0.00014256597024515173,0.0008379337539432177
1962,37,7608,1.8601593452773296e-05,1.5077179394083288e-05,2.0525079835031666e-05,1.5785957149762523e-05,0.05395636172450052
2001,37,7608,0.00010881599748555056,0.0001178917423462676,0.00010749437309214259,0.00010894540552145818,0.07332194181563267
2055,38,7608,0.00023799880407926406,0.00022856958128093284,0.000234809856151165,0.00024349083868591275,0.010142832106554504
2075,38,7608,7.462559348861486e-05,5.46040756351291e-05,7.377312793218085e-05,7.84261399106969e-05,0.0035050823694356818
2242,41,7608,5.0044759080917396e-05,2.9432200504217767e-05,4.878886595548679e-05,5.4447879816957016e-05,0.03786036628110761
2512,42,7608,0.0001182709380733166,8.273583427194862e-05,0.00012129275661108141,0.00011608959355802363,0.03688551524710831
2543,43,7608,4.763626871606804e-05,3.596850418556191e-05,4.8521944473683796e-05,4.6974674654098213e-05,0.10220601121626358
