model,seed,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction,mean_company_relative_gain,zero_direct_denominator_companies,ratio_of_means_gain
DIRECT,5101.0,0.00016964950703968152,0.00010972606903489527,0.0001700587595723685,0.0001766414524599088,0.14774384282991587,,,
DIRECT,5102.0,0.00016953493188715896,0.00010859244224385202,0.00016996547453748193,0.00017694724410312188,0.047459807932439535,,,
DIRECT,5103.0,0.00016961455023222012,0.00010853619278551146,0.00017052831799732693,0.0001764568973294511,0.03108415894453207,,,
DIRECT,5104.0,0.00016985111778087058,0.00010902094783679634,0.00017031183840616424,0.0001782666545629197,0.04158451629863302,,,
DIRECT,5105.0,0.00016945871079962236,0.0001091120006129169,0.00016978518033603413,0.00017805527582599728,0.06902119890247108,,,
NET,5101.0,0.00016950380081091248,0.00010880867821618548,0.0001698337244839173,0.0001765241000837868,0.0925576216373116,0.005700035558868267,0.0,0.0008588662078161338
NET,5102.0,0.00016910594729396025,0.00010818358605962713,0.00016922541344089118,0.00017656868911749432,0.02742641380783386,0.005575521063658271,0.0,0.002530361079121076
NET,5103.0,0.0001696168650192835,0.00010792495726817813,0.00016970550103000077,0.00017695364893478182,0.02600589702725202,-0.0028703583105740664,0.0,-1.3647337803398404e-05
NET,5104.0,0.00016964713184636972,0.00010783450452704732,0.00017015227788671846,0.0001770116243648804,0.05224335540439888,0.004097968163088036,0.0,0.001200969043748279
NET,5105.0,0.0001690344672479711,0.00010834110106173073,0.00016937772979549778,0.00017650983394151712,0.04521504912592009,0.005797109326217615,0.0,0.0025035216522620468
ASYM,5101.0,0.0001689587041468106,0.00011380088006070283,0.00016975315996677152,0.0001754083034677249,0.0,0.009794465544923515,0.0,0.004071941645603108
ASYM,5102.0,0.00016884444149748175,0.00011150832952892432,0.00016973196922864136,0.00017554267103995333,0.0,0.009204847915923202,0.0,0.004072850249745558
ASYM,5103.0,0.000169449096298735,0.00011356638170754783,0.0001704969357489672,0.0001756939868702288,0.0,0.015123069525334154,0.0,0.0009754701660829941
ASYM,5104.0,0.00016923519010962105,0.0001144171122603602,0.00017034979586018822,0.00017558988757755621,0.0,0.019528819831096896,0.0,0.0036262797636937246
ASYM,5105.0,0.00016870034473937245,0.00010943780162529018,0.000170097322858658,0.0001758042110679561,0.0,0.008430649872487993,0.0,0.004475226187378741
PERSISTENCE,,0.0003055821479798638,0.00013417206404075155,0.0003044726077295717,0.00033634754850909,0.0,,,
