model,config_id,lr,parameter_target,parameters,width,fit,val,seed,objective,signed_init,steps,best_update,best_val_mse_path,state_scale,source_mean,wall_seconds,sampler_state_final
NET,p32768_lr0.0003,0.0003,32768,32945,113,fold_A_fit,fold_A_val,4101,path,,3000,2250,9.987804105543652e-05,0.018871417918737487,0.003022984057704312,94.39,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
NET,p32768_lr0.0003,0.0003,32768,32945,113,fold_B_fit,fold_B_val,4101,path,,3000,2250,0.00015790940899499038,0.016475858531262894,0.002517923018037332,97.78,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
NET,p32768_lr0.001,0.001,32768,32945,113,fold_A_fit,fold_A_val,4101,path,,3000,3000,9.970009385876379e-05,0.018871417918737487,0.003022984057704312,132.14,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
NET,p32768_lr0.001,0.001,32768,32945,113,fold_B_fit,fold_B_val,4101,path,,3000,2250,0.00015864289576547532,0.016475858531262894,0.002517923018037332,130.63,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
NET,p32768_lr0.003,0.003,32768,32945,113,fold_A_fit,fold_A_val,4101,path,,3000,2250,0.00010012272092690002,0.018871417918737487,0.003022984057704312,157.66,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
NET,p32768_lr0.003,0.003,32768,32945,113,fold_B_fit,fold_B_val,4101,path,,3000,500,0.00015985678953577456,0.016475858531262894,0.002517923018037332,136.17,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
ASYM,p8192_lr0.0003,0.0003,8192,8266,37,fold_A_fit,fold_A_val,4101,path,,3000,750,9.924150655306425e-05,0.018871417918737487,0.003022984057704312,65.88,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
ASYM,p8192_lr0.0003,0.0003,8192,8266,37,fold_B_fit,fold_B_val,4101,path,,3000,3000,0.00015854516088869671,0.016475858531262894,0.002517923018037332,49.12,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
ASYM,p8192_lr0.001,0.001,8192,8266,37,fold_A_fit,fold_A_val,4101,path,,3000,500,9.896616094924411e-05,0.018871417918737487,0.003022984057704312,48.15,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
ASYM,p8192_lr0.001,0.001,8192,8266,37,fold_B_fit,fold_B_val,4101,path,,3000,500,0.00015845594770393605,0.016475858531262894,0.002517923018037332,55.28,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
ASYM,p8192_lr0.003,0.003,8192,8266,37,fold_A_fit,fold_A_val,4101,path,,3000,1250,9.88809862985966e-05,0.018871417918737487,0.003022984057704312,82.98,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
ASYM,p8192_lr0.003,0.003,8192,8266,37,fold_B_fit,fold_B_val,4101,path,,3000,500,0.00015993464131549564,0.016475858531262894,0.002517923018037332,61.32,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
ASYM,p32768_lr0.0003,0.0003,32768,32716,112,fold_A_fit,fold_A_val,4101,path,,3000,500,9.912356242439343e-05,0.018871417918737487,0.003022984057704312,78.55,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
ASYM,p32768_lr0.0003,0.0003,32768,32716,112,fold_B_fit,fold_B_val,4101,path,,3000,2750,0.00015881010747975126,0.016475858531262894,0.002517923018037332,94.87,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
ASYM,p32768_lr0.001,0.001,32768,32716,112,fold_A_fit,fold_A_val,4101,path,,3000,1250,9.939259059946347e-05,0.018871417918737487,0.003022984057704312,64.28,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
ASYM,p32768_lr0.001,0.001,32768,32716,112,fold_B_fit,fold_B_val,4101,path,,3000,500,0.00015796286957800418,0.016475858531262894,0.002517923018037332,65.68,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
ASYM,p32768_lr0.003,0.003,32768,32716,112,fold_A_fit,fold_A_val,4101,path,,3000,500,9.894765707460493e-05,0.018871417918737487,0.003022984057704312,64.07,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
ASYM,p32768_lr0.003,0.003,32768,32716,112,fold_B_fit,fold_B_val,4101,path,,3000,500,0.00016102139808371038,0.016475858531262894,0.002517923018037332,65.34,"{'bit_generator': 'PCG64', 'state': {'state': 67803201115625425008128583847631349784, 'inc': 309003665118308970896297872378821929039}, 'has_uint32': 1, 'uinteger': 865612920}"
