group,company,n_origins,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
42,2,7608,0.00018259142974266044,0.000126466831341494,0.0001818778984467167,0.000192185254158833,0.0009036540483701367
46,2,7608,0.00022054364560457573,0.00011747712126273245,0.00020859930015642094,0.00024299226276213698,0.0013582194181563268
117,3,7608,4.149278636737526e-05,3.4592669425826285e-05,4.160617466484212e-05,4.248345278422406e-05,0.07349171924290221
199,4,7608,1.617274067394581e-05,1.3112810598152865e-05,1.5493090082716825e-05,1.69588976015409e-05,0.1765740010515247
250,4,7608,4.899584719393581e-06,2.777103341757452e-06,4.886530849600614e-06,5.5668551746196125e-06,0.26224588152821593
492,7,7608,0.0011823657256383006,0.0007102286876699916,0.0012071232250151966,0.0012175163009810904,0.008976296880476691
1087,22,7608,3.586827167365888e-05,2.7899597400203787e-05,3.660386885611613e-05,3.5738834379399234e-05,0.10557965299684542
1113,22,7608,4.8350269524693176e-05,4.014972243007255e-05,4.9687623983551346e-05,4.475689303062036e-05,0.1754567560462671
1219,23,7608,1.0932247158370067e-05,7.100999854847703e-06,1.0885557847209698e-05,1.1607397682013663e-05,0.43801480897301087
1231,23,7608,2.4527079082846582e-05,1.313162716402045e-05,2.4477562820899077e-05,2.6229380575538127e-05,0.19949395373291273
1319,25,7608,0.0006174265473591603,0.0003909526077566295,0.0006106049531235694,0.0006445655882792558,0.009606116368734666
1348,25,7608,0.00032358999133755067,0.000269847863595008,0.00032553229962652646,0.00032722430279412114,0.02562543813529618
1389,26,7608,5.119731298130556e-05,2.7622854519802084e-05,4.96462818609688e-05,5.5994256573903324e-05,0.07886435331230283
1498,27,7608,0.00010266386544653474,4.9540177113970175e-05,9.597654966894365e-05,0.00011757469265387964,0.13468826673676831
1603,28,7608,2.3557917281844125e-05,1.2150537729726337e-05,2.2163094793729647e-05,2.6867618199184232e-05,0.3840146337188924
1635,28,7608,3.17433682699272e-05,1.9038919363182842e-05,2.910708357641357e-05,3.627385846615104e-05,0.20386435331230285
1926,36,7608,0.00013196933749039447,6.364318888390895e-05,0.00012966873978240988,0.00014410946031176493,0.02638669821240799
1962,37,7608,1.79132099371512e-05,1.46899831014513e-05,1.9949780796511174e-05,1.5882508953811182e-05,0.3001664914125482
2001,37,7608,0.00010835499361089884,0.00011303458259991761,0.00010745152584749729,0.0001094033411154232,0.2494687609533824
2055,38,7608,0.000236672433537914,0.000221243645904266,0.00023500012031428595,0.00024382187468739247,0.08734227129337539
2075,38,7608,7.357956094250911e-05,5.394132261236105e-05,7.345783995369979e-05,7.792390196093074e-05,0.09812039957939012
2242,41,7608,5.010027184040989e-05,2.9624400159560662e-05,4.8910118526248926e-05,5.50965806499499e-05,0.13967753242201192
2512,42,7608,0.00011842091875659543,8.324083635862019e-05,0.00012123465301567113,0.00011687996494263462,0.16533583070452157
2543,43,7608,4.782024888543862e-05,3.56166523987325e-05,4.8885345085882264e-05,4.7609145550608056e-05,0.3775630914826498
