group,company,n_origins,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
42,2,7608,0.0001846630308361382,0.00013019906034316921,0.00018215697658748847,0.00019717922924124417,0.0009858044164037854
46,2,7608,0.0002197085642528959,0.00011503964333788918,0.00020716929543582684,0.0002433692016586611,0.0006407728706624606
117,3,7608,4.210381994810033e-05,3.7226693293544284e-05,4.195044260392686e-05,4.3013648925975336e-05,0.003795347003154574
199,4,7608,1.6137156401819526e-05,1.4128298065717362e-05,1.59957261748675e-05,1.698970390748102e-05,0.01662175779880827
250,4,7608,4.798708657485964e-06,2.783133285818763e-06,4.8693745172316924e-06,5.613386727025632e-06,0.11133017875920084
492,7,7608,0.0011794579067805077,0.0006783571913054553,0.0012081604847665754,0.001221833530658886,0.05293222046968104
1087,22,7608,3.625592897739508e-05,2.9152972001266474e-05,3.67425169627866e-05,3.628451597927189e-05,0.010044251664914126
1113,22,7608,4.83646025659159e-05,4.193467398327235e-05,4.9152493569988875e-05,4.477125765800583e-05,0.02203820539782685
1219,23,7608,1.040823499117365e-05,7.083957814442528e-06,1.0280284582636597e-05,1.1183255267199434e-05,0.13885602874167544
1231,23,7608,2.4063910549135867e-05,1.2850850713774513e-05,2.4126022383891076e-05,2.605326607570904e-05,0.014633718892393972
1319,25,7608,0.000611806714710566,0.0003832559506466279,0.0005975954254367487,0.0006368244585000149,0.00520285664213109
1348,25,7608,0.00032308733816253617,0.0002739263127672309,0.0003260734491538991,0.00032392033368062204,0.0057833859095688745
1389,26,7608,5.1081011835206244e-05,2.7108111733948444e-05,4.939584748341242e-05,5.6146033912319744e-05,0.005197379950928847
1498,27,7608,0.00010125385121947937,4.602804886945422e-05,9.291507653963337e-05,0.00011696664720057547,0.022103925692253768
1603,28,7608,2.268314459795565e-05,1.1429811133549402e-05,2.0855137894977046e-05,2.6293604145507917e-05,0.10158166841920785
1635,28,7608,3.196843042577117e-05,1.9210749473370698e-05,2.8904457267392645e-05,3.662438332599384e-05,0.004425166491412548
1926,36,7608,0.00013094010182079796,6.179196136812231e-05,0.00012999160223886773,0.00014260571230882753,0.005865536277602524
1962,37,7608,1.795522194927953e-05,1.5462462000878525e-05,1.9776425967022338e-05,1.623513382071112e-05,0.03320517875920084
2001,37,7608,0.00010812940973413481,0.00011987838461908142,0.000106443972893609,0.00010861774942266431,0.04189121100595864
2055,38,7608,0.0002369953817093917,0.0002309444974035592,0.00023244028698736694,0.00024312382485384163,0.011867989835261128
2075,38,7608,7.397626522802909e-05,5.6268168444609603e-05,7.355317575452011e-05,7.76594638928464e-05,0.01532378198387662
2242,41,7608,4.9947674310643674e-05,2.976281317941897e-05,4.865480606843915e-05,5.465939539908123e-05,0.017755432877672624
2512,42,7608,0.00011830175997572678,8.24534660187425e-05,0.00012079310358219861,0.00011712951225138044,0.014086049772169646
2543,43,7608,4.710800893809e-05,3.643462816821893e-05,4.767774098607869e-05,4.737316114446315e-05,0.04987075008762706
