n,mu,v,A,B,C,abc_residual,mean_delta,rank,U_unc,R_unc,identity_residual_unc,U_box,R_box,identity_residual_box,boundary_status,n_active_bounds,sigma2,sigma,sse,closure_ratio,closure_pass,interior_unc,mean_flow_interrupt,mean_flow_restore,c_common,rms_delivered_treatment,balanced_lo,balanced_hi,balanced_share,rho_box,median_one_customer_fraction,n_unique_counties,G_plugin,Gamma_plugin,noise_threshold,Gamma_cap,Gamma_near_closure,n_eff_kish,fold,design,query_event,query_county,query_physical_hour,query_y,k,n_source_rows,n_source_events
200,0.032196074310061995,0.01092853109603372,0.9475729696768886,0.011965118297012753,0.02023095601304924,-1.734723475976807e-18,0.005153502164464195,2,0.003819269896781387,-0.04526010690173985,1.734723475976807e-18,0.004785586224047701,0.0,-0.0005219930301031423,R_at_0,1,0.0014258918333866595,0.03776098295048289,0.2823265830105586,0.9999999999999997,False,False,0.0046315091343610525,0.0,0.0,0.0,1.0,1.0,0.0,inf,6.706788435238887e-05,92,0.0,0.0,0.0,101.10498290528399,,200.0,0,full,2018-10-11,13051,1539572400,1.689448625403164e-05,200,252000,21
200,0.029566870452597108,0.009296826489986332,0.9510372854131527,0.010171026318346993,0.01939584413425012,0.0,-0.0028698829867772222,2,-0.0004876362486887562,0.08105912391789566,0.0,0.0,0.0819890317145864,0.0004457239075381708,U_at_0,1,0.0004396057810737796,0.020966778032730244,0.08704194465260835,1.0,False,False,0.0,0.0024241590792390515,0.0,0.0,0.0,0.0,0.53,0.0,6.348400203148806e-05,81,0.0,0.0,0.0,277.9609580192904,,200.0,0,full,2018-10-11,13081,1539172800,0.0,200,252000,21
200,0.039816449456545874,0.014977348567442837,0.9369297993016767,0.01656269821476851,0.023253751241777348,0.0,-0.0019939966016033193,2,-0.0005321258856797198,0.03724737136529058,-8.673617379884035e-19,0.0,0.03799446720767411,0.0004811918184005734,U_at_0,1,6.729825529040659e-05,0.008203551382810165,0.013325054547500506,0.9999999999999996,False,False,0.0,0.001512804783202746,0.0,0.0,0.0,0.0,0.46,0.0,6.545814738797611e-05,88,0.0,0.0,0.0,2969.163362087967,,200.0,0,full,2018-10-11,13133,1539446400,4.320774282751469e-05,200,252000,21
200,0.03337540256427295,0.01152245071908093,0.9458855630868622,0.012636368215408207,0.020739034348864753,-1.734723475976807e-18,-0.0006954678719239954,2,0.00018072273754911702,0.02607186276417723,0.0,0.00018072273754911702,0.02607186276417723,0.0,interior,0,6.361133382116759e-05,0.007975671371186729,0.012595044096591183,0.665615063747709,False,True,0.00017469104343089778,0.0008701589153548932,0.00018072273754911702,0.0001730644437716157,0.0034538871127836094,0.01367386449801946,0.055,0.00693171558870854,7.230868474887613e-05,80,2.9781610541529766e-08,0.09363617692801625,0.0024405577453332165,2393.766436336237,,200.0,0,full,2018-10-11,13133,1539608400,0.0,200,252000,21
200,0.03100723363733182,0.010726532080449795,0.9496735133436262,0.011687980618289876,0.019319253019041947,-1.734723475976807e-18,0.0009285365839302417,2,0.00039489378261306577,-0.017605161798095924,1.0842021724855044e-19,0.0007530364184133331,0.0,-0.0001988497416800704,R_at_0,1,0.00010892685556458349,0.010436802937901217,0.02156751740178753,0.9999999999999999,False,False,0.0007296868422501713,0.0,0.0,0.0,1.0,1.0,0.0,inf,7.258070225202313e-05,88,0.0,0.0,0.0,1296.164302812572,,200.0,0,full,2018-10-11,13207,1539601200,0.0,200,252000,21
200,0.0498608540553621,0.01981817369128777,0.9225825703476936,0.02230427845841789,0.027556575596944192,0.0,-0.001192341265357605,2,-0.0006792728152428753,0.01096927806756072,2.168404344971009e-19,0.0,0.011808508653705274,0.000603558938763726,U_at_0,1,8.654181629496464e-05,0.009302785405187235,0.017135279626403,1.0000000000000002,False,False,0.0,0.000588782326593879,0.0,0.0,0.0,0.0,0.44,0.0,6.532532009406845e-05,83,0.0,0.0,0.0,3102.7186208658536,,200.0,0,full,2018-10-11,13279,1539093600,0.0,200,252000,21
200,0.02174230722060532,0.0035024484972035934,0.9604905619792682,0.00397517642047878,0.017767130800126537,4.336808689942018e-19,-0.0007125327043249058,2,0.0009600922623327227,0.07596941432988723,-1.0842021724855044e-19,0.0009600922623327227,0.07596941432988723,-1.0842021724855044e-19,interior,0,0.00023424278611245707,0.015304992195765964,0.0463800716502665,0.27500637131099703,False,True,0.0009392176414049586,0.0016517503457298644,0.0009600922623327227,0.0009253474003124292,0.0062792612043470995,0.024652643650805117,0.05,0.01263787895170085,3.4649513064878004e-05,158,8.121594263883539e-07,0.6934338853009084,0.012744876824735137,194.59086298306792,,200.0,0,full,2018-10-11,17161,1539273600,0.00036169932921215314,200,252000,21
200,0.004934555232044631,0.001453135402246328,0.9916083747734952,0.001477485237584427,0.0034570699944602027,0.0,-0.00020482394867249448,2,8.144556192774165e-05,0.057931789094201665,-1.3552527156068805e-19,8.144556192774165e-05,0.057931789094201665,-1.3552527156068805e-19,interior,0,1.4797224085224158e-05,0.00384671601307195,0.002929850368874383,0.5582383572143705,False,True,8.104366430400429e-05,0.0002858676129764989,8.144556192774165e-05,8.088047556735855e-05,0.0007024498274554804,0.00280389053255952,0.09500000000000001,0.0014058872201461745,3.4475625732607044e-05,175,6.524057517913002e-09,0.088179478533783,0.0011422834602595805,1237.928780056214,,200.0,0,full,2018-10-11,19097,1539637200,0.0,200,252000,21
200,0.036809284432343374,0.0142225732568739,0.9419589278126083,0.015577496677295057,0.02123178775504832,0.0,0.003413041096613529,2,0.0027235882380744754,-0.021453994687737746,4.336808689942018e-19,0.00320716204183442,0.0,-0.0003239323945976075,R_at_0,1,0.0005136082860070278,0.022662927569204905,0.1016944406293915,0.9999999999999999,False,False,0.0030891087020159217,0.0,0.0,0.0,1.0,1.0,0.0,inf,6.348400203148806e-05,87,0.0,0.0,0.0,367.4719586177773,,200.0,0,full,2018-10-11,25027,1539576000,9.458254810113712e-06,200,252000,21
200,0.05693667329340298,0.024120804910776165,0.9134892430896899,0.027362589676495873,0.029574083616907103,0.0,-0.0008509593582712359,2,0.0005066009206288519,0.023336735902096666,-1.0842021724855044e-19,0.0005066009206288519,0.023336735902096666,-1.0842021724855044e-19,interior,0,0.00013802044760859132,0.011748210400252087,0.02732804862650108,0.4710612477936641,False,True,0.0004777567495208697,0.0013287161077921057,0.0005066009206288519,0.00047569358837868086,0.010737603640070717,0.04161003826526122,0.03,0.021708302427304618,6.532532009406845e-05,83,2.2623851817422347e-07,0.3278333349791874,0.006726641333893513,2391.4149502821233,,200.0,0,full,2018-10-11,37003,1539331200,0.010164299637983848,200,252000,21
