event,design,family,n_counties_panel,observed_hour_share,active48_available,active48_reason,active48_peak_hour,active48_peak_footprint,active48_t_start,active48_t_end,n,mu,v,A,B,C,abc_residual,mean_delta,rank,U_unc,R_unc,identity_residual_unc,U_box,R_box,identity_residual_box,boundary_status,n_active_bounds,sigma2,sigma,sse,closure_ratio,closure_pass,interior_unc,mean_flow_interrupt,mean_flow_restore,c_common,rms_delivered_treatment,balanced_lo,balanced_hi,balanced_share,rho_box,median_one_customer_fraction,n_unique_counties,G_plugin,Gamma_plugin,noise_threshold,Gamma_cap,Gamma_near_closure,n_eff_kish,status
2018-01-16,full,winter,355,0.9557344064386318,True,,59,0.6985915492957746,35,82,56660,0.00034485538822700125,1.9132345923600988e-05,0.9993295404947043,1.9251271162390182e-05,0.00032560411706461116,-7.792703114739563e-20,-8.955046245320714e-08,2.0,8.864156391559572e-05,0.25721084514046855,3.739650462127736e-19,8.629210783518243e-05,0.25,1.3805294253689583e-07,R_at_cap,1.0,8.574336566289502e-06,0.002928196811399381,0.48580476117283056,0.0005050458747411809,False,False,8.6262349536834e-05,8.621384705675031e-05,8.629210783518243e-05,8.623589539505426e-05,0.00017255443549845392,0.000689860626460901,0.04209318743381575,0.0003451684313407297,6.691452810246751e-05,340.0,7.400327986469076e-09,48.90204396242738,0.020476879247417996,7907.069568358997,,56660.0,ok
2018-01-16,active48,winter,355,0.9557344064386318,True,,59,0.6985915492957746,35,82,16320,0.0002918100008012033,1.0613478825647147e-05,0.9994270786302977,1.0698631902214744e-05,0.0002811113688989885,-2.371692252312041e-20,2.4085841066878595e-05,2.0,0.00012668561624622397,0.3514711859359409,2.642742795433417e-19,9.814456048320733e-05,0.25,1.0775796517546789e-06,R_at_cap,1.0,7.017785704401152e-06,0.0026491103609327326,0.114516227124418,0.10508131475991805,False,False,9.811592091893409e-05,7.295250020030082e-05,9.814456048320733e-05,9.808936585951204e-05,0.00019625059910882646,0.0007845404968077348,0.041115196078431365,0.00039257824193282933,6.691452810246751e-05,340.0,9.555688441341813e-09,22.221943207085424,0.012487947604098056,1543.5002886221266,,16320.0,ok
2018-10-11,full,tropical,235,0.9768996960486322,True,,66,0.6127659574468085,42,89,38333,0.03324225255231927,0.010955319137609469,0.9455758613877207,0.012060366492361646,0.021181886059957623,-2.949029909160572e-17,3.1379345645901216e-05,2.0,0.00043848279135049834,0.011808083384147528,1.0367683274392636e-18,0.00043848279135049834,0.011808083384147528,1.0367683274392636e-18,interior,0.0,0.00026795360287430763,0.016369288404640796,10.270929551775085,0.03843464199500038,True,True,0.0004239066356605792,0.0003925272900146769,0.00043848279135049834,0.0004194959286440128,0.018228608579943885,0.06913379561977916,0.06347011713145335,0.03713412050758093,3.71540033438603e-05,235.0,1.7465042047496005e-07,24.985200781969304,0.08182221317018162,103590.96577605215,23.584007153972163,38333.0,ok
2018-10-11,active48,tropical,235,0.9768996960486322,True,,66,0.6127659574468085,42,89,10992,0.061249781555508,0.021569843573773947,0.9028218162033554,0.025321379314371395,0.03592840224113659,3.469446951953614e-18,0.002047613918561008,2.0,0.0022789473998460316,0.0014979392340332463,0.0,0.0022789473998460316,0.0014979392340332463,0.0,interior,0.0,0.0008182211543088912,0.028604565270405547,8.992250485854715,0.9177553620077455,False,True,0.0021393623694289693,9.174845086796131e-05,0.0014979392340332463,0.0013861292142914152,0.4320422051672218,0.7526452631146873,0.03065866084425037,1.5213884168784988,3.3896007050369466e-05,229.0,5.360846135482098e-08,0.7201771845044913,0.02427476482300482,20060.002557010896,,10992.0,ok
2019-02-20,full,winter,474,0.9566003616636528,True,,64,0.759493670886076,40,87,75721,0.0010313923365350057,9.443088403313163e-05,0.9980327099811221,9.549465418499477e-05,0.0009358976823500111,6.911788849595091e-19,0.00011645467777070999,2.0,0.00012634592916768925,0.009463846906868028,-8.809142651444724e-19,0.00012634592916768925,0.009463846906868028,-8.809142651444724e-19,interior,0.0,2.493381362314337e-05,0.004993376975869474,1.887963433730793,0.8564320283949687,False,True,0.0001262156169445933,9.760939173884202e-06,0.00012634592916768925,0.00012610921369393248,0.006630926085621502,0.026006365480711245,0.014619458274454909,0.01335037753791204,4.955401387512388e-05,455.0,8.474316745909222e-09,25.735483067916512,0.025331477223347876,17958.784100538967,,75721.0,ok
2019-02-20,active48,winter,474,0.9566003616636528,True,,64,0.759493670886076,40,87,21728,0.0012583956881465467,0.00010020549605301009,0.997584997679466,0.00010178905576095591,0.001156606632385591,-1.8973538018496328e-19,1.4330593435885857e-05,2.0,0.00010671808816334304,0.07331016945976822,2.202285662861181e-19,0.00010671808816334304,0.07331016945976822,2.202285662861181e-19,interior,0.0,1.51323521728428e-05,0.0038900324128267622,0.3287654833071827,0.07207206779353471,False,True,0.00010658379458135105,9.225320114546498e-05,0.00010671808816334304,0.00010647094028194733,0.0007273238510995474,0.002902961225583637,0.029547128129602356,0.0014557064722365526,4.927000194099096e-05,454.0,1.1211572490148725e-08,16.09829352921987,0.015607852096491416,9014.36134336051,,21728.0,ok
2019-02-24,full,wind,688,0.9549418604651163,True,,69,0.8328488372093024,45,92,109714,0.00555528162714849,0.0008888246429872549,0.9898091225426406,0.0009196857969441884,0.004635595830204301,-6.071532165918825e-18,4.80011293890004e-06,2.0,0.00021058629479720685,0.036832752939821384,1.3628760121321692e-18,0.00021058629479720685,0.036832752939821384,1.3628760121321692e-18,interior,0.0,6.527534725664632e-05,0.008079316014159016,7.16148889822118,0.011593558733954937,True,True,0.00020941642862279066,0.00020461631568388926,0.00021058629479720685,0.00020862477353127208,0.0028505337599606623,0.011305455293881843,0.05066810069817894,0.0057173650620487146,5.1902216224632795e-05,661.0,4.2858484912458183e-08,72.03601376791853,0.0685724129201054,94331.66725755832,71.15936896500153,109714.0,ok
2019-02-24,active48,wind,688,0.9549418604651163,True,,69,0.8328488372093024,45,92,31563,0.013990823219538165,0.0022898472673077612,0.9745039439625951,0.0024855904016681295,0.011505232817870035,8.239936510889834e-18,0.0002754678779660944,2.0,0.0008009732090404141,0.03675974232773048,-2.4936649967166602e-18,0.0008009732090404141,0.03675974232773048,-2.4936649967166602e-18,interior,0.0,0.0001974054090040838,0.014050103522895615,6.230312113577889,0.211237682658015,False,True,0.0007897669344691435,0.0005142990565030515,0.0008009732090404141,0.0007823253678748387,0.010777291099319143,0.041759017145869104,0.09818458321452331,0.02178941304591744,5.187261778103951e-05,660.0,5.910346366747272e-07,94.50007642383544,0.13658267180489775,23481.301183463518,,31563.0,ok
2019-11-27,full,wind,480,0.9904761904761905,True,,64,0.55,40,87,79395,0.0018621548520719002,0.00025074020723092643,0.9965298981237757,0.00025420782792402133,0.0016079470241478788,-1.1384122811097797e-18,2.446543583354733e-06,2.0,0.00012618109315467357,0.06632078997031342,5.662415252394998e-19,0.00012618109315467357,0.06632078997031342,5.662415252394998e-19,interior,0.0,3.2267832945960084e-05,0.005680478232152649,2.561840061078609,0.009807920247980197,True,True,0.00012594612441981586,0.00012349958083646056,0.00012618109315467357,0.00012577465354058164,0.0009503895537002237,0.0037907501467803325,0.04061968637823543,0.0019025873065015493,5.042864346949067e-05,477.0,1.5704482564565076e-08,38.64087790778495,0.035310867919291423,38693.41113252291,37.6680618906163,79395.0,ok
2019-11-27,active48,wind,480,0.9904761904761905,True,,64,0.55,40,87,22791,0.004941395258864751,0.0007758860234896772,0.9909175128928649,0.0008003034105940082,0.004141091848270743,3.2526065174565133e-19,8.986251545331407e-05,2.0,0.00039145220684778725,0.0606418542977125,-1.7618285302889447e-19,0.00039145220684778725,0.0606418542977125,-1.7618285302889447e-19,interior,0.0,0.00010004208246869319,0.010002103902114454,2.279859017379049,0.13039176201222322,False,True,0.0003895178867687975,0.0002996553713154836,0.00039145220684778725,0.00038819658965579717,0.0032171907911748183,0.012745746668275802,0.06594708437541134,0.006455149028359335,5.042864346949067e-05,477.0,1.485596106749579e-07,33.84397848727822,0.058187817340857234,11148.619667383009,,22791.0,ok
2020-02-06,full,flood,326,0.9780893952673094,True,,69,0.49693251533742333,45,92,53246,0.0024499159416480776,0.000609054970001446,0.9957152251748226,0.0006150570581225874,0.0018348588835254902,-2.2768245622195593e-18,1.5886684637168486e-06,2.0,7.321881198210679e-05,0.029164577595923835,2.6914471899005393e-19,7.321881198210679e-05,0.029164577595923835,2.6914471899005393e-19,interior,0.0,3.509746445569023e-05,0.005924311306446533,1.8687293974787706,0.010994991437156171,True,True,7.303943204740328e-05,7.145076358368616e-05,7.321881198210679e-05,7.294962477674287e-05,0.0012536958168396614,0.00499599290115523,0.03906396724636593,0.002510539086029491,4.1331709755373405e-05,322.0,5.30867869484068e-09,8.053741492988655,0.016812670989033444,57997.94501647475,7.783153121648643,53246.0,ok
2020-02-06,active48,flood,326,0.9780893952673094,True,,69,0.49693251533742333,45,92,15317,0.0037881778179702573,0.00040936796599186045,0.9928473626212322,0.00042371825717242237,0.003364459560797835,1.6263032587282567e-19,0.00018132083442486713,2.0,0.0002153118256445631,0.00875760149918685,-1.3552527156068805e-19,0.0002153118256445631,0.00875760149918685,-1.3552527156068805e-19,interior,0.0,9.643313225795657e-05,0.00982003728393923,1.4768734205306049,0.732102024971771,False,True,0.00021449618616270968,3.3175351737842696e-05,0.0002153118256445631,0.00021385810222299462,0.012143574384704021,0.04686690239265836,0.04694130704446041,0.02458570713277545,4.132231404958678e-05,321.0,3.162290238385151e-08,5.022837944512468,0.02200836195207298,4093.160975944341,,15317.0,ok
2020-08-04,full,tropical,213,0.9966465459423206,True,,68,0.4647887323943662,44,91,35451,0.02483424990490181,0.005679625501569467,0.9566278656601059,0.0062963654699085825,0.01853788443499323,6.071532165918825e-18,2.6931984276407663e-05,2.0,0.0004415593942939264,0.016254230154625748,-3.1848438816761693e-19,0.0004415593942939264,0.016254230154625748,-3.1848438816761693e-19,interior,0.0,0.00018852842091302975,0.013730565207340511,6.6831439929459915,0.03228266830255895,True,True,0.00043059359794817394,0.0004036616136717666,0.0004415593942939264,0.00042487295155260924,0.013400884074324685,0.0515318204416657,0.07413048997207415,0.027165814073837523,1.4140871360493234e-05,213.0,1.758765872356819e-07,33.07194142875908,0.07896202184653175,69776.366560064,32.22030782483412,35451.0,ok
2020-08-04,active48,tropical,213,0.9966465459423206,True,,68,0.4647887323943662,44,91,10176,0.05727744433788906,0.013151494003084352,0.9018773109571862,0.016432199632964332,0.040845244704924726,0.0,0.000994902520046081,2.0,0.002027322360722247,0.015997571253345996,0.0,0.002027322360722247,0.015997571253345996,0.0,interior,0.0,0.0006088067466175405,0.024674009536707658,6.193999840086858,0.35186618406182274,False,True,0.0019112025170510206,0.0009162999970049394,0.002027322360722247,0.0018543285191921306,0.059587756754918696,0.2022043212850872,0.13767688679245282,0.12672688426364842,1.4236839578770338e-05,212.0,3.289463030670448e-06,54.9822681599338,0.18295785252375063,15233.69615651271,,10176.0,ok
2020-10-29,full,tropical,240,1.0,True,,55,0.475,31,78,40080,0.03732996765636888,0.013538568563925856,0.9402721597364108,0.014932095049151403,0.022397872607217467,-4.336808689942018e-17,7.594153111664992e-05,2.0,0.0004450766780088351,0.009443363362715543,1.1655173354219173e-18,0.0004450766780088351,0.009443363362715543,1.1655173354219173e-18,interior,0.0,0.000277554226779655,0.016659958786853436,11.123818300875014,0.09723846312711201,False,True,0.0004284619800141612,0.0003525204488975101,0.0004450766780088351,0.0004246713786659443,0.023023029394641875,0.08614234439703836,0.06923652694610781,0.04713116089190159,3.567405536480277e-05,240.0,1.7960634652879733e-07,25.93591332546719,0.08484469558478124,129950.82951793422,,40080.0,ok
2020-10-29,active48,tropical,240,1.0,True,,55,0.475,31,78,11520,0.055139102018286194,0.02206970782014973,0.9148318243549598,0.0251100283915327,0.03002907362675348,-1.0408340855860843e-17,0.0018490163217694854,2.0,0.0021888745044275153,0.003974776520308419,8.673617379884035e-19,0.0021888745044275153,0.003974776520308419,8.673617379884035e-19,interior,0.0,0.0008624856023884425,0.02936810518893656,9.93410916831008,0.8083670238789292,False,True,0.002068181929822661,0.00021916560805317452,0.0021888745044275153,0.002053210612104387,0.21589881613322112,0.5241227929887555,0.05451388888888889,0.5506912132654119,3.567405536480277e-05,240.0,3.811366838144622e-07,5.090745382164817,0.06626231657241244,20138.910039752576,,11520.0,ok
2021-02-15,full,winter,810,0.9853615520282187,True,,60,0.8641975308641975,36,83,133284,0.025054521782182225,0.009030250754881487,0.9595489362522543,0.009657979816615331,0.015396541965566876,3.469446951953614e-17,5.6254278901165e-05,2.0,0.0003778298649695064,0.012457202025243403,-1.4501204056993622e-18,0.0003778298649695064,0.012457202025243403,-1.4501204056993622e-18,interior,0.0,0.0002464829627343436,0.0156997758816597,32.85174223915878,0.08266940630644164,False,True,0.0003683635183876689,0.00031210923948650536,0.0003778298649695064,0.00036601044850191443,0.01493857229980034,0.05719122351693599,0.03533807508778249,0.03033023500813971,5.895531187359981e-05,803.0,1.3347689113712288e-07,72.17672881307621,0.13338041069932377,318056.1601585218,,133284.0,ok
2021-02-15,active48,winter,810,0.9853615520282187,True,,60,0.8641975308641975,36,83,38280,0.026555195401251553,0.009045394722177845,0.9566401823224749,0.009750573124976496,0.016804622276275053,1.3877787807814457e-17,0.0011112829338240135,2.0,0.0010557720092992044,-0.0031461699026693072,-1.5178830414797062e-18,0.0011110385534067156,0.0,-2.974822630133706e-05,R_at_0,1.0,0.0004006292447027925,0.020015724935729718,15.33528622873349,1.0000000000000013,False,False,0.0010815347075226764,0.0,0.0,0.0,1.0,1.0,0.00026123301985370953,inf,5.8840835539864665e-05,799.0,0.0,0.0,0.0,56466.153270423565,,38280.0,ok
2021-05-04,full,convective,344,0.9879568106312292,True,,69,0.05232558139534884,45,92,56756,0.005899518623856522,0.0012181903226757896,0.9894539573949546,0.0012529946426690195,0.004646523981187503,-1.734723475976807e-18,2.6100160561339424e-06,2.0,0.00033757078681967656,0.05644007364827457,4.565507585700679e-19,0.00033757078681967656,0.05644007364827457,4.565507585700679e-19,interior,0.0,0.0001344412755208646,0.01159488143625732,7.630080150911149,0.003904003780564889,True,True,0.000335579281675964,0.0003329692656198296,0.00033757078681967656,0.00033441901182173703,0.002981607406811569,0.011820695606524044,0.04267390231869757,0.005981047950492822,4.7882496360808765e-05,340.0,1.1078874505663691e-07,46.77080003944645,0.07929644389526232,32484.690134334633,47.36165655145771,56756.0,ok
2021-05-04,active48,convective,344,0.9879568106312292,True,,69,0.05232558139534884,45,92,16320,0.016724429494311237,0.0034651776271531274,0.9702960251804399,0.003744884169063315,0.012979545325247924,-3.903127820947816e-18,0.00019103846812881477,2.0,0.0009897867140418776,0.04676958505913302,1.0299920638612292e-18,0.0009897867140418776,0.04676958505913302,1.0299920638612292e-18,interior,0.0,0.0003436938966802071,0.018538983161980785,5.608397006027619,0.10882730490497852,False,True,0.0009732330959284783,0.0007821946277996625,0.0009897867140418776,0.0009637503062560419,0.010470725026594076,0.04060733537796039,0.07867647058823528,0.021163042451423142,4.7882496360808765e-05,340.0,9.065053098478077e-07,43.04460102322265,0.1216312733498923,10598.626829030278,,16320.0,ok
2021-06-21,full,convective,256,0.99609375,True,,69,0.0625,45,92,42585,0.0024390513932317417,0.00027676858274605285,0.9954046147679796,0.00028271755444487856,0.0021563338387868627,-4.87890977618477e-19,1.3210315138213757e-06,2.0,0.0001589419351983539,0.06446491311021939,2.6999175193730823e-19,0.0001589419351983539,0.06446491311021939,2.6999175193730823e-19,interior,0.0,3.4619400820578e-05,0.005883825356056891,1.4741979451426728,0.004183292555860539,True,True,0.00015855426764986542,0.00015723323613604377,0.0001589419351983539,0.0001582549869540629,0.0012312607631883514,0.004906917966073973,0.05969237994599039,0.0024655572703030206,3.27043202407038e-05,255.0,2.4730961839895734e-08,30.421324026092037,0.03245255013018175,21376.38496079343,30.559548368794946,42585.0,ok
2021-06-21,active48,convective,256,0.99609375,True,,69,0.0625,45,92,12240,0.006903854596044954,0.0008474512645078863,0.9870874052807007,0.0008951144727912173,0.006008740123253736,-5.421010862427522e-19,2.7475092723236428e-05,2.0,0.0004189543830591191,0.05628549744015152,2.168404344971009e-19,0.0004189543830591191,0.05628549744015152,2.168404344971009e-19,interior,0.0,9.449958098346823e-05,0.009721089495703054,1.1564858720756843,0.034145443610800415,True,True,0.00041606198291610323,0.0003885868901928666,0.0004189543830591191,0.00041388898526013954,0.003707890708779778,0.014668396402913925,0.10367647058823529,0.0074433806595490095,3.27043202407038e-05,255.0,1.6617650838714883e-07,21.523909857489524,0.04509989426438494,6950.093925471706,19.831028188257594,12240.0,ok
2021-08-11,full,convective,253,0.9937888198757764,True,,94,0.1541501976284585,70,117,41988,0.0116930806787649,0.0024349824786233662,0.9791855492568537,0.0025717106143834712,0.009121370064381431,0.0,2.2783020131411724e-05,2.0,0.000338499168836561,0.026661754859898766,7.453889935837843e-20,0.000338499168836561,0.026661754859898766,7.453889935837843e-20,interior,0.0,0.0001329163178039644,0.011528933940480551,5.580624519317249,0.03525151029676923,True,True,0.00033454107074566025,0.00031175805061424845,0.000338499168836561,0.00033226663903117553,0.006307985404330567,0.02476332160360737,0.05551586167476422,0.012696057353137268,2.239307858197519e-05,252.0,1.084898119537829e-07,34.271715464115644,0.06749274201212628,49097.31578953648,31.433921883442217,41988.0,ok
2021-08-11,active48,convective,253,0.9937888198757764,True,,94,0.1541501976284585,70,117,12049,0.019796544228909904,0.004122183937915574,0.964920998643503,0.00451408710132276,0.015282457127587142,0.0,-0.0002566292749553084,2.0,0.0003214606641804519,0.028880097569985802,-1.6263032587282567e-19,0.0003214606641804519,0.028880097569985802,-1.6263032587282567e-19,interior,0.0,0.00021380566651159452,0.014622095147809513,2.5757168644651793,0.2893804963691845,False,True,0.00031509685392414885,0.0005717261288794574,0.0003214606641804519,0.0003114803172857006,0.0055346332629427515,0.021776950743912827,0.10432401029131051,0.011130871819302165,2.239307858197519e-05,252.0,9.436547001327617e-08,5.317957969688822,0.033719572182783764,15046.913336932683,,12049.0,ok
2021-12-11,full,convective,256,0.9715401785714286,True,,59,0.04296875,35,82,41534,0.006091154847709239,0.0009409871545812922,0.9887957796265427,0.000978089321960064,0.005113065525749176,1.0842021724855044e-18,5.960054738559328e-06,2.0,0.0002742333078173082,0.043768852081752345,-3.1509625637859973e-19,0.0002742333078173082,0.043768852081752345,-3.1509625637859973e-19,interior,0.0,8.125855127240182e-05,0.009014352515427928,3.3748301514453924,0.011054215820972293,True,True,0.0002725629102749934,0.0002666028555364344,0.0002742333078173082,0.0002714144747372699,0.0031229615894407124,0.012375897995538142,0.044951124380026006,0.006265490063689348,5.2594464464008654e-05,250.0,7.235117384684794e-08,36.9811374618439,0.05481818726075299,30401.274556068925,36.77656524426941,41534.0,ok
2021-12-11,active48,convective,256,0.9715401785714286,True,,59,0.04296875,35,82,11940,0.013518043666112702,0.002154797695990455,0.9753014478683233,0.002337535200549385,0.011180508465563316,-1.3010426069826053e-18,0.000219064039821775,2.0,0.0009481956083453269,0.05298945887277997,5.963111948670274e-19,0.0009481956083453269,0.05298945887277997,5.963111948670274e-19,interior,0.0,0.00025238308085516107,0.015886569197128782,3.012949219248913,0.13263010451256452,False,True,0.0009353778587076984,0.0007163138188859228,0.0009481956083453269,0.0009267504804640074,0.008867681718920137,0.03455155041963102,0.08467336683417087,0.017894042107918246,5.2113189848350616e-05,249.0,8.287894649745257e-07,39.209229787771946,0.09947736532395617,6532.685342609992,,11940.0,ok
2021-12-15,full,wind,361,0.9469726948951326,True,,71,0.5983379501385041,47,94,57087,0.007945298049949482,0.0019345764001504125,0.9861071080613568,0.0019977041612529436,0.005947593888696538,5.854691731421724e-18,2.1156407752984784e-05,2.0,0.0005335885186488819,0.06396142572429153,-1.4568966692773966e-18,0.0005335885186488819,0.06396142572429153,-1.4568966692773966e-18,interior,0.0,0.00025791760107847354,0.01605981323298853,14.723226257564663,0.020390900912985732,True,True,0.0005293489988321855,0.0005081925910792022,0.0005335885186488819,0.0005272031770030337,0.004153847940866143,0.016410886778704052,0.038993115770665804,0.008342348729825661,0.00010761945759793371,343.0,2.7571961515952983e-07,61.027264540286474,0.1254591792999304,27139.263250117223,58.08201288723056,57087.0,ok
