delta,state_variance,lambda_min_theory,lambda_min_numeric,collapse_gap_theory,collapse_gap_numeric,gamma_theory,one_risk_theory,one_risk_mc,one_risk_mc_se,two_risk_theory,two_risk_mc,two_risk_mc_se,risk_difference_theory,risk_difference_mc,risk_difference_mc_se,two_wins_probability_theory,two_wins_probability_mc,replications
0.02,0.0004,0.0008,0.0008000000000002727,2.300319488817891e-05,2.3003194888178925e-05,0.04089456869009585,0.0005855031948881789,0.0005917670705559991,3.5880441676671486e-06,0.001125,0.001129980768530096,5.034744799497738e-06,-0.0005394968051118211,-0.0005382136979740969,3.538694856504385e-06,0.16025843208804869,0.15802,50000
0.049375,0.0024378906250000004,0.004875781250000001,0.004875781250000211,0.00013906638545062912,0.000139066385450629,0.24722912969000732,0.0007015663854506291,0.0007005809610702062,3.5617487017962204e-06,0.001125,0.0011191782499436333,5.0181246043418246e-06,-0.00042343361454937083,-0.00041859728887342685,3.5469257323940804e-06,0.3809670743562729,0.38588,50000
0.07875,0.0062015625000000005,0.012403125000000001,0.01240312499999989,0.0003485634479688234,0.00034856344796882325,0.6196683519445749,0.0009110634479688234,0.0009088660159210695,3.5500350592048864e-06,0.001125,0.0011247190541942484,5.0431439581689285e-06,-0.00021393655203117654,-0.00021585303827317888,3.568602201609613e-06,0.5688294448651644,0.56604,50000
0.10080972981818898,0.01016260162601626,0.02032520325203252,0.020325203252032353,0.0005625000000000001,0.0005624999999999993,1.0000000000000002,0.0011250000000000001,0.001122657561951955,3.570265509632435e-06,0.001125,0.001125894496822919,5.096052300643511e-06,1.0842021724855044e-19,-3.236934870963839e-06,3.5987309553831055e-06,0.682689492137086,0.68074,50000
0.108125,0.011691015625,0.02338203125,0.023382031249999977,0.0006433183217923093,0.0006433183217923096,1.143677016519661,0.0012058183217923094,0.0012043128148456384,3.533442748755276e-06,0.001125,0.001119836694025981,4.987351974682074e-06,8.081832179230935e-05,8.447612081965744e-05,3.5352413174893406e-06,0.7151233059344683,0.71618,50000
0.13749999999999998,0.018906249999999996,0.03781249999999999,0.03781249999999979,0.0010124346310284714,0.0010124346310284717,1.7998837884950603,0.0015749346310284713,0.0015766320499268972,3.5807913484785482e-06,0.001125,0.0011247480416264933,5.052630630090433e-06,0.0004499346310284715,0.00045188400830040377,3.5411029945517313e-06,0.8202734550819138,0.82038,50000
0.16687499999999997,0.02784726562499999,0.05569453124999998,0.05569453124999982,0.0014432412141900121,0.0014432412141900126,2.565762158560022,0.002005741214190012,0.0020075391420660196,3.568825105331994e-06,0.001125,0.0011245495533830751,5.000429990381011e-06,0.0008807412141900122,0.0008829895886829442,3.5273430684731395e-06,0.8908000822568891,0.89184,50000
0.19624999999999998,0.038514062499999994,0.07702812499999999,0.0770281250000001,0.0019222719863091593,0.0019222719863091595,3.4173724201051723,0.002484771986309159,0.002485960355960028,3.54930609764724e-06,0.001125,0.0011266611897295573,5.066194554064899e-06,0.0013597719863091594,0.0013592991662304712,3.613790047311086e-06,0.9354863794718886,0.93536,50000
0.225625,0.050906640625,0.10181328125,0.10181328124999997,0.002436156355597212,0.0024361563555972106,4.330944632172821,0.002998656355597212,0.0029987768619420393,3.576950166537129e-06,0.001125,0.0011302832448587508,5.0640431373022495e-06,0.0018736563555972119,0.0018684936170832885,3.607090696199146e-06,0.9625745298607672,0.96236,50000
0.255,0.065025,0.13005,0.13005,0.0029723355289262756,0.0029723355289262765,5.28415205142449,0.0035348355289262757,0.0035318120532036347,3.5174118280102717e-06,0.001125,0.0011237688627411652,5.023385186978858e-06,0.0024098355289262755,0.002408043190462469,3.576713252931103e-06,0.9784796306617404,0.97836,50000
0.284375,0.08086914062499999,0.16173828124999998,0.16173828125000037,0.003519565538207254,0.0035195655382072545,6.257005401257341,0.004082065538207254,0.004085156113035172,3.620119520677714e-06,0.001125,0.0011217588429000178,5.059568814382574e-06,0.002957065538207254,0.0029633972701351543,3.4987888945984246e-06,0.9876296868152359,0.98826,50000
0.31375,0.09843906249999998,0.19687812499999996,0.19687812499999974,0.0040682077658844564,0.004068207765884457,7.232369361572368,0.004630707765884456,0.004629908885627693,3.550433324238684e-06,0.001125,0.0011290514174305002,5.049411283609269e-06,0.0035057077658844564,0.0035008574681971924,3.6062856786733044e-06,0.9928399352172604,0.9923,50000
0.343125,0.11773476562500002,0.23546953125000003,0.23546953125000014,0.004610335446849961,0.004610335446849962,8.19615190551104,0.0051728354468499604,0.0051725837463493735,3.5091964915126077e-06,0.001125,0.0011253757607252554,4.9916248997113505e-06,0.004047835446849961,0.004047207985624118,3.5579184694184756e-06,0.9958020667560765,0.99578,50000
0.3725,0.13875625,0.2775125,0.2775125000000001,0.005139698718670118,0.005139698718670118,9.137242166524654,0.005702198718670118,0.00570760322311332,3.5887479245966757e-06,0.001125,0.0011336844830526355,5.092800605623723e-06,0.004577198718670118,0.004573918740060683,3.5861692816189663e-06,0.9974954166335929,0.99714,50000
0.401875,0.16150351562499998,0.32300703124999997,0.32300703125000013,0.005651593575009326,0.005651593575009326,10.047277466683246,0.006214093575009325,0.0062172902921466015,3.6125846766966573e-06,0.001125,0.0011248866272370963,5.05490330051884e-06,0.005089093575009326,0.005092403664909506,3.536681253143151e-06,0.9984742674036243,0.9985,50000
0.43125,0.18597656250000003,0.37195312500000005,0.3719531250000004,0.00614267538751008,0.00614267538751008,10.92031180001792,0.006705175387510079,0.006705780278758366,3.5705528067972912e-06,0.001125,0.0011225137056037136,5.020813808832228e-06,0.00558017538751008,0.005583266573154654,3.5283224432262166e-06,0.9990488440065319,0.9991,50000
0.460625,0.21217539062500002,0.42435078125000003,0.4243507812499997,0.006610749267433478,0.006610749267433477,11.752443142103962,0.007173249267433478,0.007178971435003011,3.558836182376632e-06,0.001125,0.0011339079794512382,5.023716772323505e-06,0.0060482492674334785,0.006045063455551774,3.5599806583464904e-06,0.9993923657452786,0.99934,50000
0.49,0.24009999999999998,0.48019999999999996,0.48019999999999996,0.007054560293817588,0.007054560293817587,12.541440522342379,0.007617060293817588,0.0076144375582823725,3.544487507536002e-06,0.001125,0.0011184622506513627,5.002570331156451e-06,0.006492060293817588,0.006495975307631011,3.55039246021526e-06,0.9996019746617927,0.99958,50000
