design,seed,model,rmse,mae,rmse 1-6 h,rmse 7-24 h,rmse 25-48 h,rmse 49-144 h,false_activity,false_activity_005,mean_pred,fa_no_background,fa_background_only,mean_r
loeo,0,W own t*,0.030963187845183725,0.006822129418170787,0.013603097091774374,0.03136688347131051,0.03179181822678195,0.03145459999847483,0.31346194899185026,0.08610607652478203,0.0040670593477557535,0.1256535079090677,0.19786691669840897,0.260638355571892
loeo,0,W at GCRK t*,0.030232008759819688,0.006908121071838526,0.013585813937232582,0.028509030334241257,0.029570781182446527,0.03143994512704706,0.35811605547021175,0.10437709028350418,0.0041560716819189995,0.18003541186171793,0.21267208867197146,0.26175545707238645
loeo,0,GCRK,0.030227043938692893,0.006572298705392993,0.013473380094693175,0.027786655350476516,0.029686639706247995,0.03152967610783184,0.38633671406386694,0.09358191399856845,0.0036602975030037995,,,
loeo,0,GCRK exit closed,0.029774715823332517,0.006251895495507571,0.013483832016025788,0.02730582790886138,0.02852878342443779,0.031228370161467865,0.3880152195661,0.08753761987082624,0.0032509314739935413,,,
loeo,1,W own t*,0.03068375982961696,0.006502563863484841,0.014143789930937173,0.031241044057522798,0.02983573324429459,0.031531468197632515,0.21586585350539758,0.0776172756306953,0.0035257695405164547,0.04459550528875736,0.18291524175083612,0.27157330240487115
loeo,1,W at GCRK t*,0.03211898611083339,0.0071789597378292165,0.014188480082515968,0.03680270764747317,0.033435654183729,0.03164554865351777,0.24783698823371828,0.08715671213839926,0.004439322941356422,0.07232642536929214,0.1802781882186494,0.27245113440987023
loeo,1,GCRK,0.029819471971148197,0.006560408936599224,0.014134162691780007,0.02921113166592714,0.029165506149556226,0.030801088185879174,0.26982080593378904,0.08805247317949126,0.003840900331981265,,,
loeo,1,GCRK exit closed,0.030008062427537594,0.006682567672027635,0.014137696489929496,0.02901447859320641,0.029268669764726935,0.03108483629394995,0.27360058266325665,0.08969330648840743,0.003932286634695246,,,
loeo,2,W own t*,0.032620579546261214,0.007444566245999072,0.014705163326180524,0.03237779253161788,0.03583815287557773,0.032634603873173997,0.25655600808696416,0.08841663771488847,0.004636150831048323,0.0725901307225108,0.1918602947639837,0.20612608370323593
loeo,2,W at GCRK t*,0.030193354134887603,0.007377600179691364,0.014247911338650122,0.028952380405053765,0.02883320573962456,0.03146120234358526,0.436047266045215,0.11909436047266045,0.004886799842251494,0.22854463945618095,0.2277702665935547,0.24092474277307432
loeo,2,GCRK,0.029886770296160433,0.007207851683778931,0.014227569807005232,0.02814308946587768,0.028382831830585317,0.0312621322137504,0.4205388797964027,0.1213839926664797,0.004697834986318826,,,
loeo,2,GCRK exit closed,0.030052681989024655,0.007251544572437027,0.014225256502100195,0.02811542717384008,0.028491381865735042,0.03148002079894653,0.4315600892412402,0.11736981117859549,0.004694075764712977,,,
loeo,3,W own t*,0.030467936958168063,0.006556724198652553,0.013568766901677541,0.03006093669286032,0.03087401809057666,0.03119674969663378,0.2815368580553614,0.0795385574898599,0.003940863585784898,0.12752037437788558,0.17855363892458445,0.20810667358943738
loeo,3,W at GCRK t*,0.0295947806159288,0.006785099125329933,0.013961097990635501,0.02808253490066859,0.028542208506221328,0.030823787824157005,0.39858017689187664,0.11988129073305902,0.004171765975853933,0.20791283491626308,0.2231491442133418,0.24241096134414
loeo,3,GCRK,0.030108601822434317,0.006918172747747072,0.01404647979822094,0.028890285150382337,0.03119268673466345,0.030785628917493965,0.4043858804619448,0.1110408827013474,0.004278356996892757,,,
loeo,3,GCRK exit closed,0.02928955587241169,0.0062811481671608905,0.014026675290193226,0.027257972629561544,0.02803852580082382,0.030638429474244555,0.4071066499792803,0.10258138240206276,0.003491893256627942,,,
loeo,4,W own t*,0.03245260223011492,0.007262934515399467,0.014764858369734169,0.030794035450486694,0.03624786584833587,0.0325559260708304,0.31965693189286026,0.08744971808642,0.004497635462558697,0.06950519666977811,0.2604446155971252,0.21404376600351438
loeo,4,W at GCRK t*,0.031311137018251424,0.007540920435291752,0.014578973621049703,0.03025007315305508,0.030448905076160337,0.03246512643188935,0.36123447591700397,0.10880985169713231,0.00487069644505289,0.1397345366110932,0.23096403142698083,0.22699973901356707
loeo,4,GCRK,0.03311121213192535,0.007738029644989736,0.014696415953492614,0.03146374502424738,0.03147084007958617,0.034610184284318724,0.328593613307493,0.1029371753389451,0.005070301506718811,,,
loeo,4,GCRK exit closed,0.03103874640379537,0.007141257208123818,0.014619580900479595,0.029247465320288706,0.029602211607414584,0.03243970275841596,0.32805364520328334,0.0989020648547737,0.0043347590037545545,,,
