model,rmse,mae,n_cells,rmse 1-6 h,rmse 7-24 h,rmse 25-48 h,rmse 49-144 h,n_peak_units,peak_mag_abs_mean,peak_mag_abs_median,peak_mag_signed_mean,peak_time_abs_mean,peak_time_abs_median,peak_time_signed_mean,false_activity_share,under_half_share,n_seeds,rmse sd,rmse 1-6 h sd,rmse 7-24 h sd,rmse 25-48 h sd,rmse 49-144 h sd,mae sd,peak_mag_abs_mean sd,peak_time_abs_mean sd,false_activity_share sd,under_half_share sd
all-zero,0.030493618298751413,0.00452099914129265,382736.0,0.015015304817259415,0.02874152481297202,0.028882730214591746,0.03189522678948308,1609.0,0.09867249792146528,0.05100620910525322,-0.09867249792146528,64.35177128651337,50.0,-64.35177128651337,0.0,1.0,,,,,,,,,,,
persistence,0.03206735995168688,0.0049990837216752765,382736.0,0.015492407218754807,0.030464490763856208,0.030693801753338204,0.03343621516499404,1609.0,0.09770816775347928,0.05058327689766884,-0.0976584036586687,64.35177128651337,50.0,-64.35177128651337,0.03836703599368781,0.9819227608874281,,,,,,,,,,,
TimesFM,0.030885528516702575,0.0047147055330638895,382736.0,0.015674756872055162,0.029203507398947694,0.028836264190278214,0.032369368606445896,1609.0,0.09739189945149891,0.049729913094779477,-0.0953471957790088,47.820385332504664,35.0,-6.835922933499067,0.018823539260704136,0.9858486259472291,,,,,,,,,,,
TimesFM (history only),0.03094108003439226,0.004682833580292164,382736.0,0.015519174990400954,0.030213863956949062,0.02907438329168147,0.03222614748920039,1609.0,0.09792630649141856,0.050583238666163766,-0.09695287253373853,57.154133001864516,49.0,-7.810441267868241,0.012226719630979937,0.993106911348489,,,,,,,,,,,
W,0.031437613281868976,0.006917783648341344,382736.0,0.014157135124060758,0.031168138440759642,0.03291751765711336,0.031874669567349107,1609.0,0.08316095312677724,0.036511465162038806,-0.06336712643391977,22.126041019266626,4.6,2.2411435674331885,0.27741552010648673,0.768401351227974,5.0,0.0010202032203124923,0.0005751034372528364,0.0008476329679667989,0.0029394648325456437,0.0006699685714056607,0.00042087710614898435,0.00185653690894168,2.1284893035099057,0.04279061822403428,0.01433283114236729
GCRK,0.030630620032072238,0.006999352343701591,382736.0,0.014115601669038394,0.029098981331382213,0.02997970090012783,0.03179774194185482,1609.0,0.0804303353349888,0.03393912264145911,-0.06507920971156689,21.49869484151647,4.0,3.3987569919204477,0.3619351787126993,0.7484159590979641,5.0,0.0013964228806625397,0.00043802197207754294,0.001439111518897478,0.0013222726144575831,0.0016036100278181429,0.0004926338350340969,0.002129410658083572,1.288867264659059,0.06210597484004142,0.021647208695132356
GCRK exit closed,0.030032752503220368,0.00672168262305139,382736.0,0.014098608239745661,0.028188234325151624,0.028785914492627636,0.03137427189740497,1609.0,0.0798370993739239,0.033216885104775426,-0.06896220807705206,21.254319453076448,4.0,3.78011187072716,0.3656672373306321,0.7632338172190268,5.0,0.0006387399064659788,0.00040990985026424803,0.0009292441388874761,0.0006345961990742792,0.0006694867636091277,0.00046719831155293395,0.0010578130382432977,1.442828983834862,0.06412795096122162,0.024531753579838313
