seed,fold,segment,gate_above_half,mean_deposit_norm
0,1,prefix 1-71,0.03349618003222286,0.09581363201141357
0,1,lead 1-6,0.18234932349323493,0.22820840775966644
0,1,lead 7-24,0.2652726527265273,0.28028416633605957
0,1,lead 25-48,0.20026137761377613,0.24277363717556
0,1,lead 49-144,0.2987584563345633,0.3035748302936554
0,2,prefix 1-71,0.03365397866651967,0.09686701744794846
0,2,lead 1-6,0.1934116112198304,0.2378288060426712
0,2,lead 7-24,0.26320939334637966,0.2811468839645386
0,2,lead 25-48,0.23597521200260926,0.26145705580711365
0,2,lead 49-144,0.3123980756686236,0.31011146306991577
0,3,prefix 1-71,0.02878811329515555,0.09146235138177872
0,3,lead 1-6,0.17704517704517705,0.22265374660491943
0,3,lead 7-24,0.23473748473748474,0.2664392292499542
0,3,lead 25-48,0.2248931623931624,0.25824177265167236
0,3,lead 49-144,0.30528846153846156,0.30688604712486267
0,4,prefix 1-71,0.02966000159748662,0.09467539936304092
0,4,lead 1-6,0.19407687460617518,0.23252461850643158
0,4,lead 7-24,0.23997059441293847,0.26894083619117737
0,4,lead 25-48,0.21061751732829237,0.24874740839004517
0,4,lead 49-144,0.3272093572778828,0.31534069776535034
0,5,prefix 1-71,0.041168060997564336,0.10315178334712982
0,5,lead 1-6,0.22055137844611528,0.2578866481781006
0,5,lead 7-24,0.2568922305764411,0.28017333149909973
0,5,lead 25-48,0.19815162907268172,0.24320977926254272
0,5,lead 49-144,0.3152608082706767,0.3117298185825348
1,1,prefix 1-71,0.04448833220726574,0.10077694803476334
1,1,lead 1-6,0.18603936039360394,0.23316918313503265
1,1,lead 7-24,0.2477449774497745,0.26800745725631714
1,1,lead 25-48,0.16620541205412054,0.21526287496089935
1,1,lead 49-144,0.2975861008610086,0.3076307475566864
1,2,prefix 1-71,0.05002618450428599,0.1140681579709053
1,2,lead 1-6,0.24298760600130462,0.27521833777427673
1,2,lead 7-24,0.25146771037182,0.28198719024658203
1,2,lead 25-48,0.19822243966079583,0.24781328439712524
1,2,lead 49-144,0.3111342139595564,0.31031620502471924
1,3,prefix 1-71,0.04413661455914977,0.10495324432849884
1,3,lead 1-6,0.2087912087912088,0.24478551745414734
1,3,lead 7-24,0.22568172568172568,0.25997820496559143
1,3,lead 25-48,0.1723137973137973,0.23384465277194977
1,3,lead 49-144,0.3102106227106227,0.31274327635765076
1,4,prefix 1-71,0.04693948188183924,0.10514234751462936
1,4,lead 1-6,0.24007561436672967,0.26272040605545044
1,4,lead 7-24,0.24606175173282924,0.2670029401779175
1,4,lead 25-48,0.17989918084436043,0.22839424014091492
1,4,lead 49-144,0.31567028985507245,0.31971538066864014
1,5,prefix 1-71,0.042677115323520066,0.10167310386896133
1,5,lead 1-6,0.2261904761904762,0.2596372067928314
1,5,lead 7-24,0.2373642439431913,0.2641822397708893
1,5,lead 25-48,0.17794486215538846,0.22588656842708588
1,5,lead 49-144,0.3161810776942356,0.3190569579601288
2,1,prefix 1-71,0.029858115482563275,0.08730251342058182
2,1,lead 1-6,0.22293972939729398,0.2518393397331238
2,1,lead 7-24,0.25174251742517423,0.28503963351249695
2,1,lead 25-48,0.2017988929889299,0.2532617151737213
2,1,lead 49-144,0.2942996617466175,0.3117770254611969
2,2,prefix 1-71,0.038036437804911664,0.10117436200380325
2,2,lead 1-6,0.23939986953685582,0.26982763409614563
2,2,lead 7-24,0.2756033920417482,0.29908502101898193
2,2,lead 25-48,0.22129810828440966,0.26990407705307007
2,2,lead 49-144,0.30791340508806264,0.31774845719337463
2,3,prefix 1-71,0.025408863437032452,0.08840206265449524
2,3,lead 1-6,0.22466422466422467,0.2433844804763794
2,3,lead 7-24,0.24043549043549042,0.27467676997184753
2,3,lead 25-48,0.19826007326007325,0.2564813792705536
2,3,lead 49-144,0.31160332722832723,0.3199748396873474
2,4,prefix 1-71,0.02814238930748955,0.08775810152292252
2,4,lead 1-6,0.26244486452425964,0.2716361880302429
2,4,lead 7-24,0.2526780088216761,0.28480955958366394
2,4,lead 25-48,0.20518273471959672,0.2557535469532013
2,4,lead 49-144,0.32590973534971646,0.3267412781715393
2,5,prefix 1-71,0.03150481838398814,0.09036139398813248
2,5,lead 1-6,0.24091478696741855,0.2613263428211212
2,5,lead 7-24,0.2513575605680869,0.27879026532173157
2,5,lead 25-48,0.19556704260651628,0.24824200570583344
2,5,lead 49-144,0.31610275689223055,0.3225548565387726
3,1,prefix 1-71,0.03437970999428304,0.10315624624490738
3,1,lead 1-6,0.13191881918819187,0.1968790739774704
3,1,lead 7-24,0.263530135301353,0.2685628831386566
3,1,lead 25-48,0.24461869618696186,0.27614861726760864
3,1,lead 49-144,0.29568342558425587,0.29841065406799316
3,2,prefix 1-71,0.03991069705906673,0.10886041820049286
3,2,lead 1-6,0.12165688193085453,0.19579149782657623
3,2,lead 7-24,0.2578821482931072,0.2771718502044678
3,2,lead 25-48,0.2600293542074364,0.2802846431732178
3,2,lead 49-144,0.306323385518591,0.3048088550567627
3,3,prefix 1-71,0.03392147758344941,0.10005120933055878
3,3,lead 1-6,0.12515262515262515,0.20014147460460663
3,3,lead 7-24,0.22863247863247863,0.26258009672164917
3,3,lead 25-48,0.252518315018315,0.2777552902698517
3,3,lead 49-144,0.2973519536019536,0.3003798723220825
3,4,prefix 1-71,0.036396070182912216,0.10189095139503479
3,4,lead 1-6,0.1452425960932577,0.20135661959648132
3,4,lead 7-24,0.25918924595673176,0.2667209804058075
3,4,lead 25-48,0.24369880277252678,0.2656325101852417
3,4,lead 49-144,0.31584751102709513,0.30388084053993225
3,5,prefix 1-71,0.043894948639203644,0.11416743695735931
3,5,lead 1-6,0.1463032581453634,0.21597133576869965
3,5,lead 7-24,0.21783625730994152,0.26070636510849
3,5,lead 25-48,0.24890350877192982,0.27917543053627014
3,5,lead 49-144,0.3049812030075188,0.3074396252632141
4,1,prefix 1-71,0.035003378202796115,0.10267957299947739
4,1,lead 1-6,0.11316113161131611,0.1877189576625824
4,1,lead 7-24,0.21689216892168922,0.2582338750362396
4,1,lead 25-48,0.20256765067650676,0.25316140055656433
4,1,lead 49-144,0.31428736162361626,0.313368558883667
4,2,prefix 1-71,0.029161268983765608,0.09443467110395432
4,2,lead 1-6,0.12524461839530332,0.19209128618240356
4,2,lead 7-24,0.2590780604479235,0.2796069085597992
4,2,lead 25-48,0.2610078277886497,0.2804311513900757
4,2,lead 49-144,0.3060379973907371,0.3110530376434326
4,3,prefix 1-71,0.026879224062322654,0.09444185346364975
4,3,lead 1-6,0.13095238095238096,0.19272305071353912
4,3,lead 7-24,0.21235246235246236,0.2566141188144684
4,3,lead 25-48,0.2596916971916972,0.27704885601997375
4,3,lead 49-144,0.3112026862026862,0.31029900908470154
4,4,prefix 1-71,0.03309459783274315,0.0999549850821495
4,4,lead 1-6,0.13925645872715817,0.19800212979316711
4,4,lead 7-24,0.19995799201848352,0.2483113706111908
4,4,lead 25-48,0.2540170132325142,0.26861152052879333
4,4,lead 49-144,0.3271699747952111,0.3158680200576782
4,5,prefix 1-71,0.03499947050725405,0.09989189356565475
4,5,lead 1-6,0.13345864661654136,0.19278420507907867
4,5,lead 7-24,0.1653091060985798,0.23540954291820526
4,5,lead 25-48,0.22329260651629074,0.2605794370174408
4,5,lead 49-144,0.3300830200501253,0.317716121673584
