seed,fold,variant,n_units,mean_dlogit,mean_abs_dlogit,mean_dlogit_h72_95,mean_dlogit_h168_215,mean_dp,max_dp,share_units_dp_gt_1pp,mean_p_open,mean_p_closed
0,1,path from hour 72 (as trained),321,-8.436496136710048e-05,0.002261973451822996,-0.0007423709612339735,0.0006327056908048689,2.226867582066916e-05,0.007788375020027161,0.0,0.0019876323640346527,0.0019653637427836657
0,1,path from hour 0,321,0.00043595931492745876,0.000453256128821522,0.00019507297838572413,0.0006075619021430612,1.727437393128639e-06,0.0001567751169204712,0.0,0.0021505188196897507,0.002148791216313839
0,2,path from hour 72 (as trained),544,-0.002240929752588272,0.004064483568072319,-9.917657735059038e-05,-0.005293087102472782,-4.5630486056325026e-08,4.656612873077393e-06,0.0,0.0014617181150242686,0.0014617634005844593
0,2,path from hour 0,544,-0.004080507438629866,0.004586548078805208,-0.0007042141514830291,-0.007108067627996206,-5.9788991535469904e-09,1.6257166862487793e-05,0.0,0.0016576028428971767,0.001657608663663268
0,3,path from hour 72 (as trained),991,-0.0004920563660562038,0.0044328016228973866,-0.0010405101347714663,0.00010081741493195295,8.437592441623565e-06,0.0008911630138754845,0.0,0.0017898579826578498,0.0017814202001318336
0,3,path from hour 0,991,0.00021603306231554598,0.0011125707533210516,-3.089840174652636e-05,0.00046303574345074594,4.616448734395817e-07,0.00015229173004627228,0.0,0.0019231302430853248,0.0019226685399189591
0,4,path from hour 72 (as trained),385,-0.000629073940217495,0.0007190215983428061,-0.00032191647915169597,-0.0007061801152303815,5.21551779542051e-09,9.683426469564438e-06,0.0,0.0005663047195412219,0.0005662995390594006
0,4,path from hour 0,385,0.00010438193567097187,0.00012264448741916567,0.00012727006105706096,9.795579535420984e-05,7.683303948624598e-08,1.17449089884758e-05,0.0,0.0005664009368047118,0.000566324102692306
0,5,path from hour 72 (as trained),419,0.009673395194113255,0.01236430462449789,-0.00027968865470029414,0.019957035779953003,4.027525937999599e-05,0.003614712506532669,0.0,0.0018679378554224968,0.0018276625778526068
0,5,path from hour 0,419,0.004132535308599472,0.004990740213543177,0.0011414639884606004,0.006565213669091463,1.8975350030814297e-05,0.0007131388410925865,0.0,0.0025005594361573458,0.002481583971530199
1,1,path from hour 72 (as trained),321,-0.0019470778061076999,0.008684329688549042,0.001705583999864757,-0.005801343824714422,-3.161183713018545e-06,0.00017341971397399902,0.0,0.0007151174359023571,0.0007182786939665675
1,1,path from hour 0,321,-0.0032098605297505856,0.003256854834035039,-0.0009416310349479318,-0.005030992440879345,-1.0199224789175787e-06,8.916482329368591e-06,0.0,0.0008809220744296908,0.0008819419890642166
1,2,path from hour 72 (as trained),544,0.017422500997781754,0.018694167956709862,0.0017502864357084036,0.033314965665340424,-7.463740181457013e-10,3.5406264942139387e-07,0.0,0.0027386844158172607,0.002738684881478548
1,2,path from hour 0,544,0.017237577587366104,0.01758311130106449,0.004059096332639456,0.028106875717639923,-3.729874631375196e-09,1.9292929209768772e-07,0.0,0.003116491250693798,0.00311649520881474
1,3,path from hour 72 (as trained),991,0.009615005925297737,0.014316136948764324,0.002557428553700447,0.011690567247569561,5.732339559472166e-06,0.0006221584044396877,0.0,0.0009369428153149784,0.0009312105248682201
1,3,path from hour 0,991,-2.5756133254617453e-05,0.0009826923487707973,-1.2396081729093567e-05,-4.7846489906078205e-05,5.37003188583185e-07,0.00010154163464903831,0.0,0.0011249572271481156,0.0011244204360991716
1,4,path from hour 72 (as trained),385,0.001403728500008583,0.0014154643286019564,0.0008174446411430836,0.0015690962318331003,3.4768858903078126e-09,1.6341073205694556e-07,0.0,0.0036573773249983788,0.003657373832538724
1,4,path from hour 0,385,6.623075751122087e-05,0.00010253237269353122,0.00010481314529897645,5.4895928769838065e-05,-7.511140147353768e-12,4.03451849706471e-09,0.0,0.0036573982797563076,0.0036573982797563076
1,5,path from hour 72 (as trained),419,-0.03154744952917099,0.034613609313964844,-7.258669938892126e-05,-0.06319057196378708,-0.00020701841276604682,8.227466605603695e-05,0.0,0.0012703886022791266,0.001477407175116241
1,5,path from hour 0,419,-0.012615394778549671,0.014142700470983982,-0.003305802121758461,-0.01992291770875454,-9.409584890818223e-05,0.00017466582357883453,0.0,0.002415694994851947,0.0025097911711782217
2,1,path from hour 72 (as trained),321,-0.011508891358971596,0.018088314682245255,0.001867203158326447,-0.022771812975406647,-8.675611024955288e-05,4.05777245759964e-06,0.0,0.0009885967010632157,0.0010753527749329805
2,1,path from hour 0,321,-0.003854048438370228,0.0038822314236313105,-0.0010119292419403791,-0.006258645094931126,-6.704797669954132e-06,5.872570909559727e-07,0.0,0.0012761957477778196,0.0012829004554077983
2,2,path from hour 72 (as trained),544,-0.005251386668533087,0.010390736162662506,0.001937877619639039,-0.013590550981462002,-6.925109801159124e-07,8.854432962834835e-06,0.0,0.0029329971875995398,0.00293368985876441
2,2,path from hour 0,544,-0.0006157023599371314,0.004700161051005125,0.0006314779166132212,-0.00271041551604867,-5.890904617444903e-07,3.331818152219057e-05,0.0,0.0027431566268205643,0.0027437456883490086
2,3,path from hour 72 (as trained),991,-0.002402241574600339,0.004045927431434393,-0.0017652633832767606,-0.002462023636326194,-2.2911471830866503e-07,0.00023842696100473404,0.0,0.0016534799942746758,0.0016537088667973876
2,3,path from hour 0,991,0.0004082268278580159,0.000979376956820488,-0.00017105285951402038,0.0008496479713357985,1.3362176787268254e-06,0.0002096462994813919,0.0,0.0019619050435721874,0.001960569294169545
2,4,path from hour 72 (as trained),385,-0.0013014600845053792,0.0013040949124842882,-0.0009335155482403934,-0.0014033082406967878,-3.858588115690509e-08,1.1583324521780014e-08,0.0,0.004101586528122425,0.004101625178009272
2,4,path from hour 0,385,-0.00020679860608652234,0.00023441748635377735,-0.000324162479955703,-0.00016735926328692585,-2.031777412980773e-09,2.718297764658928e-08,0.0,0.0041016521863639355,0.004101654049009085
2,5,path from hour 72 (as trained),419,0.005910821259021759,0.025369545444846153,-0.0013491808203980327,0.012827678583562374,0.0002749533159658313,0.022523287683725357,0.021479713603818614,0.0019883313216269016,0.001713378238491714
2,5,path from hour 0,419,0.006731424480676651,0.01151285320520401,0.0017566002206876874,0.010763335041701794,8.766627433942631e-05,0.00516006164252758,0.0,0.0024752907920628786,0.0023876249324530363
3,1,path from hour 72 (as trained),321,-0.0013071789871901274,0.0018310850718989968,-0.0006154979346320033,-0.0017767853569239378,1.6557561366425944e-07,0.0009684152901172638,0.0,0.0014085680013522506,0.0014084024587646127
3,1,path from hour 0,321,0.0002957185497507453,0.0005180161679163575,0.00017450012092012912,0.0004095186304766685,-5.016559612158744e-08,0.00018792971968650818,0.0,0.0015390202170237899,0.0015390702756121755
3,2,path from hour 72 (as trained),544,-0.014709636569023132,0.01518289279192686,5.584326936514117e-05,-0.030754640698432922,-1.3825923815602437e-05,0.0006857644766569138,0.0,0.002669824752956629,0.0026836504694074392
3,2,path from hour 0,544,-0.022266024723649025,0.02251906506717205,-0.0040220823138952255,-0.03500880300998688,-3.444816002229345e-06,0.00011208560317754745,0.0,0.002051846357062459,0.002055291086435318
