design,seed,model,rmse,mae,rmse 1-6 h,rmse 7-24 h,rmse 25-48 h,rmse 49-144 h,false_activity,false_activity_005,mean_pred,fa_no_background,fa_background_only,mean_r
main,0,W own t*,0.026752460314051124,0.005787812637609807,0.013531108938664549,0.026686491204869434,0.02554076522469802,0.027667948909526556,0.34705717383205736,0.07214225020196481,0.004296223968098098,0.12583768307639503,0.22329983298660963,0.25743288889389965
main,0,W at GCRK t*,0.027456875204356666,0.006607169272985132,0.013570690293828071,0.027079925788877864,0.02638669779631929,0.028421498283330897,0.6100718701732503,0.10613512597162865,0.004980229010631973,0.4295048618058375,0.20988434636651696,0.2622418331955192
main,0,GCRK,0.026797000453229674,0.006305845808468959,0.01352970798302452,0.026849065552260517,0.025890279288920414,0.027621883656083656,0.5544342264433683,0.09413025370129299,0.004947868626605929,,,
main,0,GCRK exit closed,0.027662658288737457,0.00611550516413205,0.01354319376643863,0.02693736070003784,0.026658660812164798,0.028682415170591384,0.5624542178206218,0.08496335332750111,0.004130693212488386,,,
main,1,W own t*,0.026054993723423178,0.005461987019511956,0.013499828357783364,0.02664557005719836,0.024558540599183255,0.02688920824503902,0.26235334005851746,0.05944253525489424,0.004145062079803137,0.05326429555091397,0.21776620636827498,0.27207462317663983
main,1,W at GCRK t*,0.02631355390634869,0.005642300780879531,0.013516175795009758,0.02676821876155215,0.025258808968833448,0.027080669611679264,0.2985814326316539,0.06827457168809098,0.004217313252411038,0.08089057065001276,0.23171328949406245,0.2726319005958847
main,1,GCRK,0.026074747744639314,0.005527041143050732,0.013433278127289115,0.02654362762856809,0.0252849616199479,0.026770310256954446,0.2958313625195163,0.06460781153857423,0.004150482467571901,,,
main,1,GCRK exit closed,0.02681089567784796,0.005604034595479738,0.01343999707552196,0.026707737185059678,0.02569537243521389,0.02771589844612147,0.29757684080986846,0.06560403176184476,0.003934179405859664,,,
main,2,W own t*,0.026431171688894018,0.005638794757367091,0.013513753364377282,0.026500601487007943,0.02378725811937898,0.027629595584777313,0.31625806289581965,0.06781413376977267,0.004380396136942275,0.07624433347425524,0.23887519202354093,0.2233038321047176
main,2,W at GCRK t*,0.02696709716315438,0.006189025448682607,0.013617572479280624,0.026961318214901896,0.025934764683843058,0.02783575024859118,0.44766704478386626,0.09131739660029384,0.004695200020106887,0.22305705662967815,0.2346559063720422,0.2410497903563545
main,2,GCRK,0.0265073466358902,0.006051777294930948,0.013573714224451673,0.02676875297462829,0.025604454602231465,0.02728039114216911,0.43708953006031737,0.08701439496364634,0.0046723355146349385,,,
main,2,GCRK exit closed,0.027006114940052547,0.006039021853467246,0.013574496892143764,0.026875761566250368,0.02598272630500911,0.02789807703420019,0.42715662842241414,0.08486707994458002,0.004437552235617985,,,
main,3,W own t*,0.026425044829143263,0.0059251895957495105,0.01340209327126263,0.02613704600737047,0.025588165357237305,0.027284623077935548,0.35951411242219644,0.08258581934927564,0.004685989079573037,0.14329246597991654,0.22610013268983645,0.21842266643227543
main,3,W at GCRK t*,0.027587649564201486,0.006565920379617598,0.013319543600404181,0.026615664569924435,0.02659226976256061,0.028652309565905577,0.5123250859135298,0.11386629720011887,0.004933172950521663,0.24802953499956049,0.26733444117487015,0.24229502747063927
main,3,GCRK,0.026614426083575393,0.006091650914914126,0.013276419026672962,0.026039400192383554,0.025663288386549857,0.02756305132311253,0.4432928845598423,0.09168574693494849,0.00469554391608111,,,
main,3,GCRK exit closed,0.027823037072816536,0.005888765601584974,0.013341634476333603,0.026431597862457606,0.02683230195076744,0.028967382288173787,0.4472568364566372,0.08202910804803623,0.0037442891745464984,,,
main,4,W own t*,0.02582646754369017,0.005317264443563336,0.013075484554747592,0.025415724475692725,0.024049876758094654,0.026909845379983026,0.2611394582738601,0.05071514380313349,0.004185066662674704,0.05964345361925133,0.21831873187025697,0.20307555841250163
main,4,W at GCRK t*,0.026835816722879092,0.006269140789569818,0.01323689177920915,0.02652573649551776,0.025721353340793434,0.02778486315888069,0.4465619937799023,0.09542366567184171,0.004876391226854428,0.2151291528360883,0.24661473485054602,0.23028232309708607
main,4,GCRK,0.026188259763712057,0.005969736222333927,0.01329223700180143,0.02601353623620719,0.025016454966101186,0.02709958495402684,0.41451970046420517,0.08608514752849483,0.004741096513155818,,,
main,4,GCRK exit closed,0.027232075275599593,0.005856328376303256,0.013290326543821087,0.026303292381647737,0.026221921945548572,0.028279903381373126,0.4152564011335144,0.07941716931139417,0.004021675108839943,,,
