design,seed,model,scope,k,rmse,rmse_scaled,mean_pred,mean_obs
main,0,W,pooled,1.00810680508164,0.026752460314051124,0.02675220144828361,0.004296223968098098,0.00452099914129265
main,0,W,per event,,0.026752460314051124,0.02658684838003209,0.004296223968098098,0.00452099914129265
main,0,GCRK,pooled,0.926523854469247,0.026797000453229674,0.026771980061917663,0.004947868626605929,0.00452099914129265
main,0,GCRK,per event,,0.026797000453229674,0.02670716749200363,0.004947868626605929,0.00452099914129265
main,0,closed,pooled,1.2347301006048998,0.027662658288737457,0.027550852392436397,0.004130693212488386,0.00452099914129265
main,0,closed,per event,,0.027662658288737457,0.027429398053240763,0.004130693212488386,0.00452099914129265
main,1,W,pooled,1.0003306237647198,0.026054993723423178,0.026054993197247883,0.004145062079803137,0.00452099914129265
main,1,W,per event,,0.026054993723423178,0.02599939284478509,0.004145062079803137,0.00452099914129265
main,1,GCRK,pooled,1.0680479752270637,0.026074747744639314,0.02605520376525726,0.004150482467571901,0.00452099914129265
main,1,GCRK,per event,,0.026074747744639314,0.02595685293661638,0.004150482467571901,0.00452099914129265
main,1,closed,pooled,1.1498797908454694,0.02681089567784796,0.02674278869878573,0.003934179405859664,0.00452099914129265
main,1,closed,per event,,0.02681089567784796,0.02663169610899864,0.003934179405859664,0.00452099914129265
main,2,W,pooled,0.8849602994583264,0.026431171688894018,0.02635586885247931,0.004380396136942275,0.00452099914129265
main,2,W,per event,,0.026431171688894018,0.026200124297519507,0.004380396136942275,0.00452099914129265
main,2,GCRK,pooled,1.0532802640793533,0.0265073466358902,0.026496348970252433,0.0046723355146349385,0.00452099914129265
main,2,GCRK,per event,,0.0265073466358902,0.026376496573693287,0.0046723355146349385,0.00452099914129265
main,2,closed,pooled,1.0978739880323467,0.027006114940052547,0.026976355646147376,0.004437552235617985,0.00452099914129265
main,2,closed,per event,,0.027006114940052547,0.02684209865336069,0.004437552235617985,0.00452099914129265
main,3,W,pooled,0.9782019188072315,0.026425044829143263,0.02642286780002804,0.004685989079573037,0.00452099914129265
main,3,W,per event,,0.026425044829143263,0.02629341244380926,0.004685989079573037,0.00452099914129265
main,3,GCRK,pooled,0.9720644508556401,0.026614426083575393,0.026610985733070632,0.00469554391608111,0.00452099914129265
main,3,GCRK,per event,,0.026614426083575393,0.026562110226847048,0.00469554391608111,0.00452099914129265
main,3,closed,pooled,1.3827514402937884,0.027823037072816536,0.027589823907845704,0.0037442891745464984,0.00452099914129265
main,3,closed,per event,,0.027823037072816536,0.02738367287537493,0.0037442891745464984,0.00452099914129265
main,4,W,pooled,0.9448700295741993,0.02582646754369017,0.025809078378263038,0.004185066662674704,0.00452099914129265
main,4,W,per event,,0.02582646754369017,0.025727082358640106,0.004185066662674704,0.00452099914129265
main,4,GCRK,pooled,0.9812849713537148,0.026188259763712057,0.026186564334451903,0.004741096513155818,0.00452099914129265
main,4,GCRK,per event,,0.026188259763712057,0.026071745246860432,0.004741096513155818,0.00452099914129265
main,4,closed,pooled,1.1944310093732173,0.027232075275599593,0.027137819985345004,0.004021675108839943,0.00452099914129265
main,4,closed,per event,,0.027232075275599593,0.027020458530505186,0.004021675108839943,0.00452099914129265
