seed,total_gain,pooled_rmse_diff,share_top10_units,share_top1pct_units,pooled_rmse_diff_without_top1pct,n_units_gain_positive,n_units_gain_negative,share_2019-03-13,rmse_diff_without_2019-03-13,share_2021-03-26,rmse_diff_without_2021-03-26,share_2021-12-11,rmse_diff_without_2021-12-11,share_2022-06-08,rmse_diff_without_2022-06-08,share_2024-02-27,rmse_diff_without_2024-02-27
0,-0.9128638002858496,4.454013917855673e-05,-13.984543431356272,-19.39470381642944,0.0009970807999265634,1162,1498,0.5309621785379334,2.348652155933703e-05,-0.0020746011728263025,5.082078334180118e-05,0.7250747449808491,2.9711246175609385e-05,-0.021997266447910415,5.0788564807092984e-05,-0.23196505589804386,6.230757786008026e-05
1,-0.3941308234455123,1.9754021216136786e-05,-21.089967763714018,-30.335023001553513,0.0006543096833790119,1291,1369,2.6657603359972306,-3.697977913170308e-05,-1.196644046735807,4.944799896828417e-05,-0.9487869382841028,9.282278393356672e-05,-0.06533586548444315,2.352476196601852e-05,0.5450065145071202,1.0200489262337381e-05
2,-1.5434169174618928,7.61749469961881e-05,-8.91805810561235,-12.74818797574637,0.001168165734224267,1103,1557,1.140830273979594,-1.2029658172374447e-05,0.09919726667940101,7.818066057925163e-05,3.3148545522216,-0.00042460575321969646,-0.01653176730222631,8.647849546262326e-05,-3.5383503255783664,0.00039381784071387815
3,-3.844461232311577,0.0001893812544321305,-3.694218178801074,-4.951730343519452,0.0012703818178846603,1302,1358,0.21377422080615816,0.00016718188780332974,-0.37197256413009133,0.00029652744911991963,0.8037733608964575,9.027605757772408e-05,-0.016175408239677443,0.00021490671711162784,0.370600390667153,0.00013502568634616435
4,-7.202526473974732,0.00036179222002187886,-1.2038991474089769,-2.109296987498151,0.0012013409083125905,1080,1580,0.24104133160181326,0.0003091994157796672,-0.0825439446855499,0.00044651283462173244,0.8240515809311081,0.00015137351252576467,-0.025653893889372906,0.0004148960649216979,0.0431049260420015,0.0003935109187436503
