seed,model,segment,n_cells,sse,sse_share,mean_pred,mean_obs
0,W,true zero,238903,7.556609288633787,0.027586728271485013,0.0018430526865829899,0.0
0,W,rise,12496,107.684310989194,0.3931204741297494,0.021508339553044854,0.04918881950683785
0,W,fall,16284,75.26988894391127,0.27478593824399655,0.02130727034819556,0.033794931492340766
0,W,other active,116354,83.62616968234279,0.3052920074724391,0.005112918262464832,0.0048590420128492365
0,GCRK,true zero,238903,7.6296531222883415,0.0277608725671628,0.0024411647768025073,0.0
0,GCRK,rise,12496,107.77813225381718,0.39215609767166587,0.023174640367770886,0.04918881950683785
0,GCRK,fall,16284,76.69870476277512,0.27907205411027003,0.022501686977478525,0.033794931492340766
0,GCRK,other active,116354,82.9116811354005,0.30167827782434575,0.00568915818752022,0.0048590420128492365
0,GCRK closed,true zero,238903,5.591694458210924,0.01909221405491645,0.002277675913520829,0.0
0,GCRK closed,rise,12496,121.78814661477006,0.41583197756922746,0.016740996167437013,0.04918881950683785
0,GCRK closed,fall,16284,81.65161127935094,0.27879027585011784,0.016681593407918516,0.033794931492340766
0,GCRK closed,other active,116354,83.98528340585449,0.2867583377866517,0.004836529061268945,0.0048590420128492365
1,W,true zero,238903,5.868604579196033,0.022586741874112228,0.0014835513199031871,0.0
1,W,rise,12496,103.4134931614229,0.39801180072986236,0.023293226609334618,0.04918881950683785
1,W,fall,16284,70.4645629815326,0.2711998864224102,0.022823753436943508,0.033794931492340766
1,W,other active,116354,80.21967371040115,0.3087447857273352,0.004938479201914116,0.0048590420128492365
1,GCRK,true zero,238903,5.707335740421929,0.021932789788289997,0.0016211886358227855,0.0
1,GCRK,rise,12496,103.04975596695758,0.39601115794718866,0.022897823308376704,0.04918881950683785
1,GCRK,fall,16284,71.38213078073028,0.2743152567608088,0.021886824177587395,0.033794931492340766
1,GCRK,other active,116354,80.28413797426899,0.30852488825084196,0.004854043035532596,0.0048590420128492365
1,GCRK closed,true zero,238903,5.6797983502562674,0.02064481321452039,0.0016427785817942156,0.0
