design,contrast,cluster,n_clusters,rel_rmse_change,ci_lo,ci_hi,p_worse
main,GCRK vs W,county,1756,0.005235846091010243,-0.012461654792595783,0.021273166303061284,0.7328
main,GCRK vs W,event x state,172,0.005235846091010243,-0.0147709210464637,0.027582817921146804,0.656
main,GCRK vs W,event,5,0.005235846091010243,-0.016183619761629076,0.011598838654606869,0.8172
main,closed vs W,county,1756,0.03838919164403887,0.019430677668283686,0.05581306265586485,1.0
main,closed vs W,event x state,172,0.03838919164403887,0.001030284250296882,0.0725764220208363,0.9804
main,closed vs W,event,5,0.03838919164403887,-0.011447867607237483,0.050699967946239655,0.7548
main,GCRK vs closed,county,1756,-0.03192766818050019,-0.050984104414364934,-0.012906343706861619,0.0
main,GCRK vs closed,event x state,172,-0.03192766818050019,-0.07424975764545544,0.003995749658381228,0.0762
main,GCRK vs closed,event,5,-0.03192766818050019,-0.04161721990367817,0.008061226424171286,0.1966
