a,b,spearman
0,1,0.2661836126891022
0,2,0.28319155341907465
0,3,0.13345807613958735
0,4,0.2674305787168473
1,2,0.40275865886545786
1,3,0.0933145485372743
1,4,0.19768354477540678
2,3,0.10354131339747132
2,4,0.2896160509663569
3,4,0.22639726709946814
