seed,fold,unit,event,fips,rmse_own,rmse_donor_median,percentile,donor_sd,rmse_donor_min,rmse_donor_max
3,1,1,2019-03-13,01009,0.01921611,0.019066480919718742,0.765,0.00030163192423060536,0.01806529425084591,0.019339559599757195
3,1,8,2019-03-13,01055,0.007718238,0.007666240446269512,0.795,7.730963261565194e-05,0.007420090027153492,0.0077630020678043365
3,1,9,2019-03-13,01065,0.003221418,0.0025995434261858463,0.89,0.00039897867827676237,0.0020630788058042526,0.0037302018608897924
3,1,17,2019-03-13,01127,0.0072029275,0.007565613836050034,0.24,0.00037918996531516314,0.006406871601939201,0.007913744077086449
3,1,19,2019-03-13,05027,0.0104239555,0.010930695571005344,0.075,0.0002716358576435596,0.010093615390360355,0.011248876340687275
3,1,23,2019-03-13,08009,0.012352079,0.014234407804906368,0.225,0.0028592569287866354,0.011615817435085773,0.02318914607167244
3,1,31,2019-03-13,08101,0.007242655,0.00719511229544878,0.6,0.0007186072180047631,0.007018574979156256,0.011588465422391891
3,1,45,2019-03-13,17127,0.008508097,0.009034182876348495,0.36,0.0017905009444803,0.007147024851292372,0.014370162971317768
3,1,47,2019-03-13,17151,0.026255963,0.026783213019371033,0.135,0.00037059601163491607,0.025929421186447144,0.027276935055851936
3,1,54,2019-03-13,17193,0.010102645,0.007418657653033733,0.845,0.0017562583088874817,0.00566518260166049,0.012698533944785595
3,1,55,2019-03-13,17199,0.0066134213,0.005737842060625553,0.725,0.001270097796805203,0.0047217123210430145,0.010055284015834332
3,1,59,2019-03-13,18051,0.007722561,0.00750595610588789,0.635,0.000576640130020678,0.00718618743121624,0.010113414376974106
3,1,66,2019-03-13,18097,0.0053779967,0.0065191639587283134,0.025,0.001243587932549417,0.0053525869734585285,0.010698625817894936
3,1,73,2019-03-13,18143,0.0055111344,0.005210720933973789,0.8,0.00026709388475865126,0.004992840811610222,0.006233665626496077
3,1,74,2019-03-13,18147,0.008787233,0.008284250274300575,0.645,0.0012122170301154256,0.006884292233735323,0.01214574370533228
3,1,81,2019-03-13,20051,0.009698135,0.008696429431438446,0.695,0.0015180542832240462,0.0075324722565710545,0.013366252183914185
3,1,83,2019-03-13,20065,0.016278284,0.013779000379145145,0.905,0.0013830221723765135,0.012683379463851452,0.018446527421474457
3,1,91,2019-03-13,20181,0.020063741,0.018188785761594772,0.845,0.0012779247481375933,0.017071135342121124,0.02240942232310772
3,1,93,2019-03-13,20199,0.017465092,0.015551399439573288,0.985,0.0006962618790566921,0.014858600683510303,0.018249422311782837
3,1,95,2019-03-13,21015,0.0062303473,0.006433926057070494,0.065,0.0001828648819355294,0.006207223515957594,0.0069526867009699345
3,1,105,2019-03-13,21073,0.0056183343,0.005576225463300943,0.535,0.0005670961691066623,0.0050178831443190575,0.00739508168771863
3,1,107,2019-03-13,21081,0.0056824307,0.0055093588307499886,0.685,0.00028368839411996305,0.005218720529228449,0.006402298808097839
3,1,108,2019-03-13,21083,0.007745699,0.008692430332303047,0.08,0.001225396990776062,0.007580755278468132,0.01256179716438055
3,1,109,2019-03-13,21091,0.009639595,0.009497635997831821,0.65,0.0003719841770362109,0.009201412089169025,0.01095303799957037
3,1,118,2019-03-13,21157,0.010300058,0.009010253474116325,0.75,0.0014288945822045207,0.007573408540338278,0.013848347589373589
3,1,126,2019-03-13,21223,0.0040676584,0.004079327918589115,0.29,7.223250577226281e-05,0.004046791698783636,0.004396740347146988
3,1,134,2019-03-13,24025,0.0015640284,0.0015780222602188587,0.005,8.494325811625458e-06,0.0015639029443264008,0.0016055312007665634
3,1,135,2019-03-13,26027,0.01699144,0.01814756542444229,0.155,0.0009041564189828932,0.015677915886044502,0.019211482256650925
3,1,137,2019-03-13,26093,0.0057579004,0.0068787625059485435,0.24,0.001571947825141251,0.005034855101257563,0.011634270660579205
3,1,147,2019-03-13,28087,0.0020865253,0.0015518629224970937,0.9,0.0003168031689710915,0.0011952250497415662,0.0025346679612994194
