seed,model,false_activity,false_activity_no_background,false_activity_background_only,zero_mass,zero_mass_no_background,zero_mass_background_only,mean_bkg_zero,mean_gated_zero,mean_gate_zero,mean_r_zero_active,mean_r_all
0,W,0.31346194899185026,0.1256535079090677,0.19786691669840897,581.6560313023151,288.8146202919313,298.18856323157905,0.0003472878402299959,0.00030579680983899176,0.46705162863065475,0.26118701362643454,0.260638355571892
0,GCRK,0.38633671406386694,0.21391945685068836,0.18471094963227755,570.802657724038,313.3399049853134,260.9928557003154,0.0003167955205991882,0.0003540017120380526,0.4681366197553272,0.2635279078458047,0.2623239373502467
0,GCRK closed,0.3880152195661,0.21162145305835423,0.18471094963227755,519.1652706267917,261.0981351054845,260.9928557003154,0.0003167955205991882,0.0002918299167027841,0.4681366197553272,0.26348640545763813,0.2623239373502467
1,W,0.21586585350539758,0.04459550528875736,0.18291524175083612,496.89237927336075,127.31324467825324,372.21005112006657,0.00045297002304558554,0.00014874275731950273,0.4571225412943211,0.27145351089179,0.27157330240487115
1,GCRK,0.26982080593378904,0.06984843220888813,0.2063347885962085,555.4973824004471,149.48073648832957,408.76326028939474,0.0004962988259871846,0.00016919112314303856,0.4515690921395847,0.27154583750341116,0.27206285178843864
1,GCRK closed,0.27360058266325665,0.0746495439571709,0.2063347885962085,585.7254581989281,180.31434727678038,408.76326028939474,0.0004962988259871846,0.0002052034207247714,0.4515690921395847,0.27153548902974056,0.27206285178843864
2,W,0.25655600808696416,0.0725901307225108,0.1918602947639837,624.2261728793114,243.4386298329722,386.98085993945716,0.000376295836299571,0.00017584389281984864,0.4710511110403137,0.21008162194256338,0.20612608370323593
2,GCRK,0.4205388797964027,0.20011887669891126,0.22694147834058173,732.0329317994174,304.7161244423128,430.33375012416417,0.00045432885490879625,0.00030498152959448666,0.4679592855229363,0.23888522859817168,0.24076887459396956
2,GCRK closed,0.4315600892412402,0.2078081899348271,0.22694147834058173,742.589407571787,315.150499874438,430.33375012416417,0.00045432885490879625,0.00031412170289531237,0.4679592855229363,0.2390134080262678,0.24076887459396956
3,W,0.2815368580553614,0.12752037437788558,0.17855363892458445,504.1035230978779,272.65871336241554,235.2638370526757,0.0001948762064079182,0.0001434688507386344,0.4831038429092346,0.19014678911563235,0.20810667358943738
3,GCRK,0.4043858804619448,0.21291067922964552,0.21676580034574702,694.1264014282133,348.91555633264693,350.3595477203239,0.0003361649515472893,0.00034246184223062765,0.48739383111474477,0.2362845618058032,0.24164972364654919
3,GCRK closed,0.4071066499792803,0.20345914450634778,0.21676580034574702,559.5467332146063,211.54377887495147,350.3595477203239,0.0003361649515472893,0.00021172692245644033,0.48739383111474477,0.23636426883470196,0.24164972364654919
4,W,0.31965693189286026,0.06950519666977811,0.2604446155971252,709.0613313748923,228.4057011910534,486.66633319583866,0.0003299455755398932,0.00010470050370091686,0.49816549875898675,0.18617409688026712,0.21404376600351438
4,GCRK,0.328593613307493,0.11042557021050385,0.2260917610913216,813.2147186187467,307.41112851635796,515.323226579725,0.0004062995771124237,0.0002622845244130626,0.5026669251600714,0.21226468332172957,0.22775875916817928
4,GCRK closed,0.32805364520328334,0.10223396106369531,0.2260917610913216,693.9221714017569,182.74238699447073,515.323226579725,0.0004062995771124237,0.00014817471557415675,0.5026669251600714,0.21240564746637422,0.22775875916817928
