seed,n_units,n_active,median_percentile,share_own_better_than_median_donor,wilcoxon_p_less,mean_rmse_own_minus_median_donor
0,2660,2335,0.445,0.5481798715203426,1.9727750959023e-11,-5.2066522896547126e-05
1,2660,1839,0.45,0.5459488852637303,8.662797666355025e-09,-0.0004739306745336737
2,2660,2161,0.435,0.5724201758445164,3.4233369165181424e-14,-0.00019257216076432924
3,2660,2489,0.465,0.538770590598634,2.6979589280937433e-09,5.508552139280829e-06
4,2660,2304,0.475,0.53125,0.00029482137949582714,-4.576960473682662e-05
