seed,W,closed,open,joint_training,kernel_output,total
0,0.026752460314051124,0.027662658288737457,0.026797000453229674,0.0009101979746863331,-0.0008656578355077833,4.454013917854979e-05
1,0.026054993723423178,0.02681089567784796,0.026074747744639314,0.0007559019544247821,-0.0007361479332086453,1.9754021216136786e-05
2,0.026431171688894018,0.027006114940052547,0.0265073466358902,0.0005749432511585294,-0.0004987683041623482,7.617494699618116e-05
3,0.026425044829143263,0.027823037072816536,0.026614426083575393,0.0013979922436732732,-0.0012086109892411427,0.0001893812544321305
4,0.02582646754369017,0.027232075275599593,0.026188259763712057,0.0014056077319094216,-0.0010438155118875359,0.0003617922200218858
mean,0.026298027619840354,0.027306956251010817,0.026436356136209326,0.001008928631170468,-0.000870600114801491,0.0001383285163689768
