seed,W,closed,open,joint_training,kernel_output,total
0,0.030963187845183725,0.029774715823332517,0.030227043938692893,-0.0011884720218512078,0.00045232811536037587,-0.0007361439064908319
1,0.03068375982961696,0.030008062427537594,0.029819471971148197,-0.0006756974020793657,-0.0001885904563893974,-0.0008642878584687631
2,0.032620579546261214,0.030052681989024655,0.029886770296160433,-0.0025678975572365585,-0.00016591169286422208,-0.0027338092501007806
3,0.030467936958168063,0.02928955587241169,0.030108601822434317,-0.0011783810857563734,0.0008190459500226274,-0.000359335135733746
4,0.03245260223011492,0.03103874640379537,0.03311121213192535,-0.001413855826319546,0.0020724657281299755,0.0006586099018104294
mean,0.031437613281868976,0.030032752503220368,0.030630620032072238,-0.0014048607786486104,0.0005978675288518719,-0.0008069932497967384
