model,rmse,mae,n_cells,rmse 1-6 h,rmse 7-24 h,rmse 25-48 h,rmse 49-144 h,n_peak_units,peak_mag_abs_mean,peak_mag_abs_median,peak_mag_signed_mean,peak_time_abs_mean,peak_time_abs_median,peak_time_signed_mean,false_activity_share,under_half_share,n_seeds,rmse sd,rmse 1-6 h sd,rmse 7-24 h sd,rmse 25-48 h sd,rmse 49-144 h sd,mae sd,peak_mag_abs_mean sd,peak_time_abs_mean sd,false_activity_share sd,under_half_share sd
all-zero,0.030493618298751413,0.00452099914129265,382736.0,0.015015304817259415,0.02874152481297202,0.028882730214591746,0.03189522678948308,1609.0,0.09867249792146528,0.05100620910525322,-0.09867249792146528,64.35177128651337,50.0,-64.35177128651337,0.0,1.0,,,,,,,,,,,
persistence,0.03206735995168688,0.0049990837216752765,382736.0,0.015492407218754807,0.030464490763856208,0.030693801753338204,0.03343621516499404,1609.0,0.09770816775347928,0.05058327689766884,-0.0976584036586687,64.35177128651337,50.0,-64.35177128651337,0.03836703599368781,0.9819227608874281,,,,,,,,,,,
TimesFM,0.030885528516702575,0.0047147055330638895,382736.0,0.015674756872055162,0.029203507398947694,0.028836264190278214,0.032369368606445896,1609.0,0.09739189945149891,0.049729913094779477,-0.0953471957790088,47.820385332504664,35.0,-6.835922933499067,0.018823539260704136,0.9858486259472291,,,,,,,,,,,
TimesFM (history only),0.03094108003439226,0.004682833580292164,382736.0,0.015519174990400954,0.030213863956949062,0.02907438329168147,0.03222614748920039,1609.0,0.09792630649141856,0.050583238666163766,-0.09695287253373853,57.154133001864516,49.0,-7.810441267868241,0.012226719630979937,0.993106911348489,,,,,,,,,,,
W,0.026298027619840354,0.00562620969076034,382736.0,0.013404453697367083,0.026277086646427788,0.024704921211718446,0.027276244239452296,1609.0,0.07175348375800225,0.03377680797129869,-0.05298496621209572,19.27781230577999,4.0,-0.8536979490366688,0.30926442949649025,0.6045558294531178,5.0,0.00036118006879443316,0.00019059811227644565,0.0005279458235005006,0.0008323718378252952,0.0003749683026360918,0.0002439667658907839,0.0005749241853986538,0.9220295736888852,0.04614893344950733,0.014208306795481625
GCRK,0.026436356136209326,0.005989210276739739,382736.0,0.013421071272647939,0.026442876516809526,0.025491887772750167,0.02726704426646932,1609.0,0.07137433309516811,0.031914296373724935,-0.054990254844545526,18.303915475450587,3.8,-0.3344934742075824,0.42903354080944983,0.5998904409750753,5.0,0.00029963532814870214,0.00013488268466262611,0.0003963779779836676,0.0003426441477752412,0.0003494626613201433,0.00028663841464387184,0.0008154047139947425,0.5897374185856603,0.09212360130174198,0.004823587600801305
GCRK exit closed,0.027306956251010817,0.005900731118193453,382736.0,0.013437929750851809,0.026651149939090645,0.02627819668974076,0.028308735264091993,1609.0,0.0741697853513226,0.03173680612817407,-0.0628053270829011,18.370292106898695,3.8,-0.42970789310130514,0.4299401849286112,0.653793481238017,5.0,0.0004286758977895887,0.00012328306606109967,0.0002760331020764071,0.00046955811554628296,0.000523062980632733,0.00019710138377043804,0.001753068533668994,0.6611662974114026,0.09434411997192642,0.027306223240293713
