seed,model,false_activity,false_activity_no_background,false_activity_background_only,zero_mass,zero_mass_no_background,zero_mass_background_only,mean_bkg_zero,mean_gated_zero,mean_gate_zero,mean_r_zero_active,mean_r_all
0,W,0.34705717383205736,0.12583768307639503,0.22329983298660963,440.310815982736,174.15449954451094,268.51504402256637,0.0002974136811302367,0.00019564659421571497,0.46058496369414204,0.2568736095232816,0.25743288889389965
0,GCRK,0.5544342264433683,0.34889892550533064,0.20335031372565435,583.2015886724494,354.8007652136776,231.18574686688294,0.0002648663864921041,0.0004057860981828583,0.46754218950788873,0.26281970195983434,0.2622112059240948
0,GCRK closed,0.5624542178206218,0.3504686002268703,0.20335031372565435,544.1436087678667,315.3547298596375,231.18574686688294,0.0002648663864921041,0.0003588810583379448,0.46754218950788873,0.2627916111305675,0.2622112059240948
1,W,0.26235334005851746,0.05326429555091397,0.21776620636827498,354.42486097883113,99.56896509608917,256.34295781091237,0.0003079537204198386,0.00011494735157534529,0.4513782665602461,0.27294351098831376,0.27207462317663983
1,GCRK,0.2958313625195163,0.07720288150420881,0.22672800257845235,387.3068286639709,115.18343073758584,274.2916088456264,0.0003298340964754991,0.0001313703298494792,0.45179535956737393,0.27306037385998405,0.27197395689875964
1,GCRK closed,0.29757684080986846,0.08148913994382657,0.22672800257845235,392.4647315263835,120.37991670168996,274.2916088456264,0.0003298340964754991,0.00013549044224924086,0.45179535956737393,0.273051931200049,0.27197395689875964
2,W,0.31625806289581965,0.07624433347425524,0.23887519202354093,407.9678028654195,128.94950073537984,281.00337427909517,0.00025538166055168627,0.00011272490268430289,0.46683369711046,0.21616192627939781,0.2233038321047176
2,GCRK,0.43708953006031737,0.213496691125687,0.22833953529256643,505.24903503070027,243.1334018835062,264.93255778621375,0.00027332892689051745,0.00024497322035769845,0.47339225770677645,0.23940009856982775,0.2408340467623396
2,GCRK closed,0.42715662842241414,0.20551018614249297,0.22833953529256643,498.4774740303819,236.37506717454403,264.93255778621375,0.00027332892689051745,0.0002370481005892026,0.47339225770677645,0.2393477794184248,0.2408340467623396
3,W,0.35951411242219644,0.14329246597991654,0.22610013268983645,473.3804361301589,228.6217714090412,247.95054160725803,0.00022091432323078294,0.00017114747145631886,0.4763320019746,0.2104817026819943,0.21842266643227543
3,GCRK,0.4432928845598423,0.2016801798219361,0.24006395901265368,520.8235298508089,229.76757092042342,293.46631476773354,0.0003006810451155451,0.00023261035870150118,0.48572987236705756,0.240999407509435,0.24251473505078522
3,GCRK closed,0.4472568364566372,0.18952461877833263,0.24006395901265368,479.2002075897499,187.50950505929555,293.46631476773354,0.0003006810451155451,0.0001901150697981778,0.48572987236705756,0.24109620294718268,0.24251473505078522
4,W,0.2611394582738601,0.05964345361925133,0.21831873187025697,340.9332015602035,122.34342913771212,220.99603593273656,0.00016814786850160898,7.806072038723148e-05,0.47587666516468125,0.17903811369220407,0.20307555841250163
4,GCRK,0.41451970046420517,0.18387797558004712,0.23815942035051882,498.28789317685187,238.55258846740037,262.8257374501905,0.00024779186730656275,0.00021998574038257877,0.48920042954838827,0.22522177775846092,0.23069629487236212
4,GCRK closed,0.4152564011335144,0.17642725290180533,0.23815942035051882,467.10379241288865,207.02041739810588,262.8257374501905,0.00024779186730656275,0.0001926678234114093,0.48920042954838827,0.22515358906708283,0.23069629487236212
