seed,fold,unit,event,fips,rmse_own,rmse_donor_median,percentile,donor_sd,rmse_donor_min,rmse_donor_max
4,1,1,2019-03-13,01009,0.019268718,0.019228819757699966,0.555,0.00019057314784731716,0.01874466985464096,0.01943952776491642
4,1,8,2019-03-13,01055,0.0077260626,0.007704014424234629,0.625,5.9382298786658794e-05,0.007570681627839804,0.007774691563099623
4,1,9,2019-03-13,01065,0.0026636156,0.002356080338358879,0.84,0.00022460475156549364,0.00204410869628191,0.0028869828674942255
4,1,17,2019-03-13,01127,0.007923269,0.008122854866087437,0.295,0.00019989890279248357,0.007656550500541925,0.008302238769829273
4,1,19,2019-03-13,05027,0.010832464,0.010988333262503147,0.225,0.00019006420916412026,0.010545244440436363,0.011243846267461777
4,1,23,2019-03-13,08009,0.014321071,0.010971424169838428,0.9,0.0019140877993777394,0.00862563494592905,0.016325796023011208
4,1,31,2019-03-13,08101,0.0074485433,0.007453625556081533,0.48,0.00023349191178567708,0.007051920052617788,0.007786721456795931
4,1,45,2019-03-13,17127,0.009766595,0.009474546648561954,0.64,0.0005693872808478773,0.008914792910218239,0.011218825355172157
4,1,47,2019-03-13,17151,0.027190858,0.02719888836145401,0.335,2.947322172985878e-05,0.027145909145474434,0.02727275714278221
4,1,54,2019-03-13,17193,0.00815311,0.007198747713118792,0.795,0.0007917957263998687,0.006612603552639484,0.01005394384264946
4,1,55,2019-03-13,17199,0.005938968,0.00575974490493536,0.665,0.0004624616412911564,0.005401566158980131,0.007336524315178394
4,1,59,2019-03-13,18051,0.009543862,0.008967544883489609,0.69,0.0009291664464399219,0.008293259888887405,0.01213422603905201
4,1,66,2019-03-13,18097,0.0069612996,0.007706068456172943,0.0,0.000930944224819541,0.006968394853174686,0.01077225524932146
4,1,73,2019-03-13,18143,0.0044859103,0.0043873256072402,0.925,4.337420250521973e-05,0.004357288591563702,0.004561693407595158
4,1,74,2019-03-13,18147,0.009611416,0.009220361709594727,0.845,0.0002765108656603843,0.008982328698039055,0.010141942650079727
4,1,81,2019-03-13,20051,0.010116498,0.005836310796439648,0.96,0.0014434102922677994,0.005049434024840593,0.011209848336875439
4,1,83,2019-03-13,20065,0.013978537,0.009414845146238804,0.99,0.001454242505133152,0.008197574876248837,0.0151613624766469
4,1,91,2019-03-13,20181,0.019941472,0.015089266002178192,0.995,0.001577332615852356,0.013644326478242874,0.020894162356853485
4,1,93,2019-03-13,20199,0.0151916575,0.012144539505243301,0.975,0.0011095432564616203,0.011141132563352585,0.01566043309867382
4,1,95,2019-03-13,21015,0.004494009,0.004530833102762699,0.215,6.52708113193512e-05,0.004467124119400978,0.004733490291982889
4,1,105,2019-03-13,21073,0.0052896687,0.005156815517693758,0.55,0.0004677170072682202,0.004751619882881641,0.006561190355569124
