design,cv,geography,target,oof_r2,null_q95,null_median,p_value
main,county-grouped,31 descriptors,mean residual (y - P),0.0016916207692216911,0.00013595537577859877,-0.0020769785446562716,0.004975124378109453
main,county-grouped,31 descriptors,log peak ratio,0.031237259928879046,0.016771094528348896,0.009096201037808838,0.004975124378109453
main,county-grouped,40 descriptors,mean residual (y - P),0.0007409836636261824,0.00039357360772212467,-0.0019160470494695714,0.03980099502487562
main,county-grouped,40 descriptors,log peak ratio,0.033484946430169416,0.015853279071677183,0.009453087634219592,0.004975124378109453
