design,cv,geography,target,oof_r2,null_q95,null_median,p_value
loeo,event-grouped,31 descriptors,mean residual (y - P),-0.15721865559540205,-0.11730103431587527,-0.13820415045669077,0.9751243781094527
loeo,event-grouped,31 descriptors,log peak ratio,-0.17169113548357107,-0.13903087395522873,-0.15866752134955842,0.8656716417910447
loeo,event-grouped,40 descriptors,mean residual (y - P),-0.16224006569765104,-0.1158160669508072,-0.13706629864279174,0.9900497512437811
loeo,event-grouped,40 descriptors,log peak ratio,-0.1904373328873752,-0.13971174692739738,-0.15867192230811844,0.9950248756218906
