seed,model,segment,n_cells,sse,sse_share,mean_pred,mean_obs
0,W,true zero,238903,19.72708455442864,0.053761608914049866,0.0024346953839102696,0.0
0,W,rise,12496,142.1645546107101,0.38743663136503687,0.01446258035480343,0.04918881950683785
0,W,fall,16284,100.38828749733393,0.2735850721931062,0.013502114594444368,0.033794931492340766
0,W,other active,116354,105.1192130145931,0.2864781161073569,0.005005276852139809,0.004859042012849234
0,GCRK,true zero,238903,13.157240799571628,0.03762479607336169,0.0023892653408456067,0.0
0,GCRK,rise,12496,141.13439655065096,0.4035916777724468,0.011768177936661878,0.04918881950683785
0,GCRK,fall,16284,98.95282229854566,0.28296812504849744,0.010866639832343235,0.033794931492340766
0,GCRK,other active,116354,96.71471044449687,0.2765679608058015,0.004410121466170961,0.004859042012849234
0,GCRK closed,true zero,238903,8.714920895298206,0.025684368093697365,0.002173121604277852,0.0
0,GCRK closed,rise,12496,141.32395552786642,0.4165059600475964,0.010414228488188624,0.04918881950683785
0,GCRK closed,fall,16284,98.16820687510452,0.2893185596026159,0.00948583173128894,0.033794931492340766
0,GCRK closed,other active,116354,91.29109428242108,0.26905052809959,0.0038407228362583516,0.004859042012849234
1,W,true zero,238903,15.646975723252378,0.043422412184426,0.0020798917521896365,0.0
1,W,rise,12496,143.08859690747533,0.39708964490654247,0.013007636161869058,0.04918881950683785
1,W,fall,16284,100.50515103444617,0.2789149911180775,0.011049265587424023,0.033794931492340766
1,W,other active,116354,101.50646438399404,0.28169376714220223,0.004448236891500694,0.004859042012849234
1,GCRK,true zero,238903,14.025244361347672,0.04121081706728737,0.0023252005307612175,0.0
1,GCRK,rise,12496,136.20069146085282,0.40020277976047414,0.013941731476652522,0.04918881950683785
1,GCRK,fall,16284,94.86440367689016,0.2787430639639828,0.012249921726507131,0.033794931492340766
1,GCRK,other active,116354,95.5524955837798,0.28076490607736937,0.004714596026313418,0.004859042012849234
1,GCRK closed,true zero,238903,16.135378922098287,0.04681703933076164,0.0024517291879923154,0.0
1,GCRK closed,rise,12496,136.85167647322956,0.397077152687944,0.01355151517376614,0.04918881950683785
1,GCRK closed,fall,16284,95.35216693995397,0.27666571522453287,0.01197980865791869,0.033794931492340766
1,GCRK closed,other active,116354,96.68260192885946,0.28052599191858085,0.0048396848806780595,0.004859042012849234
2,W,true zero,238903,26.304091756304878,0.06458633664729226,0.0026128854509123427,0.0
2,W,rise,12496,149.7414240681145,0.36767093555283364,0.015505292711626303,0.04918881950683785
2,W,fall,16284,107.78448682467888,0.2646510366489181,0.015131955887469309,0.033794931492340766
2,W,other active,116354,124.15541546309477,0.30484776033986594,0.0061815585951787095,0.004859042012849234
2,GCRK,true zero,238903,17.767132177935817,0.05197087731729748,0.0030641429023470505,0.0
2,GCRK,rise,12496,134.40909904761688,0.393161863545259,0.014712827982638302,0.04918881950683785
2,GCRK,fall,16284,92.9036630317996,0.27175375437062527,0.014343340272520958,0.033794931492340766
2,GCRK,other active,116354,97.12892660065361,0.28411312966940633,0.0056511233678807745,0.004859042012849234
2,GCRK closed,true zero,238903,19.288567991372524,0.05580000026257742,0.0031083301907962103,0.0
2,GCRK closed,rise,12496,135.8281373435713,0.392937936233874,0.014183075550059123,0.04918881950683785
2,GCRK closed,fall,16284,93.7133691740496,0.27110390086282843,0.013975753718956688,0.033794931492340766
2,GCRK closed,other active,116354,97.17590417151477,0.2811206866529482,0.005655901722905073,0.004859042012849234
3,W,true zero,238903,16.25110527368857,0.04574014039557114,0.0021100761526555876,0.0
3,W,rise,12496,137.4555235564569,0.38688045149756384,0.01537350305258199,0.04918881950683785
3,W,fall,16284,96.25195677510749,0.2709094515171147,0.016025545362356054,0.033794931492340766
3,W,other active,116354,105.80857613576198,0.29780738269789986,0.004801382087669825,0.004859042012849234
3,GCRK,true zero,238903,21.068151513876376,0.060721982548962807,0.002905473775667167,0.0
3,GCRK,rise,12496,135.7833152325957,0.39135052225931943,0.014231200423038926,0.04918881950683785
3,GCRK,fall,16284,94.91741995553916,0.27356808756272183,0.01358261686906427,0.033794931492340766
3,GCRK,other active,116354,95.84550390938847,0.27624298277659437,0.004757627614475672,0.004859042012849234
3,GCRK closed,true zero,238903,9.069395197316247,0.0276218930991449,0.0023421503003922357,0.0
3,GCRK closed,rise,12496,136.82417345453177,0.41671386132322175,0.011249229026193299,0.04918881950683785
3,GCRK closed,fall,16284,93.24070805506457,0.28397537149419755,0.011048295131279041,0.033794931492340766
3,GCRK closed,other active,116354,89.35798552517778,0.27215009050016714,0.003976320955460418,0.004859042012849234
4,W,true zero,238903,42.226494806152566,0.10475787140800247,0.0029679883943478833,0.0
4,W,rise,12496,142.45534603959328,0.35341126205966356,0.014081166564066088,0.04918881950683785
4,W,fall,16284,101.00381436376381,0.2505759629211572,0.012986459112597484,0.033794931492340766
4,W,other active,116354,118.30185616191692,0.2934899212456626,0.0054523379121838205,0.004859042012849234
4,GCRK,true zero,238903,57.644785046548094,0.13737590012173223,0.0034039535653329874,0.0
4,GCRK,rise,12496,140.73056703302203,0.3353813932204242,0.01593642096464799,0.04918881950683785
4,GCRK,fall,16284,100.08262558140272,0.2385114414892735,0.01420761474088134,0.033794931492340766
4,GCRK,other active,116354,122.72403981514658,0.2924692220218565,0.006087729524446011,0.004859042012849234
4,GCRK closed,true zero,238903,28.01273279521468,0.07597099592995846,0.0029046189097740797,0.0
4,GCRK closed,rise,12496,140.19848635249315,0.3802206201706629,0.013293416148660272,0.04918881950683785
4,GCRK closed,fall,16284,97.07061328572719,0.26325711314064726,0.01208522322225764,0.033794931492340766
4,GCRK closed,other active,116354,103.99264037204958,0.2820297654001188,0.005252223856616216,0.004859042012849234
